Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(259, 353),     -0.30324,       -0.30324
(249, 373),     -0.30301,       -0.30301
(56, 285),     -0.30256,       -0.30256
(254, 263),     -0.30228,       -0.30228
(256, 265),     -0.30178,       -0.30178
(256, 386),     -0.30156,       -0.30156
(263, 386),     -0.30146,       -0.30146
(53, 107),     -0.30123,       -0.30123
(29, 158),     -0.30109,       -0.30109
(249, 386),     -0.30048,       -0.30048
(35, 463),     -0.30032,       -0.30032
(133, 417),     -0.30023,       -0.30023
(160, 339),     -0.29968,       -0.29968
(159, 255),     -0.29877,       -0.29877
(25, 417),     -0.29861,       -0.29861
(53, 246),     -0.29819,       -0.29819
(243, 341),     -0.29759,       -0.29759
(110, 254),     -0.29731,       -0.29731
(173, 390),     -0.29726,       -0.29726
(283, 296),     -0.29691,       -0.29691
(33, 156),     -0.29653,       -0.29653
(53, 65),     -0.29639,       -0.29639
(158, 243),     -0.29635,       -0.29635
(286, 334),     -0.2959,       -0.2959
(105, 353),     -0.29588,       -0.29588
(260, 414),     -0.29523,       -0.29523
(124, 353),     -0.29511,       -0.29511
(56, 336),     -0.29501,       -0.29501
(373, 390),     -0.29501,       -0.29501
(33, 63),     -0.29487,       -0.29487
(353, 387),     -0.29384,       -0.29384
(257, 285),     -0.29318,       -0.29318
(260, 385),     -0.29302,       -0.29302
(258, 265),     -0.29298,       -0.29298
(26, 373),     -0.29297,       -0.29297
(384, 414),     -0.29169,       -0.29169
(160, 285),     -0.29154,       -0.29154
(55, 247),     -0.29146,       -0.29146
(380, 386),     -0.29094,       -0.29094
(173, 190),     -0.29073,       -0.29073
(155, 359),     -0.29066,       -0.29066
(55, 157),     -0.29032,       -0.29032
(30, 246),     -0.29001,       -0.29001
(243, 387),     -0.29001,       -0.29001
(28, 255),     -0.28992,       -0.28992
(263, 390),     -0.28974,       -0.28974
(63, 252),     -0.28961,       -0.28961
(259, 334),     -0.2887,       -0.2887
(263, 282),     -0.28867,       -0.28867
(26, 390),     -0.28699,       -0.28699
(160, 295),     -0.2864,       -0.2864
(22, 63),     -0.28637,       -0.28637
(249, 293),     -0.28633,       -0.28633
(163, 254),     -0.28612,       -0.28612
(28, 105),     -0.28566,       -0.28566
(56, 374),     -0.2853,       -0.2853
(373, 374),     -0.28514,       -0.28514
(144, 252),     -0.28512,       -0.28512
(28, 373),     -0.28512,       -0.28512
(105, 160),     -0.28495,       -0.28495
(374, 387),     -0.28486,       -0.28486
(252, 373),     -0.28471,       -0.28471
(157, 253),     -0.28425,       -0.28425
(283, 286),     -0.28422,       -0.28422
(263, 373),     -0.28402,       -0.28402
(105, 190),     -0.28356,       -0.28356
(161, 293),     -0.28312,       -0.28312
(160, 282),     -0.28272,       -0.28272
(295, 386),     -0.28166,       -0.28166
(26, 382),     -0.28157,       -0.28157
(159, 300),     -0.28088,       -0.28088
(23, 253),     -0.28073,       -0.28073
(130, 353),     -0.28057,       -0.28057
(373, 388),     -0.28026,       -0.28026
(46, 254),     -0.28018,       -0.28018
(35, 193),     -0.28005,       -0.28005
(56, 373),     -0.27999,       -0.27999
(154, 193),     -0.27982,       -0.27982
(28, 156),     -0.27977,       -0.27977
(390, 466),     -0.27976,       -0.27976
(190, 380),     -0.27962,       -0.27962
(105, 252),     -0.2787,       -0.2787
(63, 339),     -0.27856,       -0.27856
(157, 373),     -0.27844,       -0.27844
(24, 253),     -0.27814,       -0.27814
(155, 249),     -0.27813,       -0.27813
(285, 353),     -0.27812,       -0.27812
(145, 255),     -0.27793,       -0.27793
(159, 276),     -0.27788,       -0.27788
(296, 386),     -0.2777,       -0.2777
(265, 295),     -0.27751,       -0.27751
(276, 398),     -0.27703,       -0.27703
(25, 353),     -0.27668,       -0.27668
(56, 156),     -0.27637,       -0.27637
(28, 374),     -0.27626,       -0.27626
(190, 255),     -0.27524,       -0.27524
(243, 249),     -0.27445,       -0.27445
(110, 339),     -0.27427,       -0.27427
(362, 384),     -0.27414,       -0.27414
(173, 300),     -0.27319,       -0.27319
(160, 296),     -0.27268,       -0.27268
(252, 388),     -0.27201,       -0.27201
(173, 256),     -0.27163,       -0.27163
(52, 254),     -0.27088,       -0.27088
(35, 144),     -0.27076,       -0.27076
(112, 359),     -0.27073,       -0.27073
(35, 353),     -0.27036,       -0.27036
(160, 254),     -0.2701,       -0.2701
(383, 414),     -0.27,       -0.27
(23, 63),     -0.26963,       -0.26963
(157, 247),     -0.26904,       -0.26904
(26, 463),     -0.26874,       -0.26874
(257, 359),     -0.2686,       -0.2686
(24, 255),     -0.26856,       -0.26856
(112, 158),     -0.26822,       -0.26822
(341, 380),     -0.26796,       -0.26796
(30, 339),     -0.26753,       -0.26753
(52, 161),     -0.26709,       -0.26709
(56, 70),     -0.26692,       -0.26692
(22, 256),     -0.26666,       -0.26666
(255, 385),     -0.2665,       -0.2665
(46, 56),     -0.26646,       -0.26646
(265, 336),     -0.26643,       -0.26643
(35, 381),     -0.2664,       -0.2664
(105, 374),     -0.26636,       -0.26636
(29, 253),     -0.26625,       -0.26625
(362, 373),     -0.26618,       -0.26618
(157, 258),     -0.26599,       -0.26599
(133, 353),     -0.26597,       -0.26597
(249, 286),     -0.26584,       -0.26584
(56, 282),     -0.26562,       -0.26562
(373, 387),     -0.26552,       -0.26552
(249, 387),     -0.26519,       -0.26519
(35, 383),     -0.26448,       -0.26448
(105, 157),     -0.26443,       -0.26443
(154, 249),     -0.264,       -0.264
(110, 252),     -0.2633,       -0.2633
(249, 380),     -0.26302,       -0.26302
(155, 362),     -0.26297,       -0.26297
(243, 388),     -0.26285,       -0.26285
(55, 255),     -0.26258,       -0.26258
(154, 359),     -0.26238,       -0.26238
(173, 380),     -0.26225,       -0.26225
(300, 390),     -0.26225,       -0.26225
(159, 336),     -0.26197,       -0.26197
(53, 253),     -0.26192,       -0.26192
(56, 255),     -0.2616,       -0.2616
(259, 300),     -0.26153,       -0.26153
(26, 249),     -0.26112,       -0.26112
(110, 253),     -0.26111,       -0.26111
(133, 341),     -0.26099,       -0.26099
(23, 255),     -0.26044,       -0.26044
(65, 160),     -0.26007,       -0.26007
(153, 373),     -0.25996,       -0.25996
(107, 260),     -0.25995,       -0.25995
(153, 380),     -0.25979,       -0.25979
(243, 386),     -0.25967,       -0.25967
(353, 398),     -0.2595,       -0.2595
(157, 390),     -0.25892,       -0.25892
(386, 390),     -0.25891,       -0.25891
(55, 159),     -0.25888,       -0.25888
(336, 467),     -0.25875,       -0.25875
(163, 339),     -0.2585,       -0.2585
(25, 382),     -0.25803,       -0.25803
(33, 247),     -0.25797,       -0.25797
(255, 417),     -0.25791,       -0.25791
(156, 353),     -0.25776,       -0.25776
(256, 385),     -0.25761,       -0.25761
(243, 466),     -0.25714,       -0.25714
(7, 63),     -0.25713,       -0.25713
(24, 252),     -0.25713,       -0.25713
(65, 339),     -0.25697,       -0.25697
(253, 256),     -0.25689,       -0.25689
(193, 254),     -0.25576,       -0.25576
(160, 283),     -0.2556,       -0.2556
(161, 334),     -0.2549,       -0.2549
(249, 254),     -0.25456,       -0.25456
(387, 390),     -0.25433,       -0.25433
(56, 256),     -0.25428,       -0.25428
(105, 243),     -0.25385,       -0.25385
(374, 390),     -0.25362,       -0.25362
(386, 467),     -0.25257,       -0.25257
(153, 374),     -0.25247,       -0.25247
(56, 63),     -0.25211,       -0.25211
(63, 383),     -0.25197,       -0.25197
(155, 353),     -0.25196,       -0.25196
(28, 159),     -0.25193,       -0.25193
(385, 390),     -0.25168,       -0.25168
(263, 359),     -0.25145,       -0.25145
(380, 417),     -0.25093,       -0.25093
(35, 341),     -0.25035,       -0.25035
(29, 70),     -0.25022,       -0.25022
(249, 265),     -0.24992,       -0.24992
(334, 398),     -0.24959,       -0.24959
(107, 467),     -0.24958,       -0.24958
(112, 466),     -0.24949,       -0.24949
(253, 417),     -0.24939,       -0.24939
(161, 285),     -0.24923,       -0.24923
(158, 253),     -0.24867,       -0.24867
(463, 467),     -0.24863,       -0.24863
(23, 252),     -0.24853,       -0.24853
(70, 254),     -0.2482,       -0.2482
(46, 253),     -0.24803,       -0.24803
(65, 157),     -0.24795,       -0.24795
(55, 339),     -0.24794,       -0.24794
(263, 334),     -0.24777,       -0.24777
(373, 386),     -0.24773,       -0.24773
(173, 353),     -0.24717,       -0.24717
(24, 70),     -0.24708,       -0.24708
(105, 373),     -0.2467,       -0.2467
(25, 463),     -0.24647,       -0.24647
(130, 285),     -0.24639,       -0.24639
(190, 390),     -0.24616,       -0.24616
(35, 414),     -0.24598,       -0.24598
(252, 387),     -0.24532,       -0.24532
(253, 466),     -0.24505,       -0.24505
(110, 256),     -0.24478,       -0.24478
(112, 263),     -0.24469,       -0.24469
(66, 339),     -0.24418,       -0.24418
(63, 353),     -0.24401,       -0.24401
(159, 353),     -0.24375,       -0.24375
(55, 390),     -0.2437,       -0.2437
(27, 252),     -0.24325,       -0.24325
(56, 124),     -0.24284,       -0.24284
(258, 263),     -0.24248,       -0.24248
(145, 341),     -0.24245,       -0.24245
(124, 383),     -0.24243,       -0.24243
(24, 46),     -0.24238,       -0.24238
(256, 359),     -0.24205,       -0.24205
(66, 158),     -0.24196,       -0.24196
(110, 341),     -0.24177,       -0.24177
(25, 145),     -0.24174,       -0.24174
(25, 381),     -0.24173,       -0.24173
(110, 382),     -0.24152,       -0.24152
(55, 173),     -0.2413,       -0.2413
(246, 285),     -0.24103,       -0.24103
(33, 353),     -0.24079,       -0.24079
(7, 353),     -0.24077,       -0.24077
(246, 293),     -0.24043,       -0.24043
(260, 336),     -0.24002,       -0.24002
(112, 193),     -0.23995,       -0.23995
(160, 255),     -0.23958,       -0.23958
(105, 173),     -0.23958,       -0.23958
(107, 259),     -0.23938,       -0.23938
(374, 386),     -0.23924,       -0.23924
(258, 386),     -0.23913,       -0.23913
(105, 256),     -0.23899,       -0.23899
(161, 339),     -0.2389,       -0.2389
(105, 112),     -0.23881,       -0.23881
(144, 255),     -0.2386,       -0.2386
(133, 249),     -0.23793,       -0.23793
(53, 339),     -0.23775,       -0.23775
(7, 124),     -0.23773,       -0.23773
(154, 417),     -0.23748,       -0.23748
(374, 381),     -0.23717,       -0.23717
(65, 254),     -0.23664,       -0.23664
(23, 24),     -0.23658,       -0.23658
(249, 353),     -0.23648,       -0.23648
(25, 33),     -0.23635,       -0.23635
(55, 190),     -0.23626,       -0.23626
(158, 373),     -0.23625,       -0.23625
(107, 283),     -0.23564,       -0.23564
(63, 173),     -0.23556,       -0.23556
(26, 374),     -0.23513,       -0.23513
(159, 253),     -0.23492,       -0.23492
(133, 359),     -0.23473,       -0.23473
(190, 295),     -0.23473,       -0.23473
(243, 353),     -0.23428,       -0.23428
(160, 353),     -0.23427,       -0.23427
(55, 373),     -0.23427,       -0.23427
(22, 341),     -0.23384,       -0.23384
(374, 463),     -0.23382,       -0.23382
(26, 359),     -0.23326,       -0.23326
(25, 254),     -0.23324,       -0.23324
(130, 276),     -0.23309,       -0.23309
(163, 253),     -0.23278,       -0.23278
(160, 300),     -0.23234,       -0.23234
(286, 466),     -0.23181,       -0.23181
(110, 353),     -0.23108,       -0.23108
(46, 353),     -0.23044,       -0.23044
(190, 293),     -0.23043,       -0.23043
(161, 295),     -0.2299,       -0.2299
(243, 359),     -0.22983,       -0.22983
(30, 253),     -0.22978,       -0.22978
(53, 157),     -0.22968,       -0.22968
(110, 255),     -0.22962,       -0.22962
(339, 398),     -0.22925,       -0.22925
(52, 339),     -0.22915,       -0.22915
(28, 256),     -0.22894,       -0.22894
(384, 467),     -0.22847,       -0.22847
(63, 374),     -0.22839,       -0.22839
(33, 285),     -0.22799,       -0.22799
(384, 390),     -0.22797,       -0.22797
(70, 353),     -0.22795,       -0.22795
(156, 383),     -0.22794,       -0.22794
(112, 387),     -0.22788,       -0.22788
(159, 243),     -0.22785,       -0.22785
(263, 374),     -0.22775,       -0.22775
(190, 353),     -0.22748,       -0.22748
(105, 133),     -0.22723,       -0.22723
(110, 463),     -0.22713,       -0.22713
(293, 336),     -0.22699,       -0.22699
(27, 296),     -0.2269,       -0.2269
(247, 353),     -0.22666,       -0.22666
(255, 386),     -0.22666,       -0.22666
(260, 285),     -0.22664,       -0.22664
(112, 388),     -0.22646,       -0.22646
(263, 380),     -0.22638,       -0.22638
(27, 255),     -0.22626,       -0.22626
(249, 263),     -0.22626,       -0.22626
(249, 374),     -0.22612,       -0.22612
(7, 254),     -0.2258,       -0.2258
(158, 390),     -0.22576,       -0.22576
(63, 256),     -0.22574,       -0.22574
(63, 105),     -0.22565,       -0.22565
(55, 160),     -0.2255,       -0.2255
(105, 161),     -0.22464,       -0.22464
(25, 362),     -0.22452,       -0.22452
(159, 373),     -0.2244,       -0.2244
(107, 359),     -0.22429,       -0.22429
(70, 253),     -0.22426,       -0.22426
(107, 300),     -0.22369,       -0.22369
(193, 388),     -0.22358,       -0.22358
(105, 380),     -0.22354,       -0.22354
(380, 385),     -0.22301,       -0.22301
(161, 296),     -0.22291,       -0.22291
(257, 388),     -0.22225,       -0.22225
(112, 159),     -0.22217,       -0.22217
(388, 390),     -0.22202,       -0.22202
(70, 163),     -0.22147,       -0.22147
(27, 334),     -0.2213,       -0.2213
(130, 300),     -0.2212,       -0.2212
(46, 163),     -0.22098,       -0.22098
(133, 387),     -0.22087,       -0.22087
(153, 390),     -0.22085,       -0.22085
(258, 384),     -0.22067,       -0.22067
(52, 53),     -0.22016,       -0.22016
(158, 159),     -0.21983,       -0.21983
(28, 293),     -0.21977,       -0.21977
(27, 373),     -0.21954,       -0.21954
(247, 254),     -0.21952,       -0.21952
(112, 157),     -0.21949,       -0.21949
(66, 276),     -0.21936,       -0.21936
(26, 63),     -0.21866,       -0.21866
(282, 359),     -0.21862,       -0.21862
(260, 334),     -0.21859,       -0.21859
(390, 417),     -0.21853,       -0.21853
(159, 390),     -0.21844,       -0.21844
(254, 463),     -0.21807,       -0.21807
(26, 105),     -0.218,       -0.218
(144, 256),     -0.2178,       -0.2178
(163, 353),     -0.21765,       -0.21765
(339, 414),     -0.21743,       -0.21743
(359, 381),     -0.21735,       -0.21735
(258, 276),     -0.21686,       -0.21686
(373, 385),     -0.21678,       -0.21678
(110, 381),     -0.21652,       -0.21652
(133, 466),     -0.2163,       -0.2163
(27, 28),     -0.21608,       -0.21608
(70, 383),     -0.2159,       -0.2159
(353, 386),     -0.21574,       -0.21574
(46, 252),     -0.21572,       -0.21572
(65, 161),     -0.21545,       -0.21545
(161, 282),     -0.21544,       -0.21544
(161, 254),     -0.21531,       -0.21531
(29, 124),     -0.21482,       -0.21482
(254, 381),     -0.21473,       -0.21473
(66, 159),     -0.21454,       -0.21454
(66, 255),     -0.21422,       -0.21422
(252, 386),     -0.21421,       -0.21421
(263, 387),     -0.21404,       -0.21404
(63, 163),     -0.21391,       -0.21391
(55, 353),     -0.21375,       -0.21375
(53, 252),     -0.21365,       -0.21365
(25, 252),     -0.2134,       -0.2134
(55, 161),     -0.21285,       -0.21285
(33, 110),     -0.21278,       -0.21278
(25, 341),     -0.21275,       -0.21275
(35, 359),     -0.21255,       -0.21255
(65, 353),     -0.21246,       -0.21246
(161, 353),     -0.2123,       -0.2123
(28, 53),     -0.21225,       -0.21225
(133, 158),     -0.21221,       -0.21221
(341, 384),     -0.21196,       -0.21196
(27, 161),     -0.21193,       -0.21193
(373, 414),     -0.21187,       -0.21187
(247, 285),     -0.21142,       -0.21142
(29, 246),     -0.21141,       -0.21141
(35, 133),     -0.21138,       -0.21138
(105, 255),     -0.2113,       -0.2113
(46, 339),     -0.21116,       -0.21116
(30, 55),     -0.21075,       -0.21075
(35, 256),     -0.21061,       -0.21061
(25, 46),     -0.21041,       -0.21041
(24, 63),     -0.21039,       -0.21039
(255, 286),     -0.21023,       -0.21023
(155, 263),     -0.21022,       -0.21022
(246, 353),     -0.21021,       -0.21021
(35, 252),     -0.21006,       -0.21006
(130, 417),     -0.20984,       -0.20984
(133, 467),     -0.20982,       -0.20982
(26, 381),     -0.20978,       -0.20978
(133, 382),     -0.20971,       -0.20971
(160, 276),     -0.20962,       -0.20962
(52, 253),     -0.20949,       -0.20949
(155, 466),     -0.20948,       -0.20948
(27, 105),     -0.20947,       -0.20947
(30, 353),     -0.2094,       -0.2094
(193, 249),     -0.20836,       -0.20836
(28, 390),     -0.20747,       -0.20747
(130, 161),     -0.20736,       -0.20736
(30, 124),     -0.2073,       -0.2073
(24, 256),     -0.20699,       -0.20699
(110, 362),     -0.20674,       -0.20674
(28, 56),     -0.20654,       -0.20654
(362, 467),     -0.20654,       -0.20654
(27, 374),     -0.20641,       -0.20641
(133, 388),     -0.20614,       -0.20614
(26, 158),     -0.20611,       -0.20611
(26, 263),     -0.20591,       -0.20591
(385, 467),     -0.20578,       -0.20578
(161, 300),     -0.20552,       -0.20552
(70, 252),     -0.20534,       -0.20534
(35, 154),     -0.20507,       -0.20507
(25, 339),     -0.20473,       -0.20473
(124, 276),     -0.20454,       -0.20454
(66, 373),     -0.20439,       -0.20439
(157, 158),     -0.20424,       -0.20424
(28, 353),     -0.20362,       -0.20362
(29, 53),     -0.20342,       -0.20342
(25, 383),     -0.2033,       -0.2033
(243, 467),     -0.20277,       -0.20277
(163, 252),     -0.20263,       -0.20263
(55, 246),     -0.20208,       -0.20208
(253, 390),     -0.20208,       -0.20208
(25, 35),     -0.20191,       -0.20191
(52, 246),     -0.20189,       -0.20189
(63, 190),     -0.20188,       -0.20188
(156, 300),     -0.20174,       -0.20174
(25, 253),     -0.20141,       -0.20141
(247, 293),     -0.20132,       -0.20132
(295, 398),     -0.20117,       -0.20117
(253, 388),     -0.20114,       -0.20114
(155, 158),     -0.20107,       -0.20107
(65, 383),     -0.201,       -0.201
(246, 334),     -0.20086,       -0.20086
(46, 110),     -0.20076,       -0.20076
(387, 466),     -0.20072,       -0.20072
(7, 339),     -0.20037,       -0.20037
(24, 163),     -0.20027,       -0.20027
(246, 300),     -0.20007,       -0.20007
(263, 339),     -0.20003,       -0.20003
(33, 300),     -0.1999,       -0.1999
(56, 105),     -0.19973,       -0.19973
(160, 336),     -0.19955,       -0.19955
(7, 110),     -0.19943,       -0.19943
(133, 285),     -0.19931,       -0.19931
(130, 383),     -0.19907,       -0.19907
(35, 155),     -0.19897,       -0.19897
(243, 263),     -0.19887,       -0.19887
(25, 256),     -0.19837,       -0.19837
(173, 336),     -0.19834,       -0.19834
(255, 285),     -0.19783,       -0.19783
(27, 353),     -0.19782,       -0.19782
(56, 380),     -0.19778,       -0.19778
(156, 276),     -0.19775,       -0.19775
(254, 359),     -0.19764,       -0.19764
(35, 153),     -0.19759,       -0.19759
(29, 353),     -0.19734,       -0.19734
(112, 353),     -0.19728,       -0.19728
(254, 466),     -0.19724,       -0.19724
(246, 295),     -0.19697,       -0.19697
(26, 380),     -0.19681,       -0.19681
(105, 300),     -0.19667,       -0.19667
(257, 300),     -0.19642,       -0.19642
(110, 359),     -0.19589,       -0.19589
(157, 374),     -0.1958,       -0.1958
(124, 254),     -0.19543,       -0.19543
(161, 283),     -0.19541,       -0.19541
(110, 246),     -0.19526,       -0.19526
(243, 463),     -0.19501,       -0.19501
(66, 254),     -0.19479,       -0.19479
(46, 383),     -0.19434,       -0.19434
(157, 353),     -0.19423,       -0.19423
(53, 353),     -0.19398,       -0.19398
(33, 276),     -0.19375,       -0.19375
(46, 334),     -0.19345,       -0.19345
(133, 463),     -0.19344,       -0.19344
(145, 373),     -0.1934,       -0.1934
(33, 53),     -0.19323,       -0.19323
(55, 124),     -0.19274,       -0.19274
(249, 283),     -0.19267,       -0.19267
(380, 463),     -0.19253,       -0.19253
(163, 255),     -0.19241,       -0.19241
(35, 380),     -0.19223,       -0.19223
(63, 373),     -0.19213,       -0.19213
(105, 155),     -0.19202,       -0.19202
(46, 293),     -0.19194,       -0.19194
(154, 353),     -0.19193,       -0.19193
(28, 380),     -0.19149,       -0.19149
(286, 295),     -0.19125,       -0.19125
(26, 159),     -0.19115,       -0.19115
(70, 339),     -0.1911,       -0.1911
(35, 254),     -0.19102,       -0.19102
(173, 381),     -0.19038,       -0.19038
(25, 398),     -0.19038,       -0.19038
(253, 387),     -0.19001,       -0.19001
(63, 153),     -0.18978,       -0.18978
(30, 70),     -0.18977,       -0.18977
(66, 157),     -0.18959,       -0.18959
(112, 386),     -0.18951,       -0.18951
(56, 283),     -0.18939,       -0.18939
(52, 383),     -0.18922,       -0.18922
(63, 380),     -0.18921,       -0.18921
(158, 353),     -0.18898,       -0.18898
(46, 296),     -0.18891,       -0.18891
(382, 384),     -0.18876,       -0.18876
(158, 173),     -0.18856,       -0.18856
(35, 145),     -0.18854,       -0.18854
(257, 384),     -0.18821,       -0.18821
(35, 384),     -0.18799,       -0.18799
(124, 300),     -0.18775,       -0.18775
(353, 362),     -0.18651,       -0.18651
(24, 359),     -0.18637,       -0.18637
(374, 385),     -0.18634,       -0.18634
(153, 362),     -0.18567,       -0.18567
(52, 157),     -0.18548,       -0.18548
(247, 339),     -0.18502,       -0.18502
(29, 252),     -0.18449,       -0.18449
(66, 300),     -0.18443,       -0.18443
(35, 243),     -0.18436,       -0.18436
(53, 383),     -0.18436,       -0.18436
(27, 124),     -0.18423,       -0.18423
(26, 154),     -0.18419,       -0.18419
(246, 276),     -0.18416,       -0.18416
(255, 390),     -0.18407,       -0.18407
(158, 258),     -0.18389,       -0.18389
(254, 382),     -0.18331,       -0.18331
(35, 467),     -0.18327,       -0.18327
(339, 385),     -0.18321,       -0.18321
(246, 339),     -0.18317,       -0.18317
(35, 339),     -0.1831,       -0.1831
(105, 276),     -0.18252,       -0.18252
(56, 390),     -0.18197,       -0.18197
(247, 334),     -0.18189,       -0.18189
(383, 388),     -0.18124,       -0.18124
(30, 296),     -0.18118,       -0.18118
(157, 252),     -0.18114,       -0.18114
(285, 383),     -0.18109,       -0.18109
(63, 145),     -0.18094,       -0.18094
(247, 296),     -0.18048,       -0.18048
(25, 414),     -0.18034,       -0.18034
(30, 334),     -0.18001,       -0.18001
(353, 384),     -0.17991,       -0.17991
(161, 276),     -0.17984,       -0.17984
(160, 253),     -0.17978,       -0.17978
(190, 276),     -0.17977,       -0.17977
(52, 353),     -0.17973,       -0.17973
(154, 263),     -0.1797,       -0.1797
(66, 390),     -0.1796,       -0.1796
(29, 296),     -0.17944,       -0.17944
(33, 293),     -0.17938,       -0.17938
(296, 387),     -0.17898,       -0.17898
(276, 285),     -0.17858,       -0.17858
(339, 386),     -0.17854,       -0.17854
(246, 254),     -0.17837,       -0.17837
(155, 467),     -0.17827,       -0.17827
(190, 334),     -0.17821,       -0.17821
(29, 334),     -0.17791,       -0.17791
(110, 383),     -0.17774,       -0.17774
(33, 383),     -0.17758,       -0.17758
(70, 293),     -0.17729,       -0.17729
(254, 380),     -0.17693,       -0.17693
(246, 282),     -0.17653,       -0.17653
(7, 383),     -0.17648,       -0.17648
(353, 385),     -0.17647,       -0.17647
(246, 296),     -0.17642,       -0.17642
(373, 398),     -0.17601,       -0.17601
(243, 382),     -0.17583,       -0.17583
(28, 65),     -0.17552,       -0.17552
(334, 467),     -0.1753,       -0.1753
(130, 293),     -0.17487,       -0.17487
(35, 253),     -0.1748,       -0.1748
(158, 252),     -0.17453,       -0.17453
(63, 144),     -0.17449,       -0.17449
(255, 374),     -0.17434,       -0.17434
(33, 55),     -0.17406,       -0.17406
(105, 390),     -0.17394,       -0.17394
(253, 386),     -0.17393,       -0.17393
(158, 374),     -0.17391,       -0.17391
(249, 466),     -0.17378,       -0.17378
(105, 154),     -0.17376,       -0.17376
(295, 334),     -0.17361,       -0.17361
(24, 341),     -0.17358,       -0.17358
(265, 374),     -0.17358,       -0.17358
(133, 263),     -0.17345,       -0.17345
(66, 160),     -0.17344,       -0.17344
(25, 380),     -0.17306,       -0.17306
(28, 29),     -0.17288,       -0.17288
(144, 353),     -0.17287,       -0.17287
(145, 390),     -0.17273,       -0.17273
(144, 373),     -0.17252,       -0.17252
(254, 387),     -0.17252,       -0.17252
(26, 466),     -0.17245,       -0.17245
(254, 386),     -0.17238,       -0.17238
(382, 467),     -0.17238,       -0.17238
(252, 359),     -0.17215,       -0.17215
(55, 130),     -0.17212,       -0.17212
(7, 417),     -0.17211,       -0.17211
(293, 414),     -0.17164,       -0.17164
(130, 157),     -0.17141,       -0.17141
(133, 157),     -0.1713,       -0.1713
(23, 256),     -0.17124,       -0.17124
(257, 265),     -0.17115,       -0.17115
(35, 255),     -0.17078,       -0.17078
(276, 286),     -0.17069,       -0.17069
(7, 253),     -0.17047,       -0.17047
(25, 153),     -0.17046,       -0.17046
(110, 373),     -0.17045,       -0.17045
(63, 130),     -0.17026,       -0.17026
(159, 374),     -0.16992,       -0.16992
(22, 390),     -0.1699,       -0.1699
(246, 283),     -0.16985,       -0.16985
(155, 388),     -0.16942,       -0.16942
(133, 386),     -0.16917,       -0.16917
(286, 385),     -0.1685,       -0.1685
(153, 249),     -0.16847,       -0.16847
(252, 385),     -0.16821,       -0.16821
(110, 380),     -0.16819,       -0.16819
(247, 295),     -0.16814,       -0.16814
(190, 296),     -0.16811,       -0.16811
(107, 255),     -0.1681,       -0.1681
(159, 252),     -0.16788,       -0.16788
(387, 388),     -0.16785,       -0.16785
(257, 286),     -0.16773,       -0.16773
(66, 173),     -0.16739,       -0.16739
(23, 46),     -0.1672,       -0.1672
(336, 359),     -0.16719,       -0.16719
(145, 374),     -0.16718,       -0.16718
(257, 383),     -0.16716,       -0.16716
(46, 276),     -0.16666,       -0.16666
(105, 381),     -0.16656,       -0.16656
(247, 276),     -0.16647,       -0.16647
(145, 381),     -0.16641,       -0.16641
(24, 161),     -0.16635,       -0.16635
(53, 66),     -0.16634,       -0.16634
(29, 255),     -0.1663,       -0.1663
(70, 173),     -0.16614,       -0.16614
(173, 467),     -0.166,       -0.166
(155, 159),     -0.16562,       -0.16562
(156, 293),     -0.16562,       -0.16562
(56, 353),     -0.16544,       -0.16544
(265, 388),     -0.16534,       -0.16534
(24, 160),     -0.16505,       -0.16505
(133, 159),     -0.16496,       -0.16496
(65, 373),     -0.16488,       -0.16488
(65, 255),     -0.16475,       -0.16475
(70, 334),     -0.16473,       -0.16473
(66, 374),     -0.16468,       -0.16468
(252, 265),     -0.16462,       -0.16462
(353, 463),     -0.16446,       -0.16446
(105, 341),     -0.16442,       -0.16442
(70, 300),     -0.16388,       -0.16388
(145, 382),     -0.16387,       -0.16387
(341, 381),     -0.16386,       -0.16386
(24, 390),     -0.16382,       -0.16382
(35, 173),     -0.16377,       -0.16377
(157, 159),     -0.16361,       -0.16361
(157, 286),     -0.1636,       -0.1636
(255, 387),     -0.1633,       -0.1633
(173, 249),     -0.16329,       -0.16329
(286, 300),     -0.16323,       -0.16323
(254, 388),     -0.16275,       -0.16275
(193, 380),     -0.16251,       -0.16251
(156, 295),     -0.16207,       -0.16207
(156, 296),     -0.16179,       -0.16179
(22, 373),     -0.16163,       -0.16163
(253, 341),     -0.16158,       -0.16158
(124, 339),     -0.16144,       -0.16144
(22, 249),     -0.16142,       -0.16142
(110, 374),     -0.16107,       -0.16107
(24, 249),     -0.1608,       -0.1608
(161, 255),     -0.16078,       -0.16078
(63, 300),     -0.16075,       -0.16075
(155, 387),     -0.16017,       -0.16017
(27, 336),     -0.16006,       -0.16006
(63, 255),     -0.15978,       -0.15978
(24, 373),     -0.15969,       -0.15969
(130, 254),     -0.15966,       -0.15966
(130, 295),     -0.15956,       -0.15956
(160, 373),     -0.15953,       -0.15953
(265, 390),     -0.15952,       -0.15952
(341, 467),     -0.1593,       -0.1593
(154, 158),     -0.15888,       -0.15888
(30, 53),     -0.15877,       -0.15877
