Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(153, 254),     -0.48375,       -0.48375
(158, 282),     -0.48312,       -0.48312
(296, 383),     -0.48296,       -0.48296
(155, 253),     -0.48237,       -0.48237
(158, 334),     -0.48045,       -0.48045
(253, 254),     -0.48033,       -0.48033
(256, 339),     -0.48004,       -0.48004
(257, 467),     -0.47991,       -0.47991
(155, 254),     -0.47983,       -0.47983
(133, 253),     -0.47978,       -0.47978
(384, 386),     -0.47962,       -0.47962
(359, 384),     -0.47913,       -0.47913
(158, 285),     -0.47878,       -0.47878
(160, 265),     -0.4776,       -0.4776
(26, 339),     -0.47676,       -0.47676
(154, 339),     -0.47556,       -0.47556
(255, 362),     -0.47542,       -0.47542
(334, 384),     -0.47498,       -0.47498
(156, 161),     -0.47453,       -0.47453
(283, 336),     -0.47425,       -0.47425
(243, 339),     -0.47343,       -0.47343
(257, 260),     -0.47304,       -0.47304
(105, 265),     -0.4726,       -0.4726
(154, 341),     -0.47232,       -0.47232
(257, 385),     -0.47229,       -0.47229
(158, 295),     -0.4722,       -0.4722
(259, 388),     -0.47158,       -0.47158
(252, 254),     -0.47118,       -0.47118
(282, 353),     -0.47078,       -0.47078
(46, 158),     -0.46951,       -0.46951
(153, 256),     -0.4685,       -0.4685
(398, 466),     -0.46828,       -0.46828
(359, 388),     -0.46821,       -0.46821
(300, 334),     -0.46812,       -0.46812
(26, 253),     -0.46768,       -0.46768
(353, 466),     -0.4667,       -0.4667
(263, 414),     -0.46466,       -0.46466
(387, 463),     -0.46463,       -0.46463
(157, 265),     -0.46448,       -0.46448
(339, 341),     -0.46447,       -0.46447
(254, 255),     -0.46443,       -0.46443
(246, 247),     -0.46419,       -0.46419
(63, 160),     -0.46344,       -0.46344
(157, 339),     -0.46328,       -0.46328
(359, 362),     -0.4631,       -0.4631
(28, 254),     -0.46283,       -0.46283
(154, 381),     -0.46248,       -0.46248
(46, 246),     -0.46231,       -0.46231
(133, 252),     -0.46231,       -0.46231
(52, 265),     -0.4617,       -0.4617
(255, 339),     -0.46119,       -0.46119
(26, 252),     -0.4608,       -0.4608
(260, 466),     -0.45983,       -0.45983
(258, 259),     -0.45975,       -0.45975
(283, 467),     -0.45964,       -0.45964
(159, 247),     -0.45952,       -0.45952
(190, 265),     -0.45944,       -0.45944
(63, 158),     -0.45932,       -0.45932
(29, 265),     -0.45877,       -0.45877
(66, 265),     -0.45852,       -0.45852
(388, 463),     -0.45807,       -0.45807
(282, 388),     -0.45805,       -0.45805
(158, 283),     -0.45802,       -0.45802
(155, 256),     -0.45789,       -0.45789
(30, 159),     -0.45757,       -0.45757
(243, 374),     -0.45686,       -0.45686
(259, 467),     -0.45658,       -0.45658
(30, 160),     -0.4563,       -0.4563
(190, 252),     -0.45478,       -0.45478
(276, 384),     -0.45463,       -0.45463
(387, 398),     -0.45454,       -0.45454
(154, 463),     -0.45423,       -0.45423
(252, 339),     -0.45379,       -0.45379
(263, 362),     -0.45333,       -0.45333
(155, 339),     -0.45312,       -0.45312
(384, 387),     -0.45311,       -0.45311
(388, 398),     -0.45258,       -0.45258
(257, 334),     -0.45238,       -0.45238
(173, 252),     -0.45225,       -0.45225
(386, 463),     -0.45214,       -0.45214
(255, 381),     -0.45186,       -0.45186
(463, 466),     -0.45054,       -0.45054
(339, 380),     -0.45021,       -0.45021
(161, 265),     -0.44972,       -0.44972
(386, 398),     -0.44833,       -0.44833
(56, 339),     -0.44816,       -0.44816
(385, 398),     -0.44799,       -0.44799
(25, 70),     -0.44797,       -0.44797
(112, 256),     -0.44705,       -0.44705
(155, 381),     -0.44701,       -0.44701
(362, 466),     -0.44612,       -0.44612
(334, 388),     -0.44495,       -0.44495
(243, 373),     -0.44426,       -0.44426
(382, 466),     -0.4436,       -0.4436
(385, 463),     -0.44305,       -0.44305
(259, 260),     -0.44302,       -0.44302
(28, 46),     -0.44297,       -0.44297
(258, 353),     -0.44296,       -0.44296
(133, 339),     -0.44295,       -0.44295
(384, 388),     -0.44293,       -0.44293
(385, 388),     -0.44281,       -0.44281
(35, 163),     -0.44233,       -0.44233
(30, 265),     -0.44175,       -0.44175
(286, 353),     -0.44113,       -0.44113
(263, 398),     -0.44107,       -0.44107
(154, 382),     -0.44101,       -0.44101
(373, 380),     -0.44078,       -0.44078
