Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(296, 384),     -0.21285,       -0.21285
(254, 382),     -0.21215,       -0.21215
(254, 381),     -0.21208,       -0.21208
(23, 112),     -0.21188,       -0.21188
(276, 384),     -0.2113,       -0.2113
(255, 285),     -0.21118,       -0.21118
(160, 282),     -0.21083,       -0.21083
(105, 336),     -0.21061,       -0.21061
(336, 388),     -0.21051,       -0.21051
(161, 334),     -0.21044,       -0.21044
(259, 295),     -0.20897,       -0.20897
(336, 398),     -0.20884,       -0.20884
(163, 276),     -0.2086,       -0.2086
(160, 293),     -0.20661,       -0.20661
(27, 336),     -0.20569,       -0.20569
(65, 105),     -0.20523,       -0.20523
(282, 466),     -0.20443,       -0.20443
(255, 374),     -0.20403,       -0.20403
(295, 388),     -0.20379,       -0.20379
(70, 282),     -0.20317,       -0.20317
(70, 285),     -0.20304,       -0.20304
(63, 295),     -0.2029,       -0.2029
(265, 383),     -0.20287,       -0.20287
(159, 257),     -0.20279,       -0.20279
(110, 154),     -0.2019,       -0.2019
(70, 130),     -0.20157,       -0.20157
(255, 282),     -0.20144,       -0.20144
(70, 295),     -0.20078,       -0.20078
(256, 382),     -0.19896,       -0.19896
(7, 258),     -0.19889,       -0.19889
(295, 334),     -0.19824,       -0.19824
(27, 295),     -0.19813,       -0.19813
(334, 384),     -0.19808,       -0.19808
(163, 283),     -0.19803,       -0.19803
(63, 285),     -0.1976,       -0.1976
(157, 293),     -0.19758,       -0.19758
(124, 157),     -0.1975,       -0.1975
(158, 283),     -0.19723,       -0.19723
(259, 296),     -0.1966,       -0.1966
(27, 105),     -0.19655,       -0.19655
(70, 283),     -0.1965,       -0.1965
(52, 70),     -0.19573,       -0.19573
(130, 283),     -0.19565,       -0.19565
(107, 246),     -0.1956,       -0.1956
(110, 133),     -0.19529,       -0.19529
(46, 173),     -0.19493,       -0.19493
(27, 70),     -0.19488,       -0.19488
(159, 258),     -0.1945,       -0.1945
(260, 296),     -0.19437,       -0.19437
