Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(154, 163),     -0.31953,       -0.31953
(252, 282),     -0.31893,       -0.31893
(52, 145),     -0.31881,       -0.31881
(29, 243),     -0.31805,       -0.31805
(283, 390),     -0.31695,       -0.31695
(33, 173),     -0.31664,       -0.31664
(29, 112),     -0.31534,       -0.31534
(144, 145),     -0.31517,       -0.31517
(7, 144),     -0.31474,       -0.31474
(25, 26),     -0.31471,       -0.31471
(24, 25),     -0.31466,       -0.31466
(359, 373),     -0.31453,       -0.31453
(25, 155),     -0.31372,       -0.31372
(334, 362),     -0.31346,       -0.31346
(374, 388),     -0.31343,       -0.31343
(35, 190),     -0.31311,       -0.31311
(296, 463),     -0.3118,       -0.3118
(56, 130),     -0.31042,       -0.31042
(259, 382),     -0.3102,       -0.3102
(24, 161),     -0.30977,       -0.30977
(26, 29),     -0.30938,       -0.30938
(386, 463),     -0.30743,       -0.30743
(7, 33),     -0.30726,       -0.30726
(158, 190),     -0.30656,       -0.30656
(334, 463),     -0.30526,       -0.30526
(7, 159),     -0.30374,       -0.30374
(27, 56),     -0.30374,       -0.30374
(22, 29),     -0.30306,       -0.30306
(154, 160),     -0.30276,       -0.30276
(33, 144),     -0.30275,       -0.30275
(293, 353),     -0.30259,       -0.30259
(25, 173),     -0.30221,       -0.30221
(158, 160),     -0.30202,       -0.30202
(155, 163),     -0.30169,       -0.30169
(260, 382),     -0.30144,       -0.30144
(27, 144),     -0.30129,       -0.30129
(158, 159),     -0.30124,       -0.30124
(29, 155),     -0.30098,       -0.30098
(7, 247),     -0.30055,       -0.30055
(190, 247),     -0.29819,       -0.29819
(283, 382),     -0.29785,       -0.29785
(382, 387),     -0.29777,       -0.29777
(23, 29),     -0.29771,       -0.29771
(296, 414),     -0.29697,       -0.29697
(22, 130),     -0.29602,       -0.29602
(385, 463),     -0.29574,       -0.29574
(24, 30),     -0.29489,       -0.29489
(259, 390),     -0.29475,       -0.29475
(7, 157),     -0.29416,       -0.29416
(25, 157),     -0.29391,       -0.29391
(295, 463),     -0.2935,       -0.2935
(26, 160),     -0.29344,       -0.29344
(387, 463),     -0.29252,       -0.29252
(144, 153),     -0.29221,       -0.29221
(282, 414),     -0.2914,       -0.2914
(159, 163),     -0.29128,       -0.29128
(257, 382),     -0.29116,       -0.29116
(145, 160),     -0.28953,       -0.28953
(112, 163),     -0.28943,       -0.28943
(249, 390),     -0.289,       -0.289
(381, 467),     -0.28885,       -0.28885
(25, 133),     -0.28854,       -0.28854
(334, 341),     -0.28854,       -0.28854
(253, 282),     -0.28839,       -0.28839
(263, 373),     -0.28691,       -0.28691
(256, 259),     -0.28685,       -0.28685
(7, 190),     -0.2867,       -0.2867
(341, 387),     -0.28645,       -0.28645
(257, 463),     -0.28586,       -0.28586
(362, 387),     -0.28572,       -0.28572
(27, 190),     -0.28555,       -0.28555
(373, 388),     -0.28526,       -0.28526
(33, 153),     -0.28525,       -0.28525
(384, 385),     -0.28455,       -0.28455
(381, 387),     -0.28227,       -0.28227
