Comparing the following files: 
hadleigh_front_s4_v2/,  hadleigh_low_s4_v2/,  hadleigh_right_threequarter_s4_v2/,  hadleigh_left_threequarter_s4_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s4_v2_vs_hadleigh_low_s4_v2,  hadleigh_front_s4_v2_vs_hadleigh_right_threequarter_s4_v2,  hadleigh_front_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  hadleigh_low_s4_v2_vs_hadleigh_right_threequarter_s4_v2,  hadleigh_low_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  hadleigh_right_threequarter_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  average
(66, 158),     0.82627,       0.3582,       0.71205,       0.36604,       0.67069,       0.5303,       0.57726
(66, 110),     0.66043,       0.55789,       0.72624,       0.32982,       0.60097,       0.57601,       0.57523
(66, 159),     0.81672,       0.35656,       0.66466,       0.39759,       0.65413,       0.54298,       0.57211
(24, 107),     0.69394,       0.54179,       0.66439,       0.30356,       0.6284,       0.58892,       0.57017
(66, 160),     0.7929,       0.36427,       0.61617,       0.42942,       0.63141,       0.56019,       0.56573
(107, 173),     0.79315,       0.50477,       0.64391,       0.30632,       0.58012,       0.5533,       0.56359
(107, 157),     0.84124,       0.39454,       0.64028,       0.32558,       0.62946,       0.54581,       0.56282
(259, 265),     0.80572,       0.54371,       0.57209,       0.67756,       0.55841,       0.2159,       0.56223
(107, 190),     0.77035,       0.55648,       0.64056,       0.27122,       0.61559,       0.5123,       0.56108
(257, 265),     0.81304,       0.58812,       0.55885,       0.64491,       0.52581,       0.23259,       0.56055
(66, 163),     0.66348,       0.52188,       0.67983,       0.32377,       0.60525,       0.56805,       0.56038
(66, 157),     0.76333,       0.37738,       0.70946,       0.36811,       0.6192,       0.52194,       0.5599
(7, 66),     0.6642,       0.45809,       0.64202,       0.37049,       0.63284,       0.58181,       0.55824
(336, 339),     0.66012,       0.78989,       0.55749,       0.35483,       0.56015,       0.42442,       0.55782
(254, 336),     0.7142,       0.69149,       0.67046,       0.22035,       0.5852,       0.46391,       0.5576
(22, 153),     0.68639,       0.3754,       0.8121,       0.41379,       0.68915,       0.36117,       0.55633
(296, 386),     0.87363,       0.48173,       0.59154,       0.42386,       0.57331,       0.38843,       0.55542
(24, 336),     0.81241,       0.35202,       0.67174,       0.26853,       0.73229,       0.48597,       0.55383
(28, 158),     0.67861,       0.37617,       0.70149,       0.40624,       0.63365,       0.52267,       0.55314
(25, 66),     0.59023,       0.48504,       0.64572,       0.39555,       0.61749,       0.58306,       0.55285
(130, 247),     0.81552,       0.35012,       0.78716,       0.3025,       0.64268,       0.41626,       0.55237
(107, 110),     0.65728,       0.4725,       0.58503,       0.3597,       0.64523,       0.58079,       0.55009
(65, 110),     0.63596,       0.52985,       0.59728,       0.35337,       0.5572,       0.61912,       0.5488
(23, 107),     0.68417,       0.54145,       0.68229,       0.21289,       0.60335,       0.56354,       0.54795
(107, 243),     0.73359,       0.58343,       0.67222,       0.23163,       0.57063,       0.49548,       0.54783
(107, 133),     0.74344,       0.56403,       0.64027,       0.25833,       0.5402,       0.53112,       0.54623
(107, 144),     0.67466,       0.50216,       0.6033,       0.305,       0.6221,       0.56992,       0.54619
(107, 158),     0.85202,       0.35031,       0.59052,       0.32091,       0.62616,       0.52863,       0.54476
(66, 161),     0.73207,       0.34669,       0.56066,       0.4307,       0.61565,       0.58197,       0.54462
(110, 336),     0.75728,       0.34145,       0.59721,       0.35431,       0.72304,       0.48737,       0.54344
(23, 145),     0.58786,       0.41275,       0.8077,       0.39169,       0.65687,       0.40149,       0.54306
(296, 387),     0.83385,       0.56911,       0.51511,       0.43963,       0.51023,       0.37877,       0.54112
(24, 66),     0.65109,       0.54011,       0.74453,       0.22884,       0.54407,       0.53782,       0.54108
(27, 160),     0.68342,       0.3643,       0.65223,       0.4305,       0.59029,       0.52103,       0.54029
