Comparing the following files: 
kelly_front_s3_v2/,  kelly_low_s3_v2/,  kelly_right_threequarter_s3_v2/,  kelly_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s3_v2_vs_kelly_low_s3_v2,  kelly_front_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_front_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_right_threequarter_s3_v2,  kelly_low_s3_v2_vs_kelly_left_threequarter_s3_v2,  kelly_right_threequarter_s3_v2_vs_kelly_left_threequarter_s3_v2,  average
(28, 112),     0.814,       0.72753,       0.62515,       0.83295,       0.66931,       0.83903,       0.75133
(22, 161),     0.9562,       0.81594,       0.57568,       0.79865,       0.57006,       0.78928,       0.75097
(56, 155),     0.81763,       0.74301,       0.6185,       0.83161,       0.67258,       0.82096,       0.75072
(27, 112),     0.82216,       0.75076,       0.6068,       0.83037,       0.65338,       0.84024,       0.75062
(110, 160),     0.93999,       0.75058,       0.57314,       0.7684,       0.58444,       0.88601,       0.75043
(256, 386),     0.88878,       0.78141,       0.6118,       0.77275,       0.5796,       0.86817,       0.75042
(286, 382),     0.82231,       0.83472,       0.67444,       0.78087,       0.57569,       0.81432,       0.75039
(144, 160),     0.93231,       0.76913,       0.56571,       0.7765,       0.57765,       0.87799,       0.74988
(22, 29),     0.79495,       0.78422,       0.58876,       0.8485,       0.6609,       0.82181,       0.74986
(56, 154),     0.82302,       0.78825,       0.57847,       0.83953,       0.67668,       0.79263,       0.74976
(25, 246),     0.9533,       0.72571,       0.56101,       0.78915,       0.61699,       0.84851,       0.74911
(56, 243),     0.82709,       0.72927,       0.66221,       0.80698,       0.64616,       0.8222,       0.74898
(163, 246),     0.9265,       0.82307,       0.54723,       0.80183,       0.56516,       0.83001,       0.74897
(286, 341),     0.83258,       0.80832,       0.68775,       0.78914,       0.57121,       0.8044,       0.7489
(27, 155),     0.80995,       0.75037,       0.5984,       0.83658,       0.65533,       0.84166,       0.74871
(110, 159),     0.90423,       0.76075,       0.59463,       0.76245,       0.58511,       0.88474,       0.74865
(145, 158),     0.8851,       0.77554,       0.57143,       0.78847,       0.59835,       0.86875,       0.74794
(258, 341),     0.7998,       0.77087,       0.73952,       0.77827,       0.59009,       0.80835,       0.74782
(29, 154),     0.82281,       0.79718,       0.56012,       0.8388,       0.64417,       0.82206,       0.74752
(24, 246),     0.94906,       0.79072,       0.5511,       0.7902,       0.59061,       0.81146,       0.74719
(286, 414),     0.81744,       0.79126,       0.74713,       0.75355,       0.58413,       0.7868,       0.74672
(112, 173),     0.9563,       0.73948,       0.54099,       0.81048,       0.61543,       0.81683,       0.74658
(28, 155),     0.80448,       0.73127,       0.60989,       0.8353,       0.66428,       0.83255,       0.7463
(29, 155),     0.83603,       0.78124,       0.58058,       0.81995,       0.63663,       0.82012,       0.74576
(257, 382),     0.75609,       0.76519,       0.78163,       0.77207,       0.59383,       0.80483,       0.74561
(27, 153),     0.75926,       0.76353,       0.58197,       0.85362,       0.67024,       0.84357,       0.74536
(144, 159),     0.8766,       0.77731,       0.57821,       0.78082,       0.58538,       0.87338,       0.74528
(380, 387),     0.82072,       0.78917,       0.64965,       0.77457,       0.59095,       0.84647,       0.74525
(158, 243),     0.95177,       0.77828,       0.59563,       0.76674,       0.5506,       0.82791,       0.74516
(252, 387),     0.89157,       0.7913,       0.60401,       0.77997,       0.56974,       0.83337,       0.74499
(256, 385),     0.91404,       0.78233,       0.57413,       0.77388,       0.55682,       0.86673,       0.74466
(29, 112),     0.84943,       0.78516,       0.58281,       0.81489,       0.62631,       0.80918,       0.74463
(23, 157),     0.86323,       0.79812,       0.57649,       0.79719,       0.61265,       0.81957,       0.74454
(256, 258),     0.77232,       0.78769,       0.72337,       0.78842,       0.58526,       0.8081,       0.74419
(257, 381),     0.72825,       0.77772,       0.7598,       0.78536,       0.59109,       0.82054,       0.74379
(256, 384),     0.92732,       0.79048,       0.54061,       0.78973,       0.56082,       0.8527,       0.74361
(341, 398),     0.9322,       0.74383,       0.52581,       0.79758,       0.62268,       0.83915,       0.74354
(161, 163),     0.92623,       0.77241,       0.54419,       0.78452,       0.57016,       0.86354,       0.74351
(286, 463),     0.83849,       0.78179,       0.71135,       0.76365,       0.56226,       0.80173,       0.74321
(362, 384),     0.85704,       0.77117,       0.63186,       0.75818,       0.56372,       0.87637,       0.74306
(362, 385),     0.81119,       0.77022,       0.68048,       0.74923,       0.57854,       0.86792,       0.74293
(158, 173),     0.89939,       0.77655,       0.61976,       0.76067,       0.55883,       0.84101,       0.7427
(133, 160),     0.90116,       0.81476,       0.61916,       0.77571,       0.56669,       0.7776,       0.74251
(252, 386),     0.91515,       0.7878,       0.57099,       0.77663,       0.55049,       0.85386,       0.74249
(159, 243),     0.93817,       0.78884,       0.60119,       0.7664,       0.55285,       0.80682,       0.74238
(29, 153),     0.78346,       0.78909,       0.55927,       0.83946,       0.64675,       0.82624,       0.74071
(28, 153),     0.75872,       0.76495,       0.5887,       0.83924,       0.6733,       0.81802,       0.74049
(252, 385),     0.92681,       0.79465,       0.5506,       0.77902,       0.54077,       0.85095,       0.74047
(7, 246),     0.91908,       0.7849,       0.52501,       0.80635,       0.56563,       0.84056,       0.74025
(374, 387),     0.87775,       0.79273,       0.60179,       0.77884,       0.55807,       0.82762,       0.73947
(27, 243),     0.81978,       0.75237,       0.6093,       0.80093,       0.62735,       0.82531,       0.73917
(159, 173),     0.87857,       0.78637,       0.6178,       0.76191,       0.5701,       0.81745,       0.7387
(286, 381),     0.79384,       0.86466,       0.64684,       0.76231,       0.59497,       0.76577,       0.73807
(253, 387),     0.91025,       0.78744,       0.56764,       0.78465,       0.54947,       0.82878,       0.73804
(28, 243),     0.80707,       0.72328,       0.62889,       0.80165,       0.63798,       0.82646,       0.73755
(381, 387),     0.72432,       0.75972,       0.68443,       0.76956,       0.6255,       0.86126,       0.73746
(253, 386),     0.91661,       0.78663,       0.54997,       0.7801,       0.54222,       0.84835,       0.73731
(25, 161),     0.92409,       0.72243,       0.56802,       0.75477,       0.5868,       0.86743,       0.73726
(110, 158),     0.8395,       0.76806,       0.61402,       0.74507,       0.58502,       0.87112,       0.73713
(153, 161),     0.91627,       0.85207,       0.57981,       0.78906,       0.55266,       0.73237,       0.73704
