Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(23, 285),     0.5608,       0.81121,       0.63751,       0.5704,       0.33748,       0.55845,       0.57931
(130, 258),     0.75841,       0.72806,       0.40504,       0.70822,       0.4166,       0.45764,       0.579
(159, 295),     0.71531,       0.72933,       0.50745,       0.68454,       0.40372,       0.43305,       0.5789
(110, 380),     0.63235,       0.66793,       0.49669,       0.73391,       0.47131,       0.46903,       0.57854
(110, 386),     0.67314,       0.66872,       0.477,       0.68585,       0.54152,       0.41816,       0.5774
(24, 398),     0.62475,       0.63699,       0.52011,       0.71491,       0.54286,       0.42388,       0.57725
(25, 386),     0.68387,       0.64327,       0.44157,       0.73433,       0.51633,       0.44276,       0.57702
(33, 296),     0.66355,       0.75962,       0.52186,       0.67214,       0.37751,       0.46478,       0.57658
(110, 381),     0.6403,       0.67133,       0.46002,       0.75476,       0.49342,       0.4388,       0.57644
(25, 190),     0.60911,       0.63864,       0.55157,       0.71178,       0.48168,       0.46273,       0.57592
(246, 295),     0.76957,       0.69267,       0.49921,       0.64401,       0.41681,       0.43256,       0.57581
(35, 388),     0.72486,       0.61755,       0.50613,       0.69344,       0.4789,       0.43348,       0.57573
(24, 380),     0.59871,       0.65179,       0.54787,       0.69928,       0.48895,       0.46652,       0.57552
(7, 258),     0.73977,       0.67128,       0.46377,       0.63992,       0.50709,       0.42931,       0.57519
(247, 336),     0.66504,       0.64573,       0.55802,       0.73536,       0.37716,       0.46379,       0.57418
(159, 296),     0.59204,       0.74922,       0.55793,       0.69719,       0.36489,       0.47957,       0.57347
(130, 286),     0.78018,       0.68898,       0.39684,       0.71442,       0.43278,       0.4216,       0.57247
(35, 386),     0.7863,       0.60811,       0.50175,       0.70619,       0.45124,       0.3729,       0.57108
(56, 160),     0.61566,       0.57805,       0.50189,       0.76257,       0.56167,       0.40073,       0.57009
(33, 258),     0.77467,       0.6383,       0.42088,       0.67942,       0.47785,       0.42229,       0.5689
(107, 160),     0.48524,       0.57718,       0.65816,       0.68213,       0.47106,       0.53926,       0.56884
(24, 258),     0.6356,       0.76801,       0.58453,       0.46593,       0.47139,       0.48457,       0.56834
(25, 295),     0.68293,       0.75518,       0.5437,       0.58283,       0.36855,       0.47428,       0.56791
(158, 336),     0.57171,       0.73285,       0.55922,       0.77735,       0.30049,       0.46516,       0.5678
(28, 161),     0.66247,       0.69234,       0.52342,       0.63173,       0.53676,       0.35744,       0.56736
(33, 295),     0.74712,       0.71621,       0.47986,       0.64246,       0.39004,       0.42484,       0.56676
(161, 334),     0.57018,       0.73776,       0.57349,       0.60783,       0.40412,       0.50696,       0.56672
(158, 285),     0.71065,       0.73013,       0.40412,       0.83302,       0.34364,       0.37512,       0.56611
(163, 336),     0.53413,       0.77943,       0.58501,       0.62876,       0.35537,       0.51152,       0.5657
(163, 258),     0.69746,       0.68985,       0.50757,       0.55879,       0.50512,       0.43209,       0.56515
(55, 130),     0.69594,       0.58932,       0.6123,       0.59446,       0.4701,       0.42608,       0.5647
(24, 381),     0.58512,       0.64948,       0.51999,       0.69417,       0.50569,       0.43336,       0.56463
(35, 258),     0.77969,       0.62821,       0.5525,       0.64726,       0.44301,       0.33512,       0.5643
(246, 334),     0.57914,       0.75414,       0.55189,       0.6122,       0.38733,       0.49822,       0.56382
(35, 257),     0.76136,       0.66916,       0.53994,       0.59725,       0.43068,       0.38193,       0.56339
(163, 286),     0.74527,       0.61772,       0.53304,       0.54266,       0.54611,       0.3944,       0.5632
(7, 286),     0.76813,       0.60169,       0.47994,       0.60875,       0.5323,       0.38655,       0.56289
(24, 386),     0.65966,       0.65622,       0.4846,       0.64828,       0.53401,       0.39318,       0.56266
(33, 107),     0.45848,       0.64558,       0.62462,       0.672,       0.44164,       0.53085,       0.5622
(161, 282),     0.69033,       0.69954,       0.52232,       0.5591,       0.43088,       0.46687,       0.56151
(23, 414),     0.58239,       0.6935,       0.60666,       0.55626,       0.49344,       0.43441,       0.56111
(160, 282),     0.65576,       0.69599,       0.53946,       0.56087,       0.43128,       0.47504,       0.55973
(35, 259),     0.7337,       0.68206,       0.53311,       0.57192,       0.42699,       0.40972,       0.55958
(110, 257),     0.62789,       0.73677,       0.5346,       0.48497,       0.47397,       0.49352,       0.55862
(25, 387),     0.59994,       0.62008,       0.43043,       0.71154,       0.53493,       0.45474,       0.55861
(25, 259),     0.62094,       0.71208,       0.47771,       0.55392,       0.47309,       0.51117,       0.55815
(25, 296),     0.55624,       0.77475,       0.57224,       0.60149,       0.33035,       0.5087,       0.55729
(35, 385),     0.80148,       0.58633,       0.49008,       0.69154,       0.44555,       0.32707,       0.55701
(110, 173),     0.5526,       0.64559,       0.53945,       0.58626,       0.4926,       0.52286,       0.55656
(23, 385),     0.64712,       0.62804,       0.51667,       0.65498,       0.51114,       0.37814,       0.55602
(110, 387),     0.6036,       0.64185,       0.45143,       0.65767,       0.54456,       0.43568,       0.5558
(110, 382),     0.58461,       0.62292,       0.41872,       0.77528,       0.50536,       0.42579,       0.55545
(246, 282),     0.69076,       0.71487,       0.49709,       0.56119,       0.40856,       0.45665,       0.55485
(23, 384),     0.61953,       0.59654,       0.5502,       0.63447,       0.52198,       0.40626,       0.55483
(24, 463),     0.57345,       0.62247,       0.48723,       0.723,       0.51502,       0.39523,       0.55273
(35, 286),     0.79339,       0.60091,       0.53551,       0.64906,       0.45337,       0.28297,       0.55254
(144, 286),     0.71061,       0.62463,       0.57882,       0.46081,       0.53573,       0.40428,       0.55248
(160, 334),     0.51733,       0.71385,       0.58162,       0.60086,       0.39111,       0.50987,       0.55244
(130, 257),     0.70052,       0.70777,       0.3786,       0.63906,       0.40217,       0.48035,       0.55141
(28, 160),     0.62188,       0.63007,       0.53212,       0.6498,       0.51056,       0.36323,       0.55128
(130, 296),     0.6207,       0.75127,       0.51454,       0.64924,       0.31389,       0.45769,       0.55122
(145, 285),     0.55917,       0.77641,       0.62281,       0.51234,       0.32518,       0.50987,       0.55096
(25, 398),     0.6548,       0.6064,       0.33878,       0.81683,       0.48769,       0.39963,       0.55069
(7, 295),     0.66603,       0.73767,       0.51219,       0.55688,       0.38291,       0.44752,       0.55053
(110, 144),     0.73292,       0.61203,       0.47048,       0.63123,       0.41168,       0.44224,       0.5501
(33, 334),     0.55434,       0.76967,       0.52849,       0.59957,       0.36314,       0.48419,       0.5499
(110, 463),     0.60901,       0.61807,       0.40847,       0.77346,       0.50041,       0.38818,       0.5496
(33, 257),     0.7251,       0.61423,       0.39406,       0.64492,       0.46992,       0.44437,       0.54877
(130, 295),     0.70481,       0.74238,       0.47387,       0.61324,       0.32144,       0.43159,       0.54789
(246, 258),     0.7485,       0.54867,       0.42782,       0.63819,       0.50227,       0.41531,       0.54679
(7, 257),     0.67266,       0.64503,       0.43635,       0.58949,       0.48889,       0.44776,       0.5467
(246, 283),     0.58675,       0.66784,       0.497,       0.58549,       0.44172,       0.50063,       0.54657
(144, 258),     0.64916,       0.70277,       0.55219,       0.46183,       0.47351,       0.43965,       0.54652
(24, 336),     0.42195,       0.7925,       0.62686,       0.5509,       0.29605,       0.58902,       0.54621
(35, 466),     0.66911,       0.56221,       0.48219,       0.654,       0.47252,       0.43603,       0.54601
(33, 286),     0.78134,       0.5704,       0.42404,       0.63198,       0.49415,       0.3723,       0.5457
(53, 66),     0.64986,       0.44595,       0.58083,       0.70857,       0.48231,       0.40353,       0.54517
(24, 382),     0.51722,       0.61174,       0.48177,       0.71419,       0.5113,       0.43129,       0.54458
(7, 296),     0.54441,       0.77839,       0.54931,       0.56023,       0.34403,       0.49002,       0.5444
(107, 247),     0.51733,       0.46686,       0.63391,       0.69227,       0.46865,       0.48116,       0.54336
(110, 157),     0.74822,       0.6523,       0.46374,       0.69718,       0.41418,       0.28437,       0.54333
(110, 374),     0.54566,       0.57271,       0.50508,       0.68225,       0.46297,       0.4913,       0.54333
(33, 282),     0.66258,       0.74104,       0.47314,       0.55721,       0.38278,       0.44314,       0.54331
(144, 414),     0.60768,       0.61109,       0.52327,       0.59587,       0.53777,       0.38252,       0.54303
(133, 158),     0.76847,       0.52892,       0.45597,       0.53729,       0.59033,       0.37395,       0.54249
(35, 260),     0.68158,       0.66571,       0.51531,       0.55789,       0.4141,       0.41155,       0.54102
(33, 283),     0.57205,       0.71674,       0.47435,       0.57883,       0.41782,       0.48398,       0.54063
(35, 336),     0.65265,       0.47484,       0.63189,       0.67802,       0.43946,       0.36513,       0.54033
(163, 385),     0.63138,       0.55305,       0.40364,       0.71281,       0.54379,       0.39625,       0.54015
(159, 282),     0.5941,       0.72091,       0.50745,       0.57421,       0.37248,       0.47148,       0.5401
(158, 295),     0.66739,       0.75012,       0.45819,       0.67858,       0.26623,       0.4173,       0.53964
(161, 283),     0.56251,       0.61021,       0.51374,       0.57846,       0.45954,       0.51233,       0.53946
(163, 414),     0.62575,       0.60386,       0.45225,       0.65299,       0.53417,       0.36697,       0.53933
(30, 336),     0.59988,       0.57482,       0.53971,       0.68223,       0.38241,       0.45632,       0.53923
(144, 385),     0.63813,       0.54701,       0.43189,       0.6802,       0.54486,       0.3915,       0.53893
(30, 107),     0.50464,       0.38852,       0.61628,       0.68803,       0.50586,       0.52792,       0.53854
(23, 398),     0.50396,       0.59972,       0.54311,       0.64133,       0.51369,       0.42897,       0.53846
(163, 384),     0.62801,       0.535,       0.41225,       0.71705,       0.54614,       0.39138,       0.5383
(28, 246),     0.63648,       0.69149,       0.50216,       0.5821,       0.49052,       0.32667,       0.53824
(23, 286),     0.59542,       0.69126,       0.61768,       0.40504,       0.4625,       0.45677,       0.53811
(25, 107),     0.37135,       0.64126,       0.63086,       0.63546,       0.38792,       0.56105,       0.53798
(7, 56),     0.57012,       0.70171,       0.53264,       0.58204,       0.47907,       0.36099,       0.53776
(110, 362),     0.56875,       0.59788,       0.38994,       0.75902,       0.51446,       0.39276,       0.53714
(157, 173),     0.77715,       0.52667,       0.45351,       0.54392,       0.579,       0.34185,       0.53702
(24, 387),     0.60015,       0.6196,       0.44481,       0.61443,       0.52417,       0.41833,       0.53692
(110, 295),     0.57268,       0.76827,       0.58269,       0.44758,       0.34393,       0.50628,       0.5369
(7, 385),     0.63781,       0.53484,       0.36599,       0.74521,       0.53026,       0.40707,       0.53686
(52, 66),     0.52246,       0.40233,       0.56012,       0.72423,       0.52409,       0.48577,       0.5365
(130, 385),     0.68432,       0.5849,       0.30142,       0.75448,       0.43332,       0.45992,       0.53639
(24, 374),     0.52508,       0.53577,       0.53145,       0.64935,       0.47886,       0.49096,       0.53524
(24, 341),     0.52059,       0.5907,       0.43729,       0.76728,       0.47901,       0.4165,       0.53523
(144, 384),     0.61787,       0.51865,       0.45958,       0.66775,       0.54992,       0.39478,       0.53476
(53, 107),     0.63379,       0.4612,       0.52357,       0.65754,       0.44005,       0.49195,       0.53468
(55, 163),     0.4639,       0.71957,       0.63185,       0.47058,       0.41259,       0.50605,       0.53409
(145, 385),     0.62801,       0.53429,       0.45909,       0.66675,       0.52582,       0.38537,       0.53322
(124, 336),     0.65237,       0.4941,       0.60185,       0.67975,       0.37371,       0.39339,       0.53253
(33, 259),     0.63937,       0.5839,       0.37301,       0.63652,       0.48627,       0.47322,       0.53205
(133, 157),     0.76253,       0.62454,       0.31377,       0.64928,       0.51549,       0.32218,       0.5313
(46, 107),     0.64499,       0.38629,       0.59191,       0.66827,       0.47177,       0.42151,       0.53079
(110, 145),     0.75442,       0.56521,       0.38951,       0.61115,       0.36268,       0.49964,       0.53043
