Comparing the following files: 
kelly_front_s31_v2/,  kelly_front_s32_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s31_v2_vs_kelly_front_s32_v2,  average
(190, 193),     -0.39666,       -0.39666
(341, 381),     -0.31959,       -0.31959
(28, 336),     -0.31386,       -0.31386
(28, 173),     -0.26858,       -0.26858
(173, 193),     -0.26844,       -0.26844
(56, 285),     -0.26269,       -0.26269
(27, 336),     -0.23488,       -0.23488
(293, 467),     -0.21695,       -0.21695
(65, 107),     -0.20662,       -0.20662
(283, 334),     -0.20177,       -0.20177
(334, 467),     -0.17412,       -0.17412
(25, 193),     -0.17332,       -0.17332
(260, 334),     -0.17071,       -0.17071
(55, 247),     -0.16862,       -0.16862
(293, 359),     -0.16817,       -0.16817
(362, 417),     -0.16803,       -0.16803
(163, 193),     -0.16673,       -0.16673
(7, 193),     -0.15467,       -0.15467
(56, 336),     -0.15312,       -0.15312
(258, 259),     -0.14789,       -0.14789
(398, 417),     -0.14603,       -0.14603
(283, 296),     -0.13719,       -0.13719
(334, 359),     -0.13411,       -0.13411
(27, 173),     -0.13375,       -0.13375
(276, 336),     -0.1329,       -0.1329
(29, 336),     -0.12984,       -0.12984
(282, 296),     -0.12787,       -0.12787
(259, 334),     -0.12636,       -0.12636
(336, 353),     -0.12179,       -0.12179
(265, 385),     -0.11828,       -0.11828
(276, 296),     -0.11788,       -0.11788
(257, 258),     -0.11763,       -0.11763
(276, 467),     -0.11703,       -0.11703
(283, 467),     -0.11658,       -0.11658
(286, 334),     -0.11327,       -0.11327
(259, 286),     -0.11235,       -0.11235
(276, 359),     -0.10475,       -0.10475
(283, 359),     -0.10303,       -0.10303
(258, 260),     -0.10058,       -0.10058
(190, 417),     -0.09182,       -0.09182
(30, 55),     -0.08314,       -0.08314
(414, 417),     -0.0821,       -0.0821
(300, 359),     -0.08083,       -0.08083
(30, 336),     -0.07864,       -0.07864
(257, 259),     -0.07863,       -0.07863
(257, 286),     -0.07652,       -0.07652
(258, 467),     -0.07592,       -0.07592
(260, 286),     -0.07477,       -0.07477
(384, 417),     -0.06752,       -0.06752
(173, 417),     -0.06249,       -0.06249
(157, 193),     -0.06191,       -0.06191
(276, 293),     -0.05928,       -0.05928
(255, 385),     -0.05882,       -0.05882
(258, 359),     -0.05874,       -0.05874
(285, 353),     -0.05825,       -0.05825
(247, 336),     -0.05699,       -0.05699
(256, 380),     -0.05675,       -0.05675
(353, 359),     -0.05646,       -0.05646
(260, 283),     -0.05436,       -0.05436
(265, 384),     -0.05173,       -0.05173
(283, 336),     -0.0466,       -0.0466
(286, 296),     -0.03953,       -0.03953
(144, 193),     -0.03683,       -0.03683
(255, 258),     -0.03553,       -0.03553
(296, 353),     -0.03471,       -0.03471
(260, 293),     -0.03431,       -0.03431
(255, 334),     -0.03367,       -0.03367
(286, 467),     -0.03241,       -0.03241
(296, 359),     -0.03194,       -0.03194
(133, 417),     -0.02983,       -0.02983
(28, 285),     -0.02956,       -0.02956
(296, 398),     -0.0267,       -0.0267
(33, 285),     -0.02573,       -0.02573
(296, 467),     -0.02026,       -0.02026
(7, 285),     -0.0185,       -0.0185
(260, 296),     -0.01841,       -0.01841
(293, 353),     -0.01766,       -0.01766
(286, 417),     -0.01764,       -0.01764
(282, 359),     -0.01626,       -0.01626
(282, 336),     -0.01601,       -0.01601
(55, 130),     -0.01413,       -0.01413
(56, 193),     -0.01371,       -0.01371
(33, 193),     -0.01365,       -0.01365
(282, 467),     -0.00954,       -0.00954
(255, 296),     -0.00686,       -0.00686
(276, 334),     -0.00553,       -0.00553
(265, 386),     -0.00456,       -0.00456
(259, 296),     -0.00437,       -0.00437
(133, 193),     -0.00279,       -0.00279
(259, 285),     -0.00088,       -0.00088
(249, 386),     0.00036,       0.00036
(33, 55),     0.00734,       0.00734
(255, 384),     0.00876,       0.00876
(257, 334),     0.01007,       0.01007
(155, 243),     0.01369,       0.01369
(29, 55),     0.01396,       0.01396
(259, 398),     0.01423,       0.01423
(382, 417),     0.01445,       0.01445
(286, 359),     0.01463,       0.01463
(249, 385),     0.01491,       0.01491
(282, 286),     0.01599,       0.01599
(25, 417),     0.01671,       0.01671
(260, 282),     0.01797,       0.01797
(283, 286),     0.01805,       0.01805
(130, 285),     0.01934,       0.01934
(263, 353),     0.02085,       0.02085
(173, 285),     0.02203,       0.02203
(286, 353),     0.02228,       0.02228
