Comparing the following files: 
hadleigh_front_s3_v2/,  hadleigh_low_s3_v2/,  hadleigh_right_threequarter_s3_v2/,  hadleigh_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s3_v2_vs_hadleigh_low_s3_v2,  hadleigh_front_s3_v2_vs_hadleigh_right_threequarter_s3_v2,  hadleigh_front_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  hadleigh_low_s3_v2_vs_hadleigh_right_threequarter_s3_v2,  hadleigh_low_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  hadleigh_right_threequarter_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  average
(259, 334),     0.88089,       0.84424,       0.85266,       0.92275,       0.81422,       0.8365,       0.85854
(293, 388),     0.9228,       0.85995,       0.81234,       0.88853,       0.81801,       0.82017,       0.85363
(293, 466),     0.9094,       0.84802,       0.81522,       0.88594,       0.81257,       0.82293,       0.84901
(259, 283),     0.89048,       0.84631,       0.77433,       0.91384,       0.83196,       0.81949,       0.84607
(260, 334),     0.89444,       0.83369,       0.8431,       0.89128,       0.80056,       0.79527,       0.84306
(257, 334),     0.88606,       0.82588,       0.81404,       0.90634,       0.8243,       0.79565,       0.84205
(334, 384),     0.94389,       0.83638,       0.81221,       0.87781,       0.78847,       0.79129,       0.84168
(334, 388),     0.92996,       0.84389,       0.77335,       0.8689,       0.82905,       0.7987,       0.84064
(276, 466),     0.91837,       0.83792,       0.82827,       0.86975,       0.77228,       0.79722,       0.8373
(260, 293),     0.88938,       0.86365,       0.79423,       0.91456,       0.77505,       0.77839,       0.83588
(260, 283),     0.90134,       0.80814,       0.79402,       0.86421,       0.84098,       0.80212,       0.83514
(258, 334),     0.91227,       0.83939,       0.77604,       0.914,       0.78667,       0.76167,       0.83167
(276, 467),     0.88059,       0.85416,       0.7968,       0.90814,       0.75504,       0.78795,       0.83045
(276, 388),     0.92643,       0.84105,       0.81813,       0.85611,       0.75611,       0.77945,       0.82955
(293, 467),     0.88445,       0.83991,       0.80319,       0.90156,       0.75945,       0.7788,       0.82789
(334, 385),     0.93833,       0.84458,       0.74719,       0.88189,       0.75287,       0.75845,       0.82055
(334, 387),     0.9356,       0.81581,       0.76423,       0.83897,       0.80243,       0.74255,       0.8166
(334, 466),     0.91902,       0.78932,       0.76854,       0.81586,       0.83289,       0.76061,       0.81437
(286, 334),     0.93184,       0.82085,       0.77194,       0.89504,       0.7493,       0.71653,       0.81425
(283, 388),     0.93218,       0.82155,       0.71659,       0.84419,       0.79537,       0.76832,       0.81303
(293, 384),     0.92598,       0.85716,       0.75093,       0.89957,       0.71444,       0.71463,       0.81045
(293, 387),     0.92754,       0.79712,       0.7928,       0.81632,       0.7837,       0.71786,       0.80589
(26, 296),     0.93712,       0.77217,       0.78829,       0.79648,       0.77883,       0.73749,       0.80173
(112, 296),     0.93411,       0.77152,       0.81295,       0.7672,       0.80512,       0.71715,       0.80134
(26, 336),     0.89432,       0.75949,       0.84096,       0.77222,       0.80755,       0.72785,       0.8004
(257, 282),     0.90721,       0.74595,       0.68869,       0.8195,       0.83071,       0.80207,       0.79902
(283, 384),     0.93718,       0.78453,       0.76139,       0.8082,       0.74268,       0.7572,       0.79853
(263, 293),     0.88796,       0.76704,       0.80146,       0.81116,       0.777,       0.73305,       0.79628
(296, 384),     0.96466,       0.75829,       0.77213,       0.77048,       0.77255,       0.72883,       0.79449
(258, 296),     0.8991,       0.77632,       0.69435,       0.82413,       0.80979,       0.76283,       0.79442
(283, 387),     0.94067,       0.8157,       0.71262,       0.82298,       0.74803,       0.71543,       0.79257
(296, 385),     0.96039,       0.81822,       0.69206,       0.84375,       0.71264,       0.71553,       0.79043
(258, 282),     0.93858,       0.72163,       0.69323,       0.78909,       0.80823,       0.7807,       0.78858
(334, 467),     0.89239,       0.74592,       0.81073,       0.79421,       0.79493,       0.69304,       0.78854
(293, 359),     0.88437,       0.76039,       0.78239,       0.82043,       0.76583,       0.71529,       0.78812
(243, 296),     0.92702,       0.76209,       0.80897,       0.73513,       0.78275,       0.70546,       0.7869
(334, 386),     0.93632,       0.7802,       0.74783,       0.80434,       0.76496,       0.68525,       0.78648
(300, 466),     0.88264,       0.8731,       0.76747,       0.85165,       0.61952,       0.7164,       0.78513
(257, 296),     0.85625,       0.79289,       0.6854,       0.81216,       0.81341,       0.74146,       0.7836
(22, 336),     0.88596,       0.72181,       0.8252,       0.78149,       0.77455,       0.71096,       0.78333
(257, 283),     0.89211,       0.80161,       0.72026,       0.84663,       0.76051,       0.67056,       0.78195
(133, 296),     0.9234,       0.78941,       0.77323,       0.75108,       0.71497,       0.73571,       0.7813
(22, 296),     0.93131,       0.74731,       0.75724,       0.80018,       0.73553,       0.71218,       0.78063
(283, 385),     0.93965,       0.83723,       0.67591,       0.85465,       0.65627,       0.71793,       0.78027
(112, 336),     0.88649,       0.75265,       0.82966,       0.72603,       0.80471,       0.68105,       0.7801
(293, 385),     0.92476,       0.82944,       0.71818,       0.85957,       0.67838,       0.66274,       0.77885
(155, 296),     0.9264,       0.76769,       0.75021,       0.75323,       0.70036,       0.73371,       0.77193
(259, 293),     0.86787,       0.79146,       0.74335,       0.83795,       0.74679,       0.64041,       0.77131
(282, 385),     0.95061,       0.8067,       0.63773,       0.82548,       0.67498,       0.73118,       0.77111
(243, 334),     0.92514,       0.81738,       0.69547,       0.81073,       0.70684,       0.66905,       0.77077
(283, 466),     0.91562,       0.72613,       0.70435,       0.76013,       0.81095,       0.70687,       0.77068
(282, 384),     0.95296,       0.70173,       0.75124,       0.7162,       0.76628,       0.73225,       0.77011
(259, 282),     0.88719,       0.70769,       0.72507,       0.73366,       0.83713,       0.72606,       0.76947
(255, 293),     0.87859,       0.75093,       0.78316,       0.82686,       0.69606,       0.66341,       0.7665
(112, 334),     0.92561,       0.80144,       0.68955,       0.81615,       0.70587,       0.65066,       0.76488
(263, 276),     0.88489,       0.71527,       0.81379,       0.75843,       0.73946,       0.67427,       0.76435
(300, 359),     0.85441,       0.82813,       0.75795,       0.84698,       0.61865,       0.67854,       0.76411
(249, 293),     0.88088,       0.74053,       0.80052,       0.79772,       0.70915,       0.65529,       0.76401
(133, 336),     0.85261,       0.76473,       0.82143,       0.68982,       0.71812,       0.72229,       0.7615
(334, 374),     0.89288,       0.74127,       0.79757,       0.80744,       0.70599,       0.62011,       0.76088
(255, 334),     0.89806,       0.6944,       0.8045,       0.75605,       0.76211,       0.64862,       0.76062
(154, 296),     0.92429,       0.75752,       0.70864,       0.77721,       0.66763,       0.72659,       0.76031
(249, 334),     0.89989,       0.68011,       0.80754,       0.72121,       0.79797,       0.65359,       0.76005
(276, 359),     0.8754,       0.70399,       0.75587,       0.76535,       0.7741,       0.6809,       0.75927
(253, 285),     0.92794,       0.69302,       0.83489,       0.68184,       0.81382,       0.59644,       0.75799
(282, 387),     0.95193,       0.79714,       0.62343,       0.80602,       0.70669,       0.65869,       0.75732
(296, 374),     0.92199,       0.69092,       0.83163,       0.71272,       0.78113,       0.60488,       0.75721
(154, 336),     0.85929,       0.73287,       0.78617,       0.73126,       0.69389,       0.7393,       0.75713
(283, 467),     0.89301,       0.67818,       0.75645,       0.72342,       0.82593,       0.66365,       0.75677
(286, 296),     0.93712,       0.69166,       0.71711,       0.72385,       0.78952,       0.68073,       0.75666
(293, 386),     0.92552,       0.75607,       0.74644,       0.7734,       0.71641,       0.61945,       0.75621
(334, 380),     0.90657,       0.74494,       0.78386,       0.80753,       0.69695,       0.59659,       0.75607
(282, 286),     0.94979,       0.64677,       0.74336,       0.68701,       0.80242,       0.69618,       0.75426
(155, 336),     0.86135,       0.73847,       0.80638,       0.68786,       0.70774,       0.72355,       0.75423
(243, 336),     0.86379,       0.73587,       0.82609,       0.67244,       0.7643,       0.66111,       0.75393
(334, 390),     0.89444,       0.685,       0.81591,       0.73818,       0.75944,       0.63033,       0.75388
(300, 388),     0.86856,       0.81777,       0.76439,       0.77587,       0.61781,       0.67558,       0.75333
(253, 334),     0.89839,       0.74762,       0.77669,       0.82869,       0.66801,       0.59575,       0.75252
(334, 373),     0.88962,       0.70916,       0.80735,       0.77284,       0.71951,       0.61606,       0.75242
(263, 334),     0.90406,       0.68735,       0.73733,       0.7124,       0.81626,       0.65687,       0.75238
(173, 336),     0.85963,       0.7885,       0.77799,       0.72424,       0.61652,       0.74689,       0.7523
(296, 387),     0.95831,       0.77739,       0.65162,       0.7906,       0.71471,       0.60848,       0.75018
(296, 380),     0.93248,       0.68613,       0.82278,       0.70916,       0.76923,       0.57975,       0.74992
(252, 285),     0.9327,       0.68167,       0.83135,       0.67072,       0.80313,       0.57291,       0.74875
(253, 296),     0.92628,       0.70793,       0.80882,       0.74477,       0.72882,       0.57506,       0.74861
(283, 386),     0.94012,       0.76768,       0.68608,       0.77222,       0.68256,       0.63418,       0.74714
(334, 359),     0.90212,       0.67152,       0.76083,       0.71046,       0.80499,       0.63195,       0.74698
(296, 386),     0.96025,       0.7568,       0.67228,       0.77766,       0.7023,       0.61195,       0.74687
(282, 386),     0.95088,       0.78234,       0.62738,       0.79151,       0.67627,       0.64964,       0.74634
(173, 296),     0.92448,       0.80146,       0.69542,       0.74906,       0.59065,       0.71681,       0.74631
(252, 334),     0.90897,       0.75033,       0.76279,       0.82268,       0.65927,       0.57074,       0.7458
(334, 339),     0.89606,       0.702,       0.79455,       0.77851,       0.69853,       0.60358,       0.74554
(300, 467),     0.83365,       0.86075,       0.7068,       0.8232,       0.5942,       0.65362,       0.74537
(276, 387),     0.90149,       0.73207,       0.78564,       0.73267,       0.68066,       0.63883,       0.74523
(334, 398),     0.94524,       0.71637,       0.76481,       0.75179,       0.71768,       0.5674,       0.74388
(296, 373),     0.92121,       0.65202,       0.82427,       0.6661,       0.80045,       0.5912,       0.74254
(133, 334),     0.92439,       0.80847,       0.65388,       0.79261,       0.63104,       0.64456,       0.74249
(26, 334),     0.92456,       0.77815,       0.64845,       0.8176,       0.65908,       0.62542,       0.74221
(336, 374),     0.91701,       0.67924,       0.81513,       0.65947,       0.80296,       0.57875,       0.74209
(293, 374),     0.87339,       0.77338,       0.74426,       0.84182,       0.63462,       0.58408,       0.74193
(253, 336),     0.92209,       0.70708,       0.79654,       0.70699,       0.75308,       0.56086,       0.74111
