Comparing the following files: 
kelly_front_s3_v2/,  hadleigh_front_s3_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s3_v2_vs_hadleigh_front_s3_v2,  average
(283, 293),     -0.71698,       -0.71698
(124, 293),     -0.69625,       -0.69625
(35, 300),     -0.6899,       -0.6899
(35, 276),     -0.68959,       -0.68959
(156, 293),     -0.6687,       -0.6687
(35, 283),     -0.65532,       -0.65532
(28, 300),     -0.65402,       -0.65402
(124, 334),     -0.65378,       -0.65378
(56, 276),     -0.6531,       -0.6531
(56, 300),     -0.65268,       -0.65268
(35, 293),     -0.65215,       -0.65215
(124, 300),     -0.65164,       -0.65164
(46, 334),     -0.6477,       -0.6477
(295, 334),     -0.64672,       -0.64672
(35, 353),     -0.64635,       -0.64635
(46, 293),     -0.6448,       -0.6448
(35, 383),     -0.63886,       -0.63886
(156, 334),     -0.63129,       -0.63129
(28, 293),     -0.63123,       -0.63123
(27, 293),     -0.62774,       -0.62774
(156, 300),     -0.62392,       -0.62392
(124, 283),     -0.62001,       -0.62001
(124, 282),     -0.61404,       -0.61404
(28, 276),     -0.60667,       -0.60667
(28, 283),     -0.60453,       -0.60453
(53, 334),     -0.60437,       -0.60437
(70, 334),     -0.60407,       -0.60407
(70, 293),     -0.59757,       -0.59757
(124, 276),     -0.59732,       -0.59732
(52, 63),     -0.58835,       -0.58835
(35, 265),     -0.58107,       -0.58107
(53, 293),     -0.57994,       -0.57994
(35, 282),     -0.57834,       -0.57834
(133, 381),     -0.57495,       -0.57495
(155, 252),     -0.57333,       -0.57333
(133, 252),     -0.57224,       -0.57224
(155, 381),     -0.57062,       -0.57062
(46, 296),     -0.56881,       -0.56881
(29, 293),     -0.56437,       -0.56437
(155, 256),     -0.56338,       -0.56338
(133, 256),     -0.56084,       -0.56084
(157, 276),     -0.55964,       -0.55964
(56, 353),     -0.55958,       -0.55958
(124, 296),     -0.55726,       -0.55726
(124, 295),     -0.55405,       -0.55405
(52, 334),     -0.55275,       -0.55275
(243, 381),     -0.55205,       -0.55205
(46, 300),     -0.55159,       -0.55159
(154, 398),     -0.55055,       -0.55055
(173, 384),     -0.54659,       -0.54659
(53, 296),     -0.54148,       -0.54148
(257, 300),     -0.54108,       -0.54108
(157, 300),     -0.53965,       -0.53965
(243, 256),     -0.53839,       -0.53839
(35, 286),     -0.53836,       -0.53836
(46, 282),     -0.5373,       -0.5373
(154, 382),     -0.53702,       -0.53702
(52, 293),     -0.53695,       -0.53695
(27, 283),     -0.5359,       -0.5359
(56, 383),     -0.53576,       -0.53576
(156, 276),     -0.5353,       -0.5353
(243, 252),     -0.53486,       -0.53486
(154, 256),     -0.53326,       -0.53326
(156, 283),     -0.53279,       -0.53279
(155, 382),     -0.53207,       -0.53207
(27, 300),     -0.53139,       -0.53139
(30, 293),     -0.53111,       -0.53111
(153, 398),     -0.53061,       -0.53061
(154, 381),     -0.53013,       -0.53013
(133, 380),     -0.52979,       -0.52979
(154, 362),     -0.52949,       -0.52949
(190, 276),     -0.52872,       -0.52872
(154, 341),     -0.52854,       -0.52854
(153, 362),     -0.52813,       -0.52813
(153, 341),     -0.5279,       -0.5279
(173, 276),     -0.52785,       -0.52785
(27, 334),     -0.5277,       -0.5277
(173, 286),     -0.52737,       -0.52737
(112, 398),     -0.52631,       -0.52631
(285, 334),     -0.52622,       -0.52622
(27, 282),     -0.52479,       -0.52479
(155, 398),     -0.52469,       -0.52469
(29, 334),     -0.52362,       -0.52362
(56, 283),     -0.52331,       -0.52331
(112, 381),     -0.5228,       -0.5228
(35, 334),     -0.52168,       -0.52168
(153, 382),     -0.52154,       -0.52154
(156, 282),     -0.52135,       -0.52135
(24, 341),     -0.52053,       -0.52053
(56, 293),     -0.52047,       -0.52047
(155, 380),     -0.52035,       -0.52035
(153, 463),     -0.51915,       -0.51915
(155, 341),     -0.51894,       -0.51894
(154, 252),     -0.5183,       -0.5183
(24, 398),     -0.51796,       -0.51796
(154, 414),     -0.51751,       -0.51751
(133, 384),     -0.51685,       -0.51685
(133, 382),     -0.51637,       -0.51637
(124, 383),     -0.51556,       -0.51556
(153, 256),     -0.51453,       -0.51453
(154, 463),     -0.5144,       -0.5144
(24, 382),     -0.51411,       -0.51411
(145, 341),     -0.51365,       -0.51365
(112, 382),     -0.51261,       -0.51261
(55, 293),     -0.51238,       -0.51238
(173, 398),     -0.51199,       -0.51199
(46, 283),     -0.5119,       -0.5119
(247, 293),     -0.51165,       -0.51165
(112, 414),     -0.51151,       -0.51151
(35, 258),     -0.51066,       -0.51066
(24, 362),     -0.51016,       -0.51016
(156, 383),     -0.50971,       -0.50971
(24, 463),     -0.50784,       -0.50784
(155, 253),     -0.50768,       -0.50768
(243, 398),     -0.50675,       -0.50675
(133, 341),     -0.50667,       -0.50667
(70, 300),     -0.5063,       -0.5063
(156, 296),     -0.5061,       -0.5061
(63, 334),     -0.5059,       -0.5059
(145, 362),     -0.50449,       -0.50449
(65, 293),     -0.50402,       -0.50402
(133, 253),     -0.50299,       -0.50299
(190, 258),     -0.50218,       -0.50218
(112, 256),     -0.50205,       -0.50205
(153, 414),     -0.50186,       -0.50186
(190, 300),     -0.50171,       -0.50171
(173, 381),     -0.50091,       -0.50091
(243, 382),     -0.50061,       -0.50061
(145, 463),     -0.49958,       -0.49958
(155, 414),     -0.49782,       -0.49782
(24, 414),     -0.49773,       -0.49773
(145, 382),     -0.4971,       -0.4971
(243, 414),     -0.49636,       -0.49636
(157, 258),     -0.49633,       -0.49633
(124, 353),     -0.49481,       -0.49481
(173, 382),     -0.49477,       -0.49477
(153, 381),     -0.49409,       -0.49409
(190, 353),     -0.49395,       -0.49395
(35, 398),     -0.49382,       -0.49382
(133, 398),     -0.49372,       -0.49372
(173, 300),     -0.49323,       -0.49323
(112, 362),     -0.49234,       -0.49234
(30, 334),     -0.49207,       -0.49207
(23, 341),     -0.49172,       -0.49172
(243, 341),     -0.49072,       -0.49072
(145, 398),     -0.49062,       -0.49062
(145, 256),     -0.49014,       -0.49014
(259, 300),     -0.48798,       -0.48798
(155, 362),     -0.48796,       -0.48796
(112, 252),     -0.48784,       -0.48784
(65, 334),     -0.48733,       -0.48733
(112, 341),     -0.48651,       -0.48651
(35, 384),     -0.4857,       -0.4857
(26, 362),     -0.48527,       -0.48527
(29, 282),     -0.48409,       -0.48409
(26, 382),     -0.48404,       -0.48404
(157, 286),     -0.48382,       -0.48382
(35, 382),     -0.48326,       -0.48326
(243, 380),     -0.4827,       -0.4827
(157, 353),     -0.48233,       -0.48233
(153, 252),     -0.48203,       -0.48203
(155, 384),     -0.48178,       -0.48178
(52, 296),     -0.48173,       -0.48173
(23, 382),     -0.48078,       -0.48078
(24, 256),     -0.48031,       -0.48031
(23, 362),     -0.48004,       -0.48004
(334, 336),     -0.47912,       -0.47912
(35, 362),     -0.47892,       -0.47892
(70, 296),     -0.47872,       -0.47872
(157, 414),     -0.47863,       -0.47863
(46, 295),     -0.47848,       -0.47848
(173, 353),     -0.47779,       -0.47779
(173, 362),     -0.47726,       -0.47726
(112, 463),     -0.47681,       -0.47681
(190, 381),     -0.47655,       -0.47655
(23, 463),     -0.47641,       -0.47641
(190, 256),     -0.47637,       -0.47637
(22, 362),     -0.47515,       -0.47515
(133, 286),     -0.4743,       -0.4743
(22, 382),     -0.47389,       -0.47389
(155, 463),     -0.47332,       -0.47332
(53, 282),     -0.47223,       -0.47223
(157, 384),     -0.47192,       -0.47192
(257, 276),     -0.47166,       -0.47166
(22, 341),     -0.47091,       -0.47091
(53, 300),     -0.47059,       -0.47059
(156, 353),     -0.46973,       -0.46973
(28, 282),     -0.46965,       -0.46965
(35, 295),     -0.46822,       -0.46822
(133, 414),     -0.46795,       -0.46795
(63, 293),     -0.46791,       -0.46791
(26, 463),     -0.46788,       -0.46788
(110, 341),     -0.46737,       -0.46737
(26, 398),     -0.46722,       -0.46722
(55, 300),     -0.46553,       -0.46553
(30, 282),     -0.46542,       -0.46542
(22, 463),     -0.46539,       -0.46539
(145, 414),     -0.46536,       -0.46536
(24, 381),     -0.46488,       -0.46488
(112, 154),     -0.46426,       -0.46426
(124, 265),     -0.46385,       -0.46385
(190, 252),     -0.46379,       -0.46379
(26, 414),     -0.46316,       -0.46316
(23, 256),     -0.46294,       -0.46294
(35, 414),     -0.46178,       -0.46178
(26, 341),     -0.46176,       -0.46176
(144, 341),     -0.46141,       -0.46141
(26, 381),     -0.46116,       -0.46116
(23, 398),     -0.46099,       -0.46099
(23, 414),     -0.46067,       -0.46067
(173, 258),     -0.46053,       -0.46053
(258, 300),     -0.45976,       -0.45976
