Comparing the following files: 
kelly_front_s4_v2/,  hadleigh_front_s4_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s4_v2_vs_hadleigh_front_s4_v2,  average
(24, 359),     -0.7158,       -0.7158
(144, 359),     -0.71075,       -0.71075
(144, 467),     -0.70127,       -0.70127
(24, 467),     -0.6863,       -0.6863
(23, 359),     -0.68296,       -0.68296
(145, 359),     -0.68208,       -0.68208
(145, 467),     -0.68047,       -0.68047
(110, 359),     -0.67659,       -0.67659
(29, 390),     -0.67649,       -0.67649
(110, 467),     -0.67628,       -0.67628
(27, 373),     -0.67008,       -0.67008
(159, 467),     -0.66886,       -0.66886
(161, 359),     -0.66659,       -0.66659
(157, 467),     -0.66577,       -0.66577
(158, 467),     -0.66449,       -0.66449
(144, 260),     -0.66423,       -0.66423
(160, 359),     -0.66318,       -0.66318
(23, 467),     -0.66269,       -0.66269
(190, 260),     -0.66262,       -0.66262
(27, 390),     -0.6624,       -0.6624
(29, 373),     -0.65981,       -0.65981
(173, 260),     -0.65979,       -0.65979
(29, 339),     -0.65669,       -0.65669
(163, 467),     -0.65555,       -0.65555
(160, 467),     -0.65552,       -0.65552
(163, 359),     -0.6552,       -0.6552
(27, 339),     -0.65358,       -0.65358
(28, 373),     -0.6517,       -0.6517
(24, 255),     -0.65132,       -0.65132
(110, 260),     -0.65121,       -0.65121
(30, 390),     -0.64896,       -0.64896
(153, 467),     -0.64652,       -0.64652
(173, 467),     -0.64406,       -0.64406
(157, 260),     -0.64377,       -0.64377
(24, 260),     -0.64263,       -0.64263
(144, 255),     -0.63994,       -0.63994
(161, 255),     -0.639,       -0.639
(23, 255),     -0.63652,       -0.63652
(145, 255),     -0.63584,       -0.63584
(163, 260),     -0.63479,       -0.63479
(27, 254),     -0.63459,       -0.63459
(145, 260),     -0.63189,       -0.63189
(30, 339),     -0.63184,       -0.63184
(144, 259),     -0.63079,       -0.63079
(133, 260),     -0.62669,       -0.62669
(190, 259),     -0.62615,       -0.62615
(133, 467),     -0.62542,       -0.62542
(110, 259),     -0.6212,       -0.6212
(159, 359),     -0.62086,       -0.62086
(158, 260),     -0.61891,       -0.61891
(173, 259),     -0.61876,       -0.61876
(27, 374),     -0.61871,       -0.61871
(28, 390),     -0.61806,       -0.61806
(29, 249),     -0.61716,       -0.61716
(28, 254),     -0.6167,       -0.6167
(28, 374),     -0.61625,       -0.61625
(29, 254),     -0.61601,       -0.61601
(243, 467),     -0.61393,       -0.61393
(28, 339),     -0.61331,       -0.61331
(23, 260),     -0.61318,       -0.61318
(243, 260),     -0.613,       -0.613
(145, 339),     -0.61222,       -0.61222
(30, 373),     -0.61219,       -0.61219
(154, 467),     -0.61202,       -0.61202
(155, 467),     -0.61171,       -0.61171
(24, 263),     -0.61133,       -0.61133
(24, 259),     -0.6097,       -0.6097
(22, 467),     -0.6087,       -0.6087
(29, 255),     -0.60821,       -0.60821
(56, 373),     -0.60541,       -0.60541
(153, 260),     -0.60487,       -0.60487
(56, 254),     -0.60445,       -0.60445
(161, 467),     -0.60414,       -0.60414
(159, 260),     -0.60325,       -0.60325
(30, 249),     -0.60212,       -0.60212
(27, 398),     -0.60061,       -0.60061
(163, 259),     -0.59987,       -0.59987
(144, 263),     -0.59955,       -0.59955
(144, 339),     -0.59943,       -0.59943
(160, 255),     -0.59819,       -0.59819
(23, 339),     -0.59777,       -0.59777
(24, 339),     -0.59724,       -0.59724
(190, 467),     -0.59577,       -0.59577
(30, 255),     -0.59534,       -0.59534
(144, 466),     -0.59446,       -0.59446
(27, 253),     -0.59423,       -0.59423
(27, 249),     -0.5938,       -0.5938
(27, 255),     -0.59316,       -0.59316
(257, 258),     -0.59296,       -0.59296
(153, 359),     -0.59266,       -0.59266
(24, 466),     -0.59091,       -0.59091
(56, 374),     -0.59041,       -0.59041
(145, 259),     -0.58918,       -0.58918
(155, 260),     -0.58871,       -0.58871
(28, 253),     -0.58858,       -0.58858
(112, 467),     -0.58837,       -0.58837
(246, 359),     -0.58777,       -0.58777
(29, 374),     -0.58761,       -0.58761
(30, 359),     -0.58311,       -0.58311
(27, 362),     -0.58182,       -0.58182
(154, 260),     -0.58116,       -0.58116
(28, 380),     -0.5809,       -0.5809
(27, 380),     -0.58055,       -0.58055
(26, 467),     -0.58046,       -0.58046
(158, 359),     -0.58024,       -0.58024
(28, 398),     -0.57982,       -0.57982
(144, 257),     -0.57843,       -0.57843
(246, 255),     -0.57839,       -0.57839
(24, 249),     -0.57818,       -0.57818
(56, 253),     -0.57715,       -0.57715
(56, 339),     -0.5766,       -0.5766
(144, 249),     -0.57626,       -0.57626
(29, 359),     -0.57487,       -0.57487
(110, 257),     -0.57432,       -0.57432
(23, 259),     -0.57371,       -0.57371
(22, 359),     -0.573,       -0.573
(153, 339),     -0.5728,       -0.5728
(52, 390),     -0.57254,       -0.57254
(110, 255),     -0.57175,       -0.57175
(163, 255),     -0.56882,       -0.56882
(30, 254),     -0.5679,       -0.5679
(160, 260),     -0.56755,       -0.56755
(133, 259),     -0.56559,       -0.56559
(29, 362),     -0.56532,       -0.56532
(112, 260),     -0.56389,       -0.56389
(22, 260),     -0.56383,       -0.56383
(29, 253),     -0.56368,       -0.56368
(52, 373),     -0.56366,       -0.56366
(65, 193),     -0.56357,       -0.56357
(246, 339),     -0.56342,       -0.56342
(28, 362),     -0.56239,       -0.56239
(23, 263),     -0.56202,       -0.56202
(27, 463),     -0.5614,       -0.5614
(145, 466),     -0.56121,       -0.56121
(24, 257),     -0.56114,       -0.56114
(144, 390),     -0.56105,       -0.56105
(161, 339),     -0.55993,       -0.55993
(145, 263),     -0.55881,       -0.55881
(145, 249),     -0.55825,       -0.55825
(157, 359),     -0.55743,       -0.55743
(27, 381),     -0.55713,       -0.55713
(25, 359),     -0.55495,       -0.55495
(25, 467),     -0.55492,       -0.55492
(27, 382),     -0.55453,       -0.55453
(110, 263),     -0.5533,       -0.5533
(56, 380),     -0.55278,       -0.55278
(153, 259),     -0.55264,       -0.55264
(28, 381),     -0.55235,       -0.55235
(110, 466),     -0.55183,       -0.55183
(153, 255),     -0.55177,       -0.55177
(27, 33),     -0.55151,       -0.55151
(23, 249),     -0.55127,       -0.55127
(157, 259),     -0.55117,       -0.55117
(27, 252),     -0.55036,       -0.55036
(24, 390),     -0.55015,       -0.55015
(144, 388),     -0.5497,       -0.5497
(161, 249),     -0.54932,       -0.54932
(28, 463),     -0.54931,       -0.54931
(163, 263),     -0.54896,       -0.54896
(28, 252),     -0.54843,       -0.54843
(7, 359),     -0.54842,       -0.54842
(145, 390),     -0.54762,       -0.54762
(257, 286),     -0.54759,       -0.54759
(243, 259),     -0.54739,       -0.54739
(27, 359),     -0.54732,       -0.54732
(27, 341),     -0.54419,       -0.54419
(29, 467),     -0.54412,       -0.54412
(66, 193),     -0.54366,       -0.54366
(173, 339),     -0.54364,       -0.54364
(27, 467),     -0.54363,       -0.54363
(160, 263),     -0.54243,       -0.54243
(29, 463),     -0.5423,       -0.5423
(29, 380),     -0.54202,       -0.54202
(26, 260),     -0.54202,       -0.54202
(159, 255),     -0.54066,       -0.54066
(157, 255),     -0.5406,       -0.5406
(163, 257),     -0.53994,       -0.53994
(65, 390),     -0.5391,       -0.5391
(28, 382),     -0.53907,       -0.53907
(259, 286),     -0.53884,       -0.53884
(160, 466),     -0.53879,       -0.53879
(29, 382),     -0.53851,       -0.53851
(160, 249),     -0.53804,       -0.53804
(190, 254),     -0.53783,       -0.53783
(65, 373),     -0.5374,       -0.5374
(27, 256),     -0.53733,       -0.53733
(161, 263),     -0.53701,       -0.53701
(163, 466),     -0.53701,       -0.53701
(23, 466),     -0.53603,       -0.53603
(163, 339),     -0.53489,       -0.53489
(56, 252),     -0.5347,       -0.5347
(28, 341),     -0.53426,       -0.53426
(159, 466),     -0.53394,       -0.53394
(30, 467),     -0.53359,       -0.53359
(247, 339),     -0.53295,       -0.53295
(28, 256),     -0.53252,       -0.53252
(157, 339),     -0.53243,       -0.53243
(173, 254),     -0.53225,       -0.53225
(7, 467),     -0.53209,       -0.53209
(28, 255),     -0.53159,       -0.53159
(28, 249),     -0.53149,       -0.53149
(247, 390),     -0.53107,       -0.53107
(56, 390),     -0.53045,       -0.53045
(7, 28),     -0.53043,       -0.53043
(25, 260),     -0.53021,       -0.53021
(145, 257),     -0.52987,       -0.52987
(173, 257),     -0.52963,       -0.52963
(29, 173),     -0.52864,       -0.52864
(30, 263),     -0.52826,       -0.52826
(29, 341),     -0.52809,       -0.52809
(23, 390),     -0.52655,       -0.52655
(27, 414),     -0.52617,       -0.52617
(56, 381),     -0.52614,       -0.52614
(55, 193),     -0.52493,       -0.52493
(107, 193),     -0.5248,       -0.5248
(247, 359),     -0.52478,       -0.52478
(29, 381),     -0.52424,       -0.52424
(190, 374),     -0.52323,       -0.52323
