Comparing the following files: 
kelly_front_s1_v2/,  kelly_low_s1_v2/,  kelly_right_threequarter_s1_v2/,  kelly_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s1_v2_vs_kelly_low_s1_v2,  kelly_front_s1_v2_vs_kelly_right_threequarter_s1_v2,  kelly_front_s1_v2_vs_kelly_left_threequarter_s1_v2,  kelly_low_s1_v2_vs_kelly_right_threequarter_s1_v2,  kelly_low_s1_v2_vs_kelly_left_threequarter_s1_v2,  kelly_right_threequarter_s1_v2_vs_kelly_left_threequarter_s1_v2,  average
(63, 160),     0.86451,       0.81119,       0.68517,       0.91781,       0.73619,       0.83212,       0.80783
(63, 159),     0.87908,       0.81392,       0.67831,       0.91584,       0.72995,       0.82647,       0.80726
(246, 247),     0.89621,       0.86287,       0.64571,       0.88343,       0.73172,       0.79973,       0.80328
(105, 159),     0.8849,       0.79093,       0.64678,       0.92594,       0.74112,       0.82841,       0.80301
(46, 160),     0.85676,       0.83956,       0.67333,       0.90779,       0.70817,       0.81087,       0.79941
(293, 387),     0.87358,       0.81043,       0.69942,       0.93387,       0.75608,       0.71648,       0.79831
(293, 386),     0.89032,       0.82532,       0.724,       0.9317,       0.72941,       0.67771,       0.79641
(30, 161),     0.90944,       0.84068,       0.59963,       0.91287,       0.74627,       0.76529,       0.7957
(53, 159),     0.87989,       0.81511,       0.62095,       0.92497,       0.71499,       0.81413,       0.79501
(46, 161),     0.84189,       0.83474,       0.67972,       0.90704,       0.70245,       0.80256,       0.79473
(53, 160),     0.85722,       0.80194,       0.632,       0.92307,       0.7263,       0.82786,       0.79473
(63, 161),     0.83978,       0.77134,       0.69318,       0.90581,       0.73724,       0.81207,       0.79324
(105, 160),     0.86013,       0.75529,       0.64792,       0.92296,       0.74396,       0.8178,       0.79134
(334, 385),     0.87391,       0.79051,       0.66243,       0.92636,       0.75388,       0.7403,       0.79123
(334, 386),     0.85794,       0.8063,       0.62265,       0.93741,       0.75502,       0.76692,       0.79104
(105, 158),     0.88728,       0.784,       0.62075,       0.91469,       0.72205,       0.81538,       0.79069
(112, 158),     0.86955,       0.88848,       0.6545,       0.86361,       0.67258,       0.79499,       0.79062
(63, 158),     0.87639,       0.79232,       0.65769,       0.89949,       0.70687,       0.80251,       0.78921
(46, 159),     0.85397,       0.81016,       0.66267,       0.90601,       0.70742,       0.79358,       0.78897
(28, 158),     0.92485,       0.82916,       0.58224,       0.91154,       0.74545,       0.72669,       0.78665
(30, 160),     0.90167,       0.84133,       0.59115,       0.89838,       0.71338,       0.76703,       0.78549
(66, 159),     0.91535,       0.79726,       0.60343,       0.93301,       0.68407,       0.76541,       0.78309
(29, 160),     0.92216,       0.83059,       0.56513,       0.91322,       0.71822,       0.7486,       0.78299
(157, 173),     0.8221,       0.89125,       0.61463,       0.8431,       0.73621,       0.78346,       0.78179
(283, 386),     0.88007,       0.82501,       0.69093,       0.93198,       0.68012,       0.67595,       0.78068
(283, 387),     0.8536,       0.80767,       0.64615,       0.93162,       0.71455,       0.72706,       0.78011
(293, 388),     0.86519,       0.77026,       0.64887,       0.9216,       0.75527,       0.71819,       0.7799
(27, 159),     0.92293,       0.82975,       0.55661,       0.90893,       0.72284,       0.73624,       0.77955
(254, 296),     0.88875,       0.81543,       0.79487,       0.72561,       0.72414,       0.72571,       0.77909
(52, 159),     0.87858,       0.79141,       0.58067,       0.91872,       0.69589,       0.80909,       0.77906
(254, 336),     0.87776,       0.83758,       0.76869,       0.74583,       0.7479,       0.69078,       0.77809
(66, 158),     0.92208,       0.80905,       0.56931,       0.92856,       0.66874,       0.76179,       0.77659
(296, 339),     0.91163,       0.81207,       0.76494,       0.74048,       0.71969,       0.7096,       0.7764
(133, 157),     0.81344,       0.88506,       0.60971,       0.84465,       0.71951,       0.78527,       0.77627
(133, 158),     0.80481,       0.87883,       0.64279,       0.83302,       0.68839,       0.80806,       0.77598
(296, 385),     0.88506,       0.81854,       0.56745,       0.92159,       0.73251,       0.73047,       0.77594
(254, 285),     0.86528,       0.83231,       0.76023,       0.74724,       0.77676,       0.66726,       0.77485
(155, 158),     0.8144,       0.88584,       0.6253,       0.8262,       0.70289,       0.79159,       0.77437
(158, 243),     0.82668,       0.87866,       0.63424,       0.84892,       0.66245,       0.78428,       0.77254
(26, 158),     0.86711,       0.88579,       0.61416,       0.84588,       0.65451,       0.76498,       0.77207
(282, 386),     0.8617,       0.8164,       0.58536,       0.92701,       0.69552,       0.746,       0.772
(112, 157),     0.86247,       0.87656,       0.6053,       0.87066,       0.66604,       0.74931,       0.77172
(253, 285),     0.83692,       0.83622,       0.77832,       0.72483,       0.7478,       0.70609,       0.7717
(258, 385),     0.88177,       0.8394,       0.58431,       0.91535,       0.70516,       0.70093,       0.77115
(70, 161),     0.84927,       0.86908,       0.62649,       0.85786,       0.69545,       0.72478,       0.77049
(158, 173),     0.79321,       0.87392,       0.64362,       0.8214,       0.68015,       0.80844,       0.77012
(253, 336),     0.84592,       0.83943,       0.77407,       0.7212,       0.72262,       0.71518,       0.76974
(46, 246),     0.80024,       0.77604,       0.68198,       0.89566,       0.69035,       0.77324,       0.76959
(257, 386),     0.88044,       0.83254,       0.57956,       0.92544,       0.69308,       0.70613,       0.76953
(336, 384),     0.93957,       0.82365,       0.59073,       0.87418,       0.70731,       0.68096,       0.7694
(334, 387),     0.8442,       0.79347,       0.54984,       0.93458,       0.73906,       0.75146,       0.76877
(70, 160),     0.85219,       0.86157,       0.61757,       0.85466,       0.69605,       0.72924,       0.76855
(112, 159),     0.83028,       0.89016,       0.64348,       0.83075,       0.63185,       0.78305,       0.76826
(27, 160),     0.9017,       0.79161,       0.55708,       0.90894,       0.73628,       0.70939,       0.7675
(56, 157),     0.91447,       0.82664,       0.57929,       0.89176,       0.74372,       0.64871,       0.76743
(53, 161),     0.81487,       0.73069,       0.62504,       0.90594,       0.72312,       0.80453,       0.76736
(53, 158),     0.88018,       0.79311,       0.57135,       0.91415,       0.67436,       0.77056,       0.76728
(157, 243),     0.8334,       0.87729,       0.59227,       0.87266,       0.67987,       0.74666,       0.76703
(336, 385),     0.91573,       0.85693,       0.53113,       0.91946,       0.69826,       0.68032,       0.76697
(296, 386),     0.87059,       0.8327,       0.52409,       0.92983,       0.72527,       0.7192,       0.76695
(259, 387),     0.88876,       0.82491,       0.58442,       0.93003,       0.67661,       0.69602,       0.76679
(293, 385),     0.90646,       0.80714,       0.716,       0.91395,       0.6803,       0.57118,       0.76584
