
(324, 402) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(317, 324) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(35, 62) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(35, 78) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(62, 156) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(78, 156) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(35, 76) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(76, 156) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(35, 61) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(317, 375) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(61, 156) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(146, 156) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(78, 124) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(62, 124) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(70, 95) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(70, 78) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(14, 324) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(318, 324) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(62, 70) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(76, 124) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(292, 317) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(70, 146) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(14, 375) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(14, 292) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(70, 76) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(46, 88) appeared 8 times in: kelly_angles2, krithika_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, 
(61, 124) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(70, 191) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(306, 317) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(375, 402) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(124, 191) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(14, 306) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(46, 95) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(61, 70) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(53, 178) appeared 8 times in: kelly_angles2, krithika_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, 
(46, 78) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(53, 88) appeared 8 times in: kelly_angles2, krithika_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, 
(306, 402) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(46, 62) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(95, 246) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(163, 380) appeared 8 times in: kelly_angles2, identities2, identities3, identities4, utterances1, utterances2, utterances3, utterances4, 
(88, 161) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances3, 
(291, 317) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(46, 191) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(46, 76) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(63, 191) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
(14, 291) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances2, utterances4, 
(46, 185) appeared 8 times in: kelly_angles2, identities1, identities2, identities3, identities4, utterances1, utterances3, utterances4, 
