Comparing the following files: 
kelly_front_s2_v2/,  kelly_low_s2_v2/,  kelly_right_threequarter_s2_v2/,  kelly_left_threequarter_s2_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s2_v2_vs_kelly_low_s2_v2,  kelly_front_s2_v2_vs_kelly_right_threequarter_s2_v2,  kelly_front_s2_v2_vs_kelly_left_threequarter_s2_v2,  kelly_low_s2_v2_vs_kelly_right_threequarter_s2_v2,  kelly_low_s2_v2_vs_kelly_left_threequarter_s2_v2,  kelly_right_threequarter_s2_v2_vs_kelly_left_threequarter_s2_v2,  average
(257, 339),     0.75454,       0.93559,       0.85774,       0.78428,       0.76451,       0.82888,       0.82092
(112, 158),     0.8441,       0.92508,       0.76229,       0.84795,       0.6796,       0.82682,       0.81431
(26, 158),     0.84852,       0.93328,       0.74418,       0.84996,       0.67865,       0.80818,       0.81046
(112, 157),     0.86064,       0.9242,       0.7409,       0.85712,       0.67682,       0.79801,       0.80961
(26, 159),     0.82338,       0.93084,       0.75922,       0.83409,       0.67537,       0.81759,       0.80675
(254, 296),     0.87983,       0.89799,       0.776,       0.88327,       0.69671,       0.69749,       0.80522
(22, 159),     0.83,       0.93262,       0.74016,       0.83328,       0.6799,       0.80812,       0.80401
(190, 243),     0.86734,       0.9167,       0.68401,       0.88902,       0.68863,       0.77221,       0.80299
(24, 159),     0.81443,       0.94101,       0.72414,       0.83251,       0.6938,       0.8107,       0.80277
(112, 159),     0.8046,       0.92294,       0.76108,       0.8273,       0.6704,       0.82692,       0.80221
(327, 336),     0.89931,       0.89751,       0.73662,       0.85507,       0.70311,       0.72025,       0.80198
(334, 339),     0.84529,       0.90618,       0.73809,       0.86822,       0.69944,       0.75446,       0.80195
(255, 334),     0.84004,       0.89317,       0.75269,       0.86786,       0.69245,       0.75952,       0.80096
(107, 327),     0.91841,       0.87722,       0.74234,       0.84198,       0.72151,       0.69985,       0.80022
(24, 160),     0.81281,       0.93693,       0.73399,       0.81679,       0.69624,       0.80171,       0.79975
(157, 243),     0.84222,       0.9178,       0.73819,       0.83537,       0.65334,       0.8001,       0.79784
(110, 160),     0.78299,       0.93853,       0.753,       0.80706,       0.68004,       0.82203,       0.79727
(285, 327),     0.89453,       0.90533,       0.72988,       0.83542,       0.68502,       0.72946,       0.79661
(158, 243),     0.81226,       0.9177,       0.74252,       0.82235,       0.65417,       0.82123,       0.79504
(23, 159),     0.82232,       0.93618,       0.70846,       0.82898,       0.67954,       0.79151,       0.7945
(286, 341),     0.77605,       0.93639,       0.8068,       0.75247,       0.68379,       0.81011,       0.79427
(255, 257),     0.73804,       0.90964,       0.83487,       0.79199,       0.73541,       0.74305,       0.79217
(296, 341),     0.83693,       0.86702,       0.70411,       0.86848,       0.73438,       0.73928,       0.7917
(296, 339),     0.86496,       0.89044,       0.77719,       0.88337,       0.66671,       0.6674,       0.79168
(253, 296),     0.86098,       0.88957,       0.73582,       0.86927,       0.68507,       0.69754,       0.78971
(157, 173),     0.80134,       0.92243,       0.70598,       0.84149,       0.66783,       0.79736,       0.78941
(133, 158),     0.7771,       0.92125,       0.72637,       0.82322,       0.66965,       0.81801,       0.78927
(296, 398),     0.86262,       0.85581,       0.6912,       0.87575,       0.71028,       0.73329,       0.78816
(158, 173),     0.77452,       0.9176,       0.71394,       0.82557,       0.67585,       0.81629,       0.78729
(254, 257),     0.75108,       0.94292,       0.77975,       0.75633,       0.69357,       0.79925,       0.78715
(256, 296),     0.84172,       0.87536,       0.7026,       0.86284,       0.7122,       0.72624,       0.78683
(286, 463),     0.76701,       0.92287,       0.80041,       0.76987,       0.65682,       0.80172,       0.78645
(286, 414),     0.78657,       0.89793,       0.80776,       0.77876,       0.6786,       0.76708,       0.78612
(22, 158),     0.8326,       0.93751,       0.68222,       0.83742,       0.6553,       0.77023,       0.78588
(133, 157),     0.78993,       0.92583,       0.71664,       0.82608,       0.65511,       0.79882,       0.7854
(55, 327),     0.90851,       0.87656,       0.71965,       0.82191,       0.70683,       0.67636,       0.78497
(254, 386),     0.72917,       0.94167,       0.80832,       0.74053,       0.63134,       0.85797,       0.78483
(110, 159),     0.76039,       0.93899,       0.72507,       0.80534,       0.66711,       0.8112,       0.78468
(414, 463),     0.76605,       0.92344,       0.78211,       0.76573,       0.6451,       0.8231,       0.78426
(110, 161),     0.79401,       0.93849,       0.7175,       0.80095,       0.67354,       0.77961,       0.78402
(296, 362),     0.81402,       0.85483,       0.70618,       0.84634,       0.73268,       0.74859,       0.78377
(286, 362),     0.74201,       0.92146,       0.82773,       0.73011,       0.66557,       0.81289,       0.78329
(296, 463),     0.82201,       0.85196,       0.68994,       0.86015,       0.73981,       0.734,       0.78298
(252, 296),     0.84751,       0.88089,       0.70534,       0.86201,       0.69112,       0.70896,       0.78264
(28, 112),     0.83644,       0.91152,       0.63395,       0.88541,       0.68699,       0.73324,       0.78126
(155, 158),     0.76755,       0.92584,       0.6996,       0.82512,       0.66574,       0.80252,       0.78106
(23, 160),     0.79875,       0.93189,       0.70816,       0.8008,       0.6735,       0.76696,       0.78001
(339, 387),     0.71043,       0.93385,       0.81591,       0.75338,       0.61784,       0.84701,       0.77974
