Comparing the following files: 
kelly_front_s3_v2/,  hadleigh_front_s3_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s3_v2_vs_hadleigh_front_s3_v2,  average
(283, 293),     -0.71658,       -0.71658
(124, 293),     -0.69613,       -0.69613
(35, 276),     -0.68952,       -0.68952
(35, 300),     -0.6892,       -0.6892
(156, 293),     -0.6691,       -0.6691
(35, 283),     -0.65599,       -0.65599
(124, 334),     -0.65426,       -0.65426
(28, 300),     -0.65414,       -0.65414
(56, 276),     -0.65282,       -0.65282
(35, 293),     -0.65223,       -0.65223
(56, 300),     -0.65199,       -0.65199
(124, 300),     -0.65108,       -0.65108
(46, 334),     -0.64766,       -0.64766
(35, 353),     -0.64606,       -0.64606
(46, 293),     -0.64446,       -0.64446
(295, 334),     -0.6431,       -0.6431
(35, 383),     -0.63815,       -0.63815
(156, 334),     -0.6325,       -0.6325
(28, 293),     -0.63085,       -0.63085
(27, 293),     -0.62801,       -0.62801
(156, 300),     -0.62366,       -0.62366
(124, 283),     -0.62027,       -0.62027
(124, 282),     -0.61479,       -0.61479
(28, 276),     -0.6073,       -0.6073
(28, 283),     -0.6047,       -0.6047
(70, 334),     -0.60455,       -0.60455
(53, 334),     -0.60435,       -0.60435
(70, 293),     -0.59731,       -0.59731
(124, 276),     -0.59715,       -0.59715
(52, 63),     -0.59155,       -0.59155
(35, 265),     -0.5807,       -0.5807
(35, 282),     -0.57982,       -0.57982
(53, 293),     -0.57979,       -0.57979
(133, 381),     -0.57802,       -0.57802
(155, 252),     -0.57558,       -0.57558
(133, 252),     -0.57437,       -0.57437
(155, 381),     -0.57369,       -0.57369
(46, 296),     -0.56926,       -0.56926
(155, 256),     -0.56697,       -0.56697
(156, 291),     -0.56532,       -0.56532
(29, 293),     -0.56478,       -0.56478
(133, 256),     -0.56434,       -0.56434
(56, 353),     -0.55991,       -0.55991
(157, 276),     -0.55958,       -0.55958
(124, 296),     -0.55851,       -0.55851
(124, 295),     -0.55552,       -0.55552
(243, 381),     -0.55471,       -0.55471
(52, 334),     -0.55294,       -0.55294
(154, 398),     -0.55273,       -0.55273
(46, 300),     -0.55091,       -0.55091
(173, 384),     -0.54789,       -0.54789
(35, 286),     -0.54182,       -0.54182
(53, 296),     -0.54162,       -0.54162
(243, 256),     -0.54137,       -0.54137
(156, 306),     -0.54089,       -0.54089
(157, 300),     -0.53932,       -0.53932
(154, 382),     -0.539,       -0.539
(257, 300),     -0.53841,       -0.53841
(46, 282),     -0.53734,       -0.53734
(52, 293),     -0.53714,       -0.53714
(27, 283),     -0.53664,       -0.53664
(243, 252),     -0.53648,       -0.53648
(56, 383),     -0.53591,       -0.53591
(154, 256),     -0.53559,       -0.53559
(156, 276),     -0.53552,       -0.53552
(155, 382),     -0.53546,       -0.53546
(156, 283),     -0.5336,       -0.5336
(27, 300),     -0.53195,       -0.53195
(154, 381),     -0.53194,       -0.53194
(154, 362),     -0.53155,       -0.53155
(30, 293),     -0.53149,       -0.53149
(133, 380),     -0.5314,       -0.5314
(153, 398),     -0.53118,       -0.53118
(154, 341),     -0.53109,       -0.53109
(112, 398),     -0.52912,       -0.52912
(153, 341),     -0.52872,       -0.52872
(153, 362),     -0.52869,       -0.52869
(155, 398),     -0.52847,       -0.52847
(190, 276),     -0.52811,       -0.52811
(173, 286),     -0.52794,       -0.52794
(27, 334),     -0.52792,       -0.52792
(173, 276),     -0.52769,       -0.52769
(112, 381),     -0.52543,       -0.52543
(27, 282),     -0.52534,       -0.52534
(29, 334),     -0.52392,       -0.52392
(285, 334),     -0.52386,       -0.52386
(155, 341),     -0.523,       -0.523
(56, 283),     -0.52296,       -0.52296
(156, 282),     -0.52287,       -0.52287
(35, 334),     -0.52268,       -0.52268
(153, 382),     -0.52208,       -0.52208
(155, 380),     -0.52202,       -0.52202
(24, 341),     -0.52073,       -0.52073
(153, 463),     -0.52001,       -0.52001
(56, 293),     -0.51977,       -0.51977
(154, 252),     -0.51974,       -0.51974
(133, 382),     -0.5197,       -0.5197
(154, 414),     -0.51964,       -0.51964
(133, 384),     -0.51875,       -0.51875
(24, 398),     -0.51819,       -0.51819
(154, 463),     -0.51709,       -0.51709
(112, 382),     -0.5154,       -0.5154
(153, 256),     -0.51533,       -0.51533
(124, 383),     -0.51498,       -0.51498
(24, 382),     -0.51422,       -0.51422
(173, 398),     -0.51416,       -0.51416
(112, 414),     -0.51381,       -0.51381
(145, 341),     -0.51368,       -0.51368
(35, 258),     -0.51297,       -0.51297
(247, 293),     -0.51183,       -0.51183
(46, 283),     -0.51169,       -0.51169
(55, 293),     -0.51084,       -0.51084
(133, 341),     -0.51067,       -0.51067
(24, 362),     -0.5103,       -0.5103
(243, 398),     -0.50989,       -0.50989
(156, 383),     -0.50919,       -0.50919
(155, 253),     -0.50858,       -0.50858
(156, 296),     -0.50833,       -0.50833
(24, 463),     -0.50812,       -0.50812
(156, 327),     -0.50605,       -0.50605
(63, 334),     -0.50563,       -0.50563
(70, 300),     -0.50542,       -0.50542
(112, 256),     -0.50493,       -0.50493
(145, 362),     -0.50441,       -0.50441
(65, 293),     -0.50413,       -0.50413
(133, 253),     -0.5038,       -0.5038
(156, 292),     -0.50366,       -0.50366
(243, 382),     -0.50352,       -0.50352
(124, 327),     -0.50252,       -0.50252
(153, 414),     -0.5025,       -0.5025
(190, 258),     -0.50242,       -0.50242
(173, 381),     -0.50209,       -0.50209
(155, 414),     -0.50146,       -0.50146
(190, 300),     -0.50075,       -0.50075
(145, 463),     -0.49965,       -0.49965
(243, 414),     -0.49912,       -0.49912
(24, 414),     -0.49793,       -0.49793
(35, 398),     -0.49764,       -0.49764
(133, 398),     -0.49733,       -0.49733
(145, 382),     -0.49708,       -0.49708
(173, 382),     -0.4964,       -0.4964
(157, 258),     -0.49607,       -0.49607
(112, 362),     -0.49513,       -0.49513
(153, 381),     -0.4946,       -0.4946
(124, 353),     -0.49445,       -0.49445
(243, 341),     -0.4943,       -0.4943
(190, 353),     -0.49386,       -0.49386
(173, 300),     -0.49276,       -0.49276
(30, 334),     -0.4924,       -0.4924
(23, 341),     -0.49202,       -0.49202
(155, 362),     -0.49145,       -0.49145
(70, 291),     -0.49077,       -0.49077
(145, 398),     -0.49069,       -0.49069
(145, 256),     -0.49024,       -0.49024
(112, 341),     -0.48991,       -0.48991
(112, 252),     -0.48953,       -0.48953
(35, 384),     -0.48927,       -0.48927
(65, 334),     -0.48729,       -0.48729
(26, 362),     -0.48716,       -0.48716
(35, 382),     -0.48618,       -0.48618
(259, 300),     -0.48597,       -0.48597
(26, 382),     -0.48583,       -0.48583
(29, 282),     -0.48469,       -0.48469
(157, 286),     -0.48426,       -0.48426
(243, 380),     -0.48396,       -0.48396
(155, 384),     -0.4836,       -0.4836
(157, 353),     -0.48259,       -0.48259
(153, 252),     -0.48248,       -0.48248
(35, 98),     -0.48233,       -0.48233
(35, 362),     -0.48227,       -0.48227
(52, 296),     -0.48207,       -0.48207
(23, 382),     -0.48098,       -0.48098
(24, 256),     -0.48048,       -0.48048
(70, 296),     -0.48048,       -0.48048
(112, 463),     -0.4804,       -0.4804
(23, 362),     -0.48028,       -0.48028
(157, 414),     -0.47925,       -0.47925
(173, 362),     -0.47909,       -0.47909
(46, 295),     -0.47887,       -0.47887
(173, 353),     -0.47787,       -0.47787
(155, 463),     -0.47767,       -0.47767
(23, 463),     -0.4768,       -0.4768
(190, 381),     -0.47672,       -0.47672
(334, 336),     -0.47664,       -0.47664
(190, 256),     -0.47657,       -0.47657
(22, 362),     -0.47604,       -0.47604
(133, 286),     -0.47483,       -0.47483
(22, 382),     -0.47468,       -0.47468
(156, 287),     -0.47318,       -0.47318
(53, 282),     -0.47225,       -0.47225
(157, 384),     -0.47194,       -0.47194
(22, 341),     -0.47191,       -0.47191
(133, 414),     -0.47139,       -0.47139
(35, 295),     -0.47042,       -0.47042
(26, 463),     -0.47024,       -0.47024
(53, 300),     -0.47011,       -0.47011
(28, 282),     -0.46974,       -0.46974
(156, 353),     -0.4696,       -0.4696
(26, 398),     -0.4688,       -0.4688
(257, 276),     -0.46831,       -0.46831
(110, 341),     -0.46758,       -0.46758
(63, 293),     -0.46736,       -0.46736
(156, 308),     -0.46674,       -0.46674
(22, 463),     -0.46655,       -0.46655
(35, 414),     -0.46623,       -0.46623
(30, 282),     -0.46596,       -0.46596
(145, 414),     -0.46556,       -0.46556
(24, 381),     -0.46499,       -0.46499
(112, 154),     -0.46468,       -0.46468
(55, 300),     -0.46439,       -0.46439
(26, 414),     -0.46438,       -0.46438
(26, 341),     -0.4639,       -0.4639
(190, 252),     -0.46365,       -0.46365
(124, 265),     -0.46352,       -0.46352
(52, 70),     -0.46325,       -0.46325
(23, 256),     -0.4632,       -0.4632
(70, 327),     -0.46314,       -0.46314
(26, 381),     -0.46282,       -0.46282
(70, 306),     -0.46221,       -0.46221
(133, 362),     -0.46146,       -0.46146
(23, 398),     -0.46124,       -0.46124
(144, 341),     -0.46122,       -0.46122
(23, 414),     -0.46086,       -0.46086
(173, 258),     -0.46029,       -0.46029
(22, 414),     -0.46021,       -0.46021
(124, 286),     -0.45782,       -0.45782
(173, 341),     -0.45723,       -0.45723
(173, 463),     -0.45656,       -0.45656
(258, 300),     -0.45652,       -0.45652
(29, 283),     -0.4564,       -0.4564
(193, 417),     -0.45639,       -0.45639
(190, 382),     -0.45628,       -0.45628
(190, 341),     -0.4554,       -0.4554
(173, 414),     -0.45519,       -0.45519
(124, 291),     -0.45509,       -0.45509
(190, 384),     -0.45463,       -0.45463
(173, 256),     -0.45446,       -0.45446
(145, 381),     -0.45419,       -0.45419
(35, 381),     -0.45418,       -0.45418
(243, 384),     -0.45387,       -0.45387
(156, 265),     -0.45387,       -0.45387
(124, 398),     -0.45351,       -0.45351
(27, 295),     -0.45346,       -0.45346
(247, 300),     -0.45321,       -0.45321
(124, 382),     -0.45269,       -0.45269
(154, 380),     -0.45239,       -0.45239
(22, 256),     -0.45235,       -0.45235
(26, 133),     -0.45139,       -0.45139
(26, 256),     -0.45133,       -0.45133
(243, 362),     -0.45115,       -0.45115
(133, 463),     -0.45076,       -0.45076
(110, 256),     -0.45006,       -0.45006
(22, 398),     -0.44964,       -0.44964
(190, 286),     -0.44907,       -0.44907
(247, 283),     -0.4486,       -0.4486
(105, 334),     -0.44842,       -0.44842
(133, 276),     -0.44755,       -0.44755
(30, 283),     -0.44695,       -0.44695
(145, 252),     -0.44673,       -0.44673
(26, 155),     -0.44594,       -0.44594
(285, 293),     -0.4459,       -0.4459
(26, 153),     -0.44546,       -0.44546
(56, 257),     -0.4445,       -0.4445
(22, 381),     -0.44447,       -0.44447
(46, 276),     -0.44411,       -0.44411
(243, 463),     -0.44309,       -0.44309
(124, 258),     -0.44225,       -0.44225
(144, 256),     -0.44183,       -0.44183
(158, 276),     -0.44174,       -0.44174
(156, 295),     -0.44129,       -0.44129
(130, 300),     -0.44084,       -0.44084
(112, 380),     -0.4398,       -0.4398
(154, 253),     -0.43963,       -0.43963
(110, 382),     -0.43963,       -0.43963
(110, 398),     -0.43949,       -0.43949
(144, 382),     -0.43925,       -0.43925
(243, 253),     -0.4392,       -0.4392
(173, 283),     -0.43915,       -0.43915
(173, 252),     -0.43912,       -0.43912
(29, 300),     -0.439,       -0.439
(23, 381),     -0.43847,       -0.43847
(124, 362),     -0.43827,       -0.43827
(27, 276),     -0.43789,       -0.43789
(133, 353),     -0.43767,       -0.43767
(157, 385),     -0.43751,       -0.43751
(29, 295),     -0.43646,       -0.43646
(124, 381),     -0.43641,       -0.43641
(53, 70),     -0.43575,       -0.43575
(130, 327),     -0.43556,       -0.43556
(35, 463),     -0.43497,       -0.43497
(247, 334),     -0.43494,       -0.43494
(35, 341),     -0.43493,       -0.43493
(22, 133),     -0.43492,       -0.43492
(124, 256),     -0.43481,       -0.43481
(157, 383),     -0.43369,       -0.43369
(52, 300),     -0.4326,       -0.4326
(70, 252),     -0.43193,       -0.43193
(56, 398),     -0.43156,       -0.43156
(55, 334),     -0.43148,       -0.43148
(247, 282),     -0.43123,       -0.43123
(33, 327),     -0.43113,       -0.43113
(247, 327),     -0.43068,       -0.43068
(46, 70),     -0.43045,       -0.43045
(190, 383),     -0.4301,       -0.4301
(124, 252),     -0.43007,       -0.43007
(173, 293),     -0.42872,       -0.42872
(173, 380),     -0.42857,       -0.42857
(124, 341),     -0.42841,       -0.42841
(56, 258),     -0.42809,       -0.42809
(155, 254),     -0.42798,       -0.42798
(66, 334),     -0.42797,       -0.42797
(26, 112),     -0.42756,       -0.42756
(144, 362),     -0.42742,       -0.42742
(107, 334),     -0.42662,       -0.42662
(144, 463),     -0.42655,       -0.42655
(130, 293),     -0.42643,       -0.42643
(190, 362),     -0.42632,       -0.42632
(98, 156),     -0.42609,       -0.42609
(133, 254),     -0.42516,       -0.42516
(53, 283),     -0.42494,       -0.42494
(124, 306),     -0.42471,       -0.42471
(70, 381),     -0.42375,       -0.42375
(190, 398),     -0.42362,       -0.42362
(158, 300),     -0.42294,       -0.42294
(110, 381),     -0.42263,       -0.42263
(30, 300),     -0.42091,       -0.42091
(28, 334),     -0.42034,       -0.42034
(35, 385),     -0.42034,       -0.42034
(24, 252),     -0.42001,       -0.42001
(30, 295),     -0.41968,       -0.41968
(124, 336),     -0.41945,       -0.41945
(26, 252),     -0.4184,       -0.4184
(70, 256),     -0.41783,       -0.41783
(35, 256),     -0.41725,       -0.41725
(70, 292),     -0.41653,       -0.41653
(35, 257),     -0.4161,       -0.4161
(46, 327),     -0.41586,       -0.41586
(157, 398),     -0.41522,       -0.41522
(144, 398),     -0.41495,       -0.41495
(130, 276),     -0.41485,       -0.41485
(247, 276),     -0.41394,       -0.41394
(156, 382),     -0.41344,       -0.41344
(22, 155),     -0.41321,       -0.41321
(154, 384),     -0.41313,       -0.41313
(35, 291),     -0.41261,       -0.41261
(26, 243),     -0.41253,       -0.41253
(173, 385),     -0.41141,       -0.41141
(156, 398),     -0.41138,       -0.41138
(70, 380),     -0.41096,       -0.41096
(53, 295),     -0.41071,       -0.41071
(65, 300),     -0.41045,       -0.41045
(156, 252),     -0.41043,       -0.41043
(70, 382),     -0.41027,       -0.41027
(110, 463),     -0.41024,       -0.41024
(52, 282),     -0.41012,       -0.41012
(22, 252),     -0.40963,       -0.40963
(158, 353),     -0.40944,       -0.40944
(23, 252),     -0.40887,       -0.40887
(70, 282),     -0.40881,       -0.40881
(70, 283),     -0.40868,       -0.40868
(190, 283),     -0.40849,       -0.40849
(190, 380),     -0.40826,       -0.40826
(65, 336),     -0.40819,       -0.40819
(124, 384),     -0.40784,       -0.40784
(7, 327),     -0.40734,       -0.40734
(35, 252),     -0.40638,       -0.40638
(190, 463),     -0.40573,       -0.40573
(156, 381),     -0.40484,       -0.40484
(46, 336),     -0.40475,       -0.40475
(28, 383),     -0.40407,       -0.40407
(110, 362),     -0.40312,       -0.40312
(28, 65),     -0.40224,       -0.40224
(156, 256),     -0.40204,       -0.40204
(190, 293),     -0.40092,       -0.40092
(110, 252),     -0.40023,       -0.40023
(144, 252),     -0.39965,       -0.39965
(153, 380),     -0.39853,       -0.39853
(25, 276),     -0.39841,       -0.39841
(173, 383),     -0.39801,       -0.39801
(144, 381),     -0.39799,       -0.39799
(155, 286),     -0.39787,       -0.39787
(157, 283),     -0.39766,       -0.39766
(156, 362),     -0.39763,       -0.39763
(243, 286),     -0.39759,       -0.39759
(158, 383),     -0.39718,       -0.39718
(124, 463),     -0.39706,       -0.39706
(52, 53),     -0.39697,       -0.39697
(56, 265),     -0.39692,       -0.39692
(133, 374),     -0.39662,       -0.39662
(130, 283),     -0.39577,       -0.39577
(25, 300),     -0.39557,       -0.39557
(133, 300),     -0.39508,       -0.39508
(30, 327),     -0.39417,       -0.39417
(243, 276),     -0.3931,       -0.3931
(155, 374),     -0.39262,       -0.39262
(29, 66),     -0.39212,       -0.39212
(112, 253),     -0.39168,       -0.39168
(70, 341),     -0.39147,       -0.39147
(155, 276),     -0.39076,       -0.39076
(70, 253),     -0.39056,       -0.39056
(29, 296),     -0.39028,       -0.39028
(158, 286),     -0.39002,       -0.39002
(156, 341),     -0.38991,       -0.38991
(156, 286),     -0.38987,       -0.38987
(163, 341),     -0.38981,       -0.38981
(33, 291),     -0.38883,       -0.38883
(105, 293),     -0.38872,       -0.38872
(53, 336),     -0.38832,       -0.38832
(70, 398),     -0.38721,       -0.38721
(124, 414),     -0.38706,       -0.38706
(163, 256),     -0.38701,       -0.38701
(110, 276),     -0.3867,       -0.3867
(124, 380),     -0.38657,       -0.38657
(35, 287),     -0.38591,       -0.38591
(35, 327),     -0.38576,       -0.38576
(25, 256),     -0.38513,       -0.38513
(282, 334),     -0.38504,       -0.38504
(246, 327),     -0.38371,       -0.38371
(153, 253),     -0.38362,       -0.38362
(52, 336),     -0.38336,       -0.38336
(35, 306),     -0.38234,       -0.38234
(35, 380),     -0.38224,       -0.38224
(46, 252),     -0.38161,       -0.38161
(98, 130),     -0.38082,       -0.38082
(70, 362),     -0.38056,       -0.38056
(46, 291),     -0.38027,       -0.38027
(243, 353),     -0.38013,       -0.38013
(133, 265),     -0.38006,       -0.38006
(28, 258),     -0.37976,       -0.37976
(25, 327),     -0.3783,       -0.3783
(130, 265),     -0.37757,       -0.37757
(124, 292),     -0.37749,       -0.37749
(158, 414),     -0.37652,       -0.37652
(28, 353),     -0.37529,       -0.37529
(247, 295),     -0.37518,       -0.37518
(65, 296),     -0.37504,       -0.37504
(70, 276),     -0.37485,       -0.37485
(46, 383),     -0.37454,       -0.37454
(22, 145),     -0.37445,       -0.37445
(25, 341),     -0.3744,       -0.3744
(124, 253),     -0.37436,       -0.37436
(56, 65),     -0.37393,       -0.37393
(46, 256),     -0.37353,       -0.37353
(70, 308),     -0.37351,       -0.37351
(30, 296),     -0.37297,       -0.37297
(190, 253),     -0.37247,       -0.37247
(63, 291),     -0.37224,       -0.37224
(156, 384),     -0.37203,       -0.37203
(130, 291),     -0.37177,       -0.37177
(35, 296),     -0.37148,       -0.37148
(258, 276),     -0.37147,       -0.37147
(144, 414),     -0.37144,       -0.37144
(46, 381),     -0.36959,       -0.36959
(190, 265),     -0.36952,       -0.36952
(7, 247),     -0.36943,       -0.36943
(25, 293),     -0.36921,       -0.36921
(157, 293),     -0.36903,       -0.36903
(173, 253),     -0.36876,       -0.36876
(70, 374),     -0.36797,       -0.36797
(35, 259),     -0.36773,       -0.36773
(156, 380),     -0.36768,       -0.36768
(22, 243),     -0.36758,       -0.36758
(156, 258),     -0.36726,       -0.36726
(25, 252),     -0.36648,       -0.36648
(156, 253),     -0.36524,       -0.36524
(63, 296),     -0.3651,       -0.3651
(24, 276),     -0.36467,       -0.36467
(30, 276),     -0.36408,       -0.36408
(247, 291),     -0.36325,       -0.36325
(26, 380),     -0.36299,       -0.36299
(56, 414),     -0.36273,       -0.36273
(25, 283),     -0.36227,       -0.36227
(30, 52),     -0.36225,       -0.36225
(65, 282),     -0.36198,       -0.36198
(25, 381),     -0.36112,       -0.36112
(52, 283),     -0.36094,       -0.36094
(260, 300),     -0.36094,       -0.36094
(30, 291),     -0.36087,       -0.36087
(246, 291),     -0.36069,       -0.36069
(243, 300),     -0.36054,       -0.36054
(287, 383),     -0.3604,       -0.3604
(35, 467),     -0.36002,       -0.36002
(112, 153),     -0.35936,       -0.35936
(163, 382),     -0.35907,       -0.35907
(130, 252),     -0.35882,       -0.35882
(63, 300),     -0.35871,       -0.35871
(110, 414),     -0.35865,       -0.35865
(154, 254),     -0.35837,       -0.35837
(173, 265),     -0.35788,       -0.35788
(46, 382),     -0.35769,       -0.35769
(33, 306),     -0.35718,       -0.35718
(155, 353),     -0.3571,       -0.3571
(193, 300),     -0.35704,       -0.35704
(163, 252),     -0.35681,       -0.35681
(255, 359),     -0.35642,       -0.35642
(130, 383),     -0.35619,       -0.35619
(35, 253),     -0.35569,       -0.35569
(130, 256),     -0.35556,       -0.35556
(35, 260),     -0.35476,       -0.35476
(110, 300),     -0.35424,       -0.35424
(133, 283),     -0.35422,       -0.35422
(70, 383),     -0.35405,       -0.35405
(130, 353),     -0.35362,       -0.35362
(28, 286),     -0.35355,       -0.35355
(66, 293),     -0.35302,       -0.35302
(145, 380),     -0.35294,       -0.35294
(25, 382),     -0.35272,       -0.35272
(46, 306),     -0.35196,       -0.35196
(156, 463),     -0.35163,       -0.35163
(24, 380),     -0.3509,       -0.3509
(265, 287),     -0.3508,       -0.3508
(157, 257),     -0.35079,       -0.35079
(163, 327),     -0.35073,       -0.35073
(63, 306),     -0.35067,       -0.35067
(55, 283),     -0.35055,       -0.35055
(27, 296),     -0.35023,       -0.35023
(29, 276),     -0.35022,       -0.35022
(56, 381),     -0.3502,       -0.3502
(46, 380),     -0.34934,       -0.34934
(158, 384),     -0.34872,       -0.34872
(286, 300),     -0.34843,       -0.34843
(130, 381),     -0.34808,       -0.34808
(107, 293),     -0.3478,       -0.3478
(66, 296),     -0.34734,       -0.34734
(98, 124),     -0.34716,       -0.34716
(296, 336),     -0.34681,       -0.34681
(33, 98),     -0.34671,       -0.34671
(56, 362),     -0.34643,       -0.34643
(124, 257),     -0.34603,       -0.34603
(249, 359),     -0.34583,       -0.34583
(110, 283),     -0.34578,       -0.34578
(70, 254),     -0.34538,       -0.34538
(29, 336),     -0.34535,       -0.34535
(7, 256),     -0.3451,       -0.3451
(130, 382),     -0.34481,       -0.34481
(46, 341),     -0.34472,       -0.34472
(153, 384),     -0.34326,       -0.34326
(46, 398),     -0.34258,       -0.34258
(190, 414),     -0.3406,       -0.3406
(130, 341),     -0.34052,       -0.34052
(154, 276),     -0.34037,       -0.34037
(35, 254),     -0.3401,       -0.3401
(35, 292),     -0.34009,       -0.34009
(22, 380),     -0.33995,       -0.33995
(163, 381),     -0.33985,       -0.33985
(70, 463),     -0.3392,       -0.3392
(56, 252),     -0.33854,       -0.33854
(124, 254),     -0.33828,       -0.33828
(56, 382),     -0.33798,       -0.33798
(133, 383),     -0.33795,       -0.33795
(28, 295),     -0.33793,       -0.33793
(154, 286),     -0.33788,       -0.33788
(130, 306),     -0.33783,       -0.33783
(158, 385),     -0.33758,       -0.33758
(56, 256),     -0.33749,       -0.33749
(110, 384),     -0.33743,       -0.33743
(155, 300),     -0.33716,       -0.33716
(156, 254),     -0.33699,       -0.33699
(145, 253),     -0.33658,       -0.33658
(62, 78),     -0.33645,       -0.33645
(110, 293),     -0.33627,       -0.33627
(243, 254),     -0.3362,       -0.3362
(133, 293),     -0.33599,       -0.33599
(29, 327),     -0.33594,       -0.33594
(29, 291),     -0.3356,       -0.3356
(22, 190),     -0.33541,       -0.33541
(341, 382),     -0.33527,       -0.33527
(52, 295),     -0.3342,       -0.3342
(112, 155),     -0.33378,       -0.33378
(246, 306),     -0.33363,       -0.33363
(112, 276),     -0.33345,       -0.33345
(30, 306),     -0.33321,       -0.33321
(29, 65),     -0.33294,       -0.33294
(156, 414),     -0.33288,       -0.33288
(63, 327),     -0.33252,       -0.33252
(7, 252),     -0.3316,       -0.3316
(35, 285),     -0.33127,       -0.33127
(159, 276),     -0.33106,       -0.33106
(243, 374),     -0.33054,       -0.33054
(46, 253),     -0.33014,       -0.33014
(130, 282),     -0.32998,       -0.32998
(53, 276),     -0.32939,       -0.32939
(23, 380),     -0.32937,       -0.32937
(292, 383),     -0.32908,       -0.32908
(258, 285),     -0.32908,       -0.32908
(25, 98),     -0.32871,       -0.32871
(30, 66),     -0.32858,       -0.32858
(247, 306),     -0.32855,       -0.32855
(24, 286),     -0.32834,       -0.32834
(308, 383),     -0.32765,       -0.32765
(7, 341),     -0.32764,       -0.32764
(63, 252),     -0.32716,       -0.32716
(46, 362),     -0.3271,       -0.3271
(65, 283),     -0.32652,       -0.32652
(124, 308),     -0.32632,       -0.32632
(306, 383),     -0.32568,       -0.32568
(56, 259),     -0.32561,       -0.32561
(24, 300),     -0.32561,       -0.32561
(163, 463),     -0.32537,       -0.32537
(161, 327),     -0.32445,       -0.32445
(190, 385),     -0.32345,       -0.32345
(30, 336),     -0.32302,       -0.32302
(291, 383),     -0.3226,       -0.3226
(56, 107),     -0.32234,       -0.32234
(24, 283),     -0.32221,       -0.32221
(193, 293),     -0.32204,       -0.32204
(70, 295),     -0.32179,       -0.32179
(110, 380),     -0.32174,       -0.32174
(163, 362),     -0.32136,       -0.32136
(155, 265),     -0.3209,       -0.3209
(110, 286),     -0.32085,       -0.32085
(25, 384),     -0.31988,       -0.31988
(46, 353),     -0.31966,       -0.31966
(265, 292),     -0.3196,       -0.3196
(155, 283),     -0.31956,       -0.31956
(124, 374),     -0.31955,       -0.31955
(22, 173),     -0.31951,       -0.31951
(159, 300),     -0.31918,       -0.31918
(65, 145),     -0.3191,       -0.3191
(23, 276),     -0.31861,       -0.31861
(190, 257),     -0.31857,       -0.31857
(156, 336),     -0.31856,       -0.31856
(265, 308),     -0.31837,       -0.31837
(193, 291),     -0.31795,       -0.31795
(156, 374),     -0.31794,       -0.31794
(56, 341),     -0.3178,       -0.3178
(285, 296),     -0.31627,       -0.31627
(105, 296),     -0.31626,       -0.31626
(265, 306),     -0.31614,       -0.31614
(154, 374),     -0.31608,       -0.31608
(247, 382),     -0.31606,       -0.31606
(46, 265),     -0.31594,       -0.31594
(29, 306),     -0.31573,       -0.31573
(112, 384),     -0.31561,       -0.31561
(159, 286),     -0.31557,       -0.31557
(112, 243),     -0.31541,       -0.31541
(46, 163),     -0.31532,       -0.31532
(57, 287),     -0.31495,       -0.31495
(163, 247),     -0.31492,       -0.31492
(247, 256),     -0.31452,       -0.31452
(63, 256),     -0.31442,       -0.31442
(247, 296),     -0.31434,       -0.31434
(63, 381),     -0.31414,       -0.31414
(46, 144),     -0.31384,       -0.31384
(55, 282),     -0.31382,       -0.31382
(24, 293),     -0.31354,       -0.31354
(25, 353),     -0.313,       -0.313
(265, 291),     -0.31293,       -0.31293
(35, 386),     -0.31271,       -0.31271
(26, 253),     -0.31227,       -0.31227
(56, 380),     -0.31183,       -0.31183
(35, 374),     -0.31173,       -0.31173
(63, 380),     -0.31118,       -0.31118
(56, 463),     -0.31115,       -0.31115
(70, 265),     -0.31115,       -0.31115
(247, 252),     -0.31082,       -0.31082
(107, 296),     -0.31069,       -0.31069
(65, 153),     -0.31066,       -0.31066
(353, 467),     -0.30985,       -0.30985
(33, 292),     -0.30967,       -0.30967
(153, 276),     -0.30925,       -0.30925
(173, 374),     -0.30882,       -0.30882
(193, 276),     -0.30867,       -0.30867
(339, 359),     -0.30863,       -0.30863
(112, 300),     -0.30802,       -0.30802
(173, 254),     -0.30767,       -0.30767
(247, 381),     -0.30703,       -0.30703
(161, 291),     -0.30697,       -0.30697
(247, 398),     -0.30685,       -0.30685
(193, 306),     -0.30573,       -0.30573
(22, 276),     -0.30572,       -0.30572
(53, 144),     -0.30566,       -0.30566
(52, 145),     -0.30511,       -0.30511
(56, 282),     -0.30497,       -0.30497
(63, 292),     -0.30487,       -0.30487
(35, 359),     -0.30478,       -0.30478
(247, 341),     -0.30436,       -0.30436
(243, 265),     -0.30386,       -0.30386
(157, 362),     -0.30346,       -0.30346
(25, 463),     -0.30296,       -0.30296
(27, 286),     -0.30272,       -0.30272
(24, 384),     -0.30237,       -0.30237
(130, 380),     -0.30226,       -0.30226
(153, 286),     -0.30213,       -0.30213
