Comparing the following files: 
kelly_front_s2_v2/,  hadleigh_front_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s2_v2_vs_hadleigh_front_s2_v2,  average
(70, 291),     -0.40402,       -0.40402
(33, 154),     -0.40344,       -0.40344
(157, 292),     -0.40237,       -0.40237
(259, 380),     -0.40229,       -0.40229
(373, 467),     -0.40116,       -0.40116
(154, 247),     -0.4007,       -0.4007
(33, 112),     -0.40008,       -0.40008
(7, 154),     -0.39835,       -0.39835
(247, 327),     -0.39812,       -0.39812
(29, 144),     -0.39799,       -0.39799
(33, 243),     -0.39763,       -0.39763
(110, 308),     -0.39724,       -0.39724
(246, 287),     -0.39656,       -0.39656
(26, 161),     -0.39627,       -0.39627
(156, 291),     -0.39511,       -0.39511
(7, 161),     -0.39362,       -0.39362
(130, 287),     -0.39252,       -0.39252
(29, 287),     -0.39248,       -0.39248
(70, 306),     -0.39164,       -0.39164
(30, 154),     -0.39161,       -0.39161
(23, 247),     -0.39152,       -0.39152
(35, 308),     -0.39086,       -0.39086
(157, 308),     -0.39053,       -0.39053
(282, 373),     -0.38976,       -0.38976
(24, 306),     -0.3883,       -0.3883
(145, 291),     -0.38829,       -0.38829
(33, 327),     -0.38782,       -0.38782
(158, 327),     -0.38617,       -0.38617
(27, 327),     -0.38579,       -0.38579
(160, 173),     -0.3848,       -0.3848
(24, 291),     -0.38425,       -0.38425
(110, 130),     -0.38351,       -0.38351
(22, 247),     -0.38317,       -0.38317
(24, 292),     -0.38291,       -0.38291
(156, 306),     -0.38153,       -0.38153
(144, 308),     -0.38038,       -0.38038
(160, 243),     -0.38029,       -0.38029
(7, 112),     -0.37876,       -0.37876
(24, 130),     -0.37757,       -0.37757
(112, 247),     -0.37694,       -0.37694
(145, 161),     -0.37666,       -0.37666
(145, 306),     -0.37637,       -0.37637
(282, 382),     -0.37501,       -0.37501
(153, 246),     -0.37459,       -0.37459
(30, 190),     -0.37,       -0.37
(22, 30),     -0.36946,       -0.36946
(70, 292),     -0.36929,       -0.36929
(23, 246),     -0.36854,       -0.36854
(30, 155),     -0.36846,       -0.36846
(259, 381),     -0.36844,       -0.36844
(145, 246),     -0.36786,       -0.36786
(70, 308),     -0.36728,       -0.36728
(7, 158),     -0.36711,       -0.36711
(259, 373),     -0.36703,       -0.36703
(30, 112),     -0.3662,       -0.3662
(133, 247),     -0.36609,       -0.36609
(153, 161),     -0.36602,       -0.36602
(30, 56),     -0.36584,       -0.36584
(243, 247),     -0.36558,       -0.36558
(249, 263),     -0.3654,       -0.3654
(27, 29),     -0.36505,       -0.36505
(22, 246),     -0.36484,       -0.36484
(283, 374),     -0.36474,       -0.36474
(26, 30),     -0.36405,       -0.36405
(112, 130),     -0.36357,       -0.36357
(26, 247),     -0.36229,       -0.36229
(7, 163),     -0.36148,       -0.36148
(160, 163),     -0.36135,       -0.36135
(30, 243),     -0.36113,       -0.36113
(7, 153),     -0.36034,       -0.36034
(260, 381),     -0.35962,       -0.35962
(29, 153),     -0.35921,       -0.35921
(373, 466),     -0.35893,       -0.35893
(157, 160),     -0.35805,       -0.35805
(156, 292),     -0.35753,       -0.35753
(130, 327),     -0.3574,       -0.3574
(23, 30),     -0.35684,       -0.35684
(22, 161),     -0.35588,       -0.35588
(156, 308),     -0.35579,       -0.35579
(29, 190),     -0.35574,       -0.35574
(380, 467),     -0.35436,       -0.35436
(23, 161),     -0.35407,       -0.35407
(283, 373),     -0.35333,       -0.35333
(282, 362),     -0.351,       -0.351
(157, 161),     -0.35072,       -0.35072
(263, 390),     -0.34997,       -0.34997
(24, 308),     -0.34895,       -0.34895
(145, 292),     -0.3484,       -0.3484
(153, 163),     -0.34735,       -0.34735
(130, 154),     -0.34635,       -0.34635
(260, 390),     -0.3463,       -0.3463
(29, 163),     -0.34628,       -0.34628
(153, 291),     -0.34625,       -0.34625
(26, 33),     -0.34608,       -0.34608
(155, 160),     -0.34454,       -0.34454
(161, 287),     -0.34393,       -0.34393
(66, 292),     -0.34349,       -0.34349
(112, 160),     -0.34273,       -0.34273
(257, 380),     -0.34172,       -0.34172
(283, 380),     -0.34135,       -0.34135
(282, 463),     -0.34072,       -0.34072
(334, 381),     -0.33995,       -0.33995
(130, 243),     -0.33991,       -0.33991
(390, 467),     -0.33965,       -0.33965
(7, 26),     -0.33803,       -0.33803
(282, 341),     -0.33783,       -0.33783
(7, 287),     -0.33767,       -0.33767
(256, 282),     -0.33653,       -0.33653
(133, 160),     -0.33648,       -0.33648
(65, 292),     -0.3364,       -0.3364
(66, 308),     -0.33599,       -0.33599
(23, 291),     -0.33573,       -0.33573
(29, 56),     -0.33495,       -0.33495
(283, 381),     -0.33494,       -0.33494
(257, 381),     -0.33466,       -0.33466
(7, 160),     -0.33425,       -0.33425
(7, 133),     -0.33402,       -0.33402
(7, 243),     -0.33352,       -0.33352
(144, 160),     -0.33317,       -0.33317
(23, 306),     -0.33303,       -0.33303
(257, 374),     -0.33142,       -0.33142
(33, 163),     -0.33076,       -0.33076
(66, 306),     -0.32982,       -0.32982
(25, 112),     -0.32946,       -0.32946
(374, 466),     -0.32911,       -0.32911
(173, 291),     -0.32896,       -0.32896
(7, 327),     -0.32891,       -0.32891
(24, 246),     -0.32884,       -0.32884
(390, 466),     -0.32874,       -0.32874
(65, 308),     -0.32798,       -0.32798
(52, 144),     -0.32732,       -0.32732
(26, 130),     -0.32718,       -0.32718
(334, 374),     -0.32673,       -0.32673
(24, 247),     -0.32671,       -0.32671
(30, 133),     -0.32528,       -0.32528
(334, 380),     -0.32511,       -0.32511
(153, 306),     -0.32473,       -0.32473
(157, 159),     -0.32473,       -0.32473
(29, 154),     -0.32305,       -0.32305
(22, 291),     -0.32244,       -0.32244
(29, 243),     -0.32233,       -0.32233
(334, 382),     -0.32194,       -0.32194
(26, 291),     -0.32156,       -0.32156
(65, 306),     -0.32089,       -0.32089
(23, 130),     -0.32007,       -0.32007
(124, 287),     -0.31963,       -0.31963
(154, 163),     -0.31923,       -0.31923
(29, 112),     -0.31865,       -0.31865
(56, 291),     -0.31862,       -0.31862
(282, 390),     -0.31854,       -0.31854
(35, 190),     -0.31795,       -0.31795
(255, 339),     -0.31781,       -0.31781
(23, 292),     -0.31696,       -0.31696
(56, 306),     -0.31692,       -0.31692
(25, 26),     -0.31688,       -0.31688
(27, 287),     -0.31685,       -0.31685
(158, 190),     -0.316,       -0.316
(33, 173),     -0.31589,       -0.31589
(144, 145),     -0.31557,       -0.31557
(359, 373),     -0.31521,       -0.31521
(252, 282),     -0.31474,       -0.31474
(374, 388),     -0.31463,       -0.31463
(24, 25),     -0.31348,       -0.31348
(173, 306),     -0.31326,       -0.31326
(25, 155),     -0.31267,       -0.31267
(52, 163),     -0.31265,       -0.31265
(7, 144),     -0.31218,       -0.31218
(52, 145),     -0.31103,       -0.31103
(283, 390),     -0.31097,       -0.31097
(26, 29),     -0.31088,       -0.31088
(24, 161),     -0.31002,       -0.31002
(259, 382),     -0.3093,       -0.3093
(25, 327),     -0.30913,       -0.30913
(386, 463),     -0.30875,       -0.30875
(334, 373),     -0.30864,       -0.30864
(22, 306),     -0.30846,       -0.30846
(27, 56),     -0.30765,       -0.30765
(154, 160),     -0.3072,       -0.3072
(66, 291),     -0.30689,       -0.30689
(145, 308),     -0.30586,       -0.30586
(334, 362),     -0.30531,       -0.30531
(7, 33),     -0.30506,       -0.30506
(29, 155),     -0.30413,       -0.30413
(158, 159),     -0.3034,       -0.3034
(56, 130),     -0.30284,       -0.30284
(56, 292),     -0.3027,       -0.3027
