Comparing the following files: 
krithika_front_s29_v1/groups,  krithika_front_s30_v1/groups,  

Correlation cuttoff is 0.3
landmark(s),  krithika_front_s29_v1groups_vs_krithika_front_s30_v1groups,  average
(292, 383),  -0.81461,       -0.81461,       
(308, 383),  -0.81361,       -0.81361,       
(306, 383),  -0.81269,       -0.81269,       
(291, 383),  -0.81022,       -0.81022,       
(287, 383),  -0.78468,       -0.78468,       
(265, 292),  -0.75921,       -0.75921,       
(265, 306),  -0.75641,       -0.75641,       
(265, 308),  -0.7553,       -0.7553,       
(265, 291),  -0.75237,       -0.75237,       
(292, 300),  -0.72094,       -0.72094,       
(300, 308),  -0.72026,       -0.72026,       
(300, 306),  -0.70596,       -0.70596,       
(291, 300),  -0.69855,       -0.69855,       
(265, 287),  -0.69443,       -0.69443,       
(292, 353),  -0.68674,       -0.68674,       
(308, 353),  -0.68555,       -0.68555,       
(306, 353),  -0.6705,       -0.6705,       
(291, 353),  -0.66094,       -0.66094,       
(155, 193),  -0.64124,       -0.64124,       
(133, 193),  -0.62694,       -0.62694,       
(70, 417),  -0.61485,       -0.61485,       
(46, 417),  -0.61049,       -0.61049,       
(173, 193),  -0.59346,       -0.59346,       
(287, 300),  -0.59174,       -0.59174,       
(154, 193),  -0.57958,       -0.57958,       
(153, 193),  -0.5731,       -0.5731,       
(70, 193),  -0.56512,       -0.56512,       
(145, 193),  -0.55954,       -0.55954,       
(156, 398),  -0.55748,       -0.55748,       
(249, 409),  -0.55506,       -0.55506,       
(246, 417),  -0.55283,       -0.55283,       
(0, 267),  -0.55156,       -0.55156,       
(33, 193),  -0.54917,       -0.54917,       
(46, 193),  -0.54544,       -0.54544,       
(53, 336),  -0.54028,       -0.54028,       
(53, 285),  -0.5402,       -0.5402,       
(46, 285),  -0.53981,       -0.53981,       
(57, 292),  -0.53215,       -0.53215,       
(300, 409),  -0.53032,       -0.53032,       
(57, 306),  -0.53015,       -0.53015,       
(124, 417),  -0.52589,       -0.52589,       
(193, 246),  -0.52462,       -0.52462,       
(57, 291),  -0.51887,       -0.51887,       
(287, 353),  -0.5109,       -0.5109,       
(63, 417),  -0.50943,       -0.50943,       
(57, 308),  -0.50935,       -0.50935,       
(53, 107),  -0.50841,       -0.50841,       
(52, 107),  -0.50468,       -0.50468,       
(53, 65),  -0.50321,       -0.50321,       
(46, 336),  -0.50244,       -0.50244,       
(383, 409),  -0.5019,       -0.5019,       
(63, 285),  -0.49991,       -0.49991,       
(52, 63),  -0.49923,       -0.49923,       
(70, 285),  -0.49648,       -0.49648,       
(63, 65),  -0.49577,       -0.49577,       
(63, 336),  -0.49528,       -0.49528,       
(144, 193),  -0.49412,       -0.49412,       
