Comparing the following files: 
hadleigh_front_s1_v2/,  hadleigh_low_s1_v2/,  hadleigh_right_threequarter_s1_v2/,  hadleigh_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s1_v2_vs_hadleigh_low_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_front_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_right_threequarter_s1_v2,  hadleigh_low_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  hadleigh_right_threequarter_s1_v2_vs_hadleigh_left_threequarter_s1_v2,  average
(159, 285),     0.698,       0.69817,       0.4478,       0.81544,       0.43033,       0.40165,       0.5819
(308, 327),     0.54735,       0.68335,       0.45648,       0.7433,       0.58002,       0.47818,       0.58145
(25, 257),     0.70485,       0.72521,       0.48519,       0.60295,       0.47256,       0.49142,       0.58036
(292, 327),     0.55909,       0.67977,       0.46525,       0.73603,       0.56895,       0.47153,       0.5801
(130, 285),     0.74664,       0.71894,       0.4789,       0.73621,       0.35658,       0.44228,       0.57993
(130, 258),     0.75843,       0.72806,       0.40504,       0.70831,       0.41659,       0.45764,       0.57901
(23, 285),     0.56028,       0.81121,       0.63751,       0.56849,       0.33736,       0.55845,       0.57888
(159, 295),     0.71481,       0.72933,       0.50745,       0.68365,       0.40401,       0.43305,       0.57872
(110, 380),     0.63005,       0.66793,       0.49669,       0.73259,       0.47139,       0.46903,       0.57795
(110, 386),     0.67311,       0.66872,       0.477,       0.68643,       0.54142,       0.41816,       0.57747
(25, 386),     0.6836,       0.64327,       0.44157,       0.73468,       0.51634,       0.44276,       0.57704
(24, 398),     0.62303,       0.63699,       0.52011,       0.71322,       0.54308,       0.42388,       0.57672
(33, 296),     0.66349,       0.75962,       0.52186,       0.67179,       0.37758,       0.46478,       0.57652
(35, 388),     0.72538,       0.61755,       0.50613,       0.69419,       0.47911,       0.43348,       0.57597
(246, 295),     0.76951,       0.69267,       0.49921,       0.64359,       0.41699,       0.43256,       0.57576
(25, 190),     0.60876,       0.63864,       0.55157,       0.71115,       0.48167,       0.46273,       0.57575
