Comparing the following files: 
krithika_front_s3_v1/groups,  krithika_low_s3_v1/groups,  krithika_threequarter_s3_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s3_v1groups_vs_krithika_low_s3_v1groups,  krithika_front_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  krithika_low_s3_v1groups_vs_krithika_threequarter_s3_v1groups,  average
(37, 95),     0.85757,       0.91792,       0.77792,       0.85114
(17, 81),     0.84937,       0.93641,       0.76676,       0.85085
(324, 415),     0.87406,       0.92294,       0.75534,       0.85078
(0, 88),     0.85589,       0.92788,       0.76848,       0.85075
(76, 185),     0.84068,       0.91277,       0.79831,       0.85059
(80, 181),     0.8575,       0.93177,       0.7623,       0.85052
(146, 191),     0.86037,       0.93216,       0.75896,       0.8505
(310, 405),     0.84982,       0.93572,       0.76548,       0.85034
(91, 191),     0.86321,       0.92298,       0.76471,       0.8503
(321, 409),     0.84843,       0.92031,       0.78022,       0.84965
(81, 84),     0.85025,       0.93775,       0.76069,       0.84956
(40, 78),     0.84033,       0.91858,       0.78916,       0.84936
(66, 402),     0.83172,       0.91078,       0.80517,       0.84922
(40, 87),     0.85559,       0.9292,       0.76243,       0.84907
(178, 267),     0.8521,       0.93086,       0.76417,       0.84904
(310, 324),     0.8621,       0.92618,       0.75852,       0.84893
(37, 146),     0.8448,       0.9217,       0.78025,       0.84892
(17, 269),     0.84073,       0.92873,       0.77719,       0.84888
(311, 375),     0.8486,       0.92967,       0.76827,       0.84885
(17, 82),     0.84565,       0.94185,       0.75889,       0.8488
(98, 317),     0.85476,       0.91849,       0.77283,       0.84869
(267, 324),     0.85975,       0.90148,       0.78384,       0.84836
(81, 181),     0.85054,       0.93986,       0.75398,       0.84813
(14, 269),     0.85312,       0.93108,       0.7601,       0.8481
(312, 314),     0.8444,       0.94324,       0.7562,       0.84795
(310, 318),     0.8586,       0.93706,       0.7481,       0.84792
(311, 318),     0.85415,       0.93844,       0.75088,       0.84782
(39, 405),     0.84678,       0.92659,       0.76923,       0.84753
(95, 191),     0.87009,       0.92197,       0.75036,       0.84747
(66, 405),     0.81668,       0.90079,       0.82467,       0.84738
(84, 269),     0.83947,       0.92701,       0.7731,       0.84653
(88, 267),     0.85275,       0.91888,       0.76604,       0.84589
(13, 17),     0.84363,       0.94129,       0.75234,       0.84575
(82, 84),     0.84528,       0.94002,       0.75163,       0.84564
(87, 269),     0.8499,       0.92752,       0.75939,       0.8456
(181, 269),     0.83776,       0.92758,       0.77056,       0.8453
(40, 62),     0.83811,       0.91339,       0.78408,       0.84519
(81, 91),     0.84805,       0.94065,       0.74679,       0.84516
(324, 409),     0.86028,       0.91745,       0.75763,       0.84512
(39, 402),     0.85551,       0.92024,       0.7592,       0.84498
(311, 314),     0.84509,       0.93664,       0.75302,       0.84492
(80, 88),     0.85781,       0.93404,       0.74153,       0.84446
(270, 317),     0.85826,       0.9176,       0.75728,       0.84438
(80, 84),     0.84736,       0.92347,       0.76108,       0.84397
(13, 321),     0.84789,       0.92125,       0.75966,       0.84293
(17, 312),     0.84312,       0.93789,       0.74705,       0.84269
(13, 84),     0.8428,       0.93858,       0.74651,       0.84263
(82, 181),     0.84239,       0.94025,       0.7445,       0.84238
(66, 317),     0.81694,       0.91676,       0.79295,       0.84222
(178, 269),     0.84601,       0.92055,       0.75987,       0.84214
(312, 402),     0.84486,       0.94127,       0.74007,       0.84207
(17, 40),     0.83587,       0.92255,       0.7676,       0.84201
(0, 95),     0.85086,       0.91077,       0.76423,       0.84195
(311, 402),     0.84657,       0.94111,       0.73779,       0.84182
(13, 317),     0.84395,       0.93959,       0.73968,       0.84107
(14, 82),     0.84747,       0.93414,       0.74122,       0.84094
(91, 269),     0.83182,       0.92269,       0.76809,       0.84087
(84, 312),     0.842,       0.93547,       0.74377,       0.84041
(65, 402),     0.8253,       0.90897,       0.78691,       0.84039
