Comparing the following files: 
hadleigh_front_s3_v2/,  hadleigh_low_s3_v2/,  hadleigh_right_threequarter_s3_v2/,  hadleigh_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s3_v2_vs_hadleigh_low_s3_v2,  hadleigh_front_s3_v2_vs_hadleigh_right_threequarter_s3_v2,  hadleigh_front_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  hadleigh_low_s3_v2_vs_hadleigh_right_threequarter_s3_v2,  hadleigh_low_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  hadleigh_right_threequarter_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  average
(259, 334),     0.88317,       0.84442,       0.85168,       0.92273,       0.81398,       0.83769,       0.85895
(293, 388),     0.9222,       0.86021,       0.81333,       0.88764,       0.81975,       0.82204,       0.8542
(293, 466),     0.9088,       0.84827,       0.81651,       0.88533,       0.81444,       0.82477,       0.84969
(259, 283),     0.89133,       0.84685,       0.77301,       0.91395,       0.83084,       0.82135,       0.84622
(260, 334),     0.89634,       0.83389,       0.84335,       0.89169,       0.80171,       0.79682,       0.84397
(334, 384),     0.94426,       0.83651,       0.81255,       0.87808,       0.7897,       0.79371,       0.84247
(257, 334),     0.8878,       0.82615,       0.81359,       0.90629,       0.82389,       0.79692,       0.84244
(334, 388),     0.93005,       0.84428,       0.77435,       0.86825,       0.83022,       0.80015,       0.84122
(276, 466),     0.91684,       0.83834,       0.82997,       0.8683,       0.77409,       0.79926,       0.8378
(260, 293),     0.89041,       0.86377,       0.79404,       0.91426,       0.7758,       0.78068,       0.83649
(260, 283),     0.90196,       0.80856,       0.79389,       0.8647,       0.84154,       0.80418,       0.83581
(258, 334),     0.91311,       0.83958,       0.77705,       0.91408,       0.78791,       0.76272,       0.83241
(276, 467),     0.87934,       0.8545,       0.7976,       0.90715,       0.75642,       0.79046,       0.83091
(276, 388),     0.92495,       0.84135,       0.81964,       0.85456,       0.75788,       0.78145,       0.82997
(293, 467),     0.88465,       0.84001,       0.80408,       0.90136,       0.76119,       0.78131,       0.82877
(334, 385),     0.93837,       0.84498,       0.74789,       0.88155,       0.75388,       0.76111,       0.8213
(334, 387),     0.93552,       0.81636,       0.76505,       0.83803,       0.80336,       0.74415,       0.81708
(286, 334),     0.93245,       0.82086,       0.77428,       0.89528,       0.75204,       0.7178,       0.81545
(334, 466),     0.91913,       0.78967,       0.76995,       0.81575,       0.83452,       0.76189,       0.81515
(283, 388),     0.93155,       0.82195,       0.71819,       0.84306,       0.79773,       0.76987,       0.81372
(293, 384),     0.9255,       0.85718,       0.7526,       0.89979,       0.71714,       0.71784,       0.81168
(293, 387),     0.92678,       0.79748,       0.79377,       0.81545,       0.7856,       0.71983,       0.80648
(26, 296),     0.93739,       0.7722,       0.78977,       0.79624,       0.77942,       0.73937,       0.8024
(112, 296),     0.93435,       0.77158,       0.81478,       0.76727,       0.80605,       0.71901,       0.80217
(26, 336),     0.8937,       0.75933,       0.84142,       0.77083,       0.80614,       0.7299,       0.80022
(283, 384),     0.93677,       0.78473,       0.76286,       0.80855,       0.74533,       0.75968,       0.79965
(257, 282),     0.90874,       0.74685,       0.68882,       0.8204,       0.82939,       0.80336,       0.79959
(263, 293),     0.88735,       0.76728,       0.80335,       0.811,       0.77935,       0.73494,       0.79721
(296, 384),     0.96548,       0.75865,       0.77227,       0.77132,       0.7721,       0.73061,       0.79507
(258, 296),     0.90083,       0.77674,       0.69426,       0.82488,       0.80779,       0.7633,       0.79463
(283, 387),     0.93996,       0.81617,       0.71415,       0.8216,       0.7505,       0.71725,       0.79327
(296, 385),     0.96095,       0.81872,       0.69267,       0.84363,       0.71197,       0.71754,       0.79091
(334, 467),     0.89358,       0.74612,       0.81242,       0.79494,       0.79705,       0.69469,       0.7898
(258, 282),     0.9394,       0.72235,       0.69439,       0.78988,       0.80881,       0.78136,       0.78937
(293, 359),     0.8839,       0.76058,       0.78462,       0.82045,       0.76857,       0.71775,       0.78931
(243, 296),     0.92688,       0.7621,       0.81123,       0.7351,       0.78346,       0.70734,       0.78769
(334, 386),     0.93621,       0.78094,       0.74869,       0.80381,       0.76591,       0.68743,       0.78717
(300, 466),     0.88108,       0.87331,       0.7692,       0.84952,       0.62109,       0.71894,       0.78552
(257, 296),     0.85807,       0.79306,       0.68434,       0.81332,       0.81051,       0.74173,       0.7835
(22, 336),     0.88551,       0.72168,       0.82533,       0.77972,       0.7723,       0.71269,       0.78287
(257, 283),     0.89197,       0.80214,       0.72011,       0.84676,       0.7606,       0.67155,       0.78219
(133, 296),     0.92304,       0.78955,       0.77549,       0.75029,       0.71486,       0.7379,       0.78186
(283, 385),     0.93907,       0.83749,       0.67755,       0.85421,       0.65943,       0.72071,       0.78141
(22, 296),     0.93158,       0.74734,       0.75832,       0.79963,       0.73547,       0.71384,       0.78103
(112, 336),     0.88558,       0.75257,       0.83046,       0.72497,       0.80378,       0.68304,       0.78007
(293, 385),     0.92394,       0.82964,       0.71958,       0.85945,       0.68117,       0.66607,       0.77997
(243, 334),     0.92592,       0.81733,       0.69847,       0.81138,       0.71002,       0.67183,       0.77249
(155, 296),     0.92624,       0.76776,       0.75212,       0.75258,       0.70041,       0.73571,       0.77247
(282, 385),     0.95096,       0.8071,       0.63949,       0.8251,       0.67659,       0.73341,       0.77211
(259, 293),     0.86915,       0.79156,       0.74292,       0.83774,       0.74681,       0.64254,       0.77179
(283, 466),     0.91498,       0.72653,       0.70627,       0.7595,       0.81356,       0.70804,       0.77148
(282, 384),     0.95338,       0.702,       0.75226,       0.71691,       0.76758,       0.734,       0.77102
(259, 282),     0.88897,       0.70818,       0.72519,       0.73511,       0.8364,       0.7273,       0.77019
(255, 293),     0.87808,       0.75109,       0.78572,       0.82683,       0.69898,       0.66555,       0.76771
(112, 334),     0.9264,       0.80141,       0.6922,       0.81682,       0.70906,       0.6535,       0.76656
(263, 276),     0.88342,       0.7157,       0.81612,       0.75747,       0.74188,       0.67612,       0.76512
