Comparing the following files: 
hadleigh_front_s4_v2/,  hadleigh_low_s4_v2/,  hadleigh_right_threequarter_s4_v2/,  hadleigh_left_threequarter_s4_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s4_v2_vs_hadleigh_low_s4_v2,  hadleigh_front_s4_v2_vs_hadleigh_right_threequarter_s4_v2,  hadleigh_front_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  hadleigh_low_s4_v2_vs_hadleigh_right_threequarter_s4_v2,  hadleigh_low_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  hadleigh_right_threequarter_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  average
(265, 291),     0.92001,       0.64765,       0.92077,       0.69997,       0.88425,       0.60771,       0.78006
(265, 306),     0.9229,       0.63714,       0.91949,       0.69845,       0.88188,       0.60427,       0.77735
(265, 308),     0.93012,       0.6345,       0.91686,       0.69618,       0.88174,       0.60231,       0.77695
(265, 292),     0.92598,       0.63167,       0.91785,       0.69575,       0.88058,       0.59951,       0.77522
(291, 383),     0.91309,       0.6367,       0.91303,       0.65847,       0.85891,       0.63894,       0.76986
(308, 383),     0.92319,       0.61751,       0.9089,       0.65178,       0.85517,       0.62933,       0.76431
(306, 383),     0.91585,       0.62015,       0.91182,       0.65186,       0.85606,       0.62975,       0.76425
(292, 383),     0.91893,       0.61533,       0.91012,       0.65143,       0.85422,       0.62565,       0.76261
(308, 339),     0.89012,       0.59743,       0.89174,       0.66534,       0.84907,       0.67501,       0.76145
(292, 339),     0.8818,       0.5952,       0.89114,       0.66529,       0.84612,       0.67331,       0.75881
(306, 339),     0.87207,       0.5965,       0.88882,       0.66339,       0.84364,       0.67852,       0.75716
(291, 339),     0.8626,       0.59655,       0.88501,       0.66213,       0.84277,       0.68271,       0.75529
(254, 308),     0.86303,       0.60772,       0.86885,       0.66348,       0.82265,       0.69262,       0.75306
(255, 308),     0.897,       0.56486,       0.90036,       0.64771,       0.85678,       0.65064,       0.75289
(255, 291),     0.8754,       0.57168,       0.89742,       0.65049,       0.85366,       0.6627,       0.75189
(255, 306),     0.8826,       0.56658,       0.89941,       0.64833,       0.85346,       0.65566,       0.75101
(255, 292),     0.88996,       0.56319,       0.90033,       0.64817,       0.8545,       0.64908,       0.75087
(254, 292),     0.85117,       0.60491,       0.86693,       0.66161,       0.81794,       0.69091,       0.74891
(291, 353),     0.89852,       0.56662,       0.91242,       0.59697,       0.85047,       0.6351,       0.74335
(254, 306),     0.83478,       0.603,       0.86108,       0.65421,       0.81126,       0.69487,       0.7432
(308, 353),     0.91218,       0.55633,       0.91038,       0.59367,       0.84895,       0.62893,       0.74174
(306, 353),     0.9025,       0.55707,       0.91223,       0.59287,       0.84837,       0.62829,       0.74022
(292, 353),     0.90682,       0.55486,       0.91124,       0.59424,       0.84727,       0.62581,       0.74004
(254, 291),     0.81907,       0.59766,       0.85304,       0.64717,       0.80699,       0.69767,       0.73693
(308, 390),     0.86645,       0.5494,       0.87533,       0.64339,       0.83437,       0.6513,       0.73671
(57, 308),     0.90058,       0.56416,       0.91545,       0.6507,       0.86785,       0.51923,       0.73633
(57, 292),     0.89601,       0.56253,       0.91674,       0.65289,       0.86555,       0.5182,       0.73532
(292, 390),     0.85644,       0.54768,       0.87405,       0.64264,       0.83107,       0.65015,       0.73367
(308, 373),     0.84616,       0.57026,       0.85636,       0.64861,       0.81776,       0.66135,       0.73342
(306, 390),     0.84398,       0.54881,       0.86992,       0.63962,       0.82769,       0.65586,       0.73098
(292, 373),     0.83354,       0.56737,       0.85397,       0.64553,       0.81334,       0.65944,       0.72886
(249, 308),     0.87375,       0.51701,       0.88535,       0.62245,       0.83968,       0.63362,       0.72864
(291, 359),     0.88008,       0.5099,       0.90437,       0.60592,       0.85454,       0.61359,       0.72807
(291, 390),     0.83207,       0.54772,       0.86411,       0.63689,       0.8261,       0.65999,       0.72781
(308, 359),     0.89901,       0.50104,       0.9052,       0.60136,       0.85635,       0.60056,       0.72725
(249, 292),     0.86502,       0.51618,       0.88473,       0.6229,       0.83685,       0.63302,       0.72645
(306, 359),     0.88616,       0.50248,       0.90535,       0.60194,       0.85383,       0.60479,       0.72576
(292, 359),     0.89249,       0.49984,       0.90551,       0.60198,       0.85422,       0.59905,       0.72552
(249, 306),     0.8551,       0.51849,       0.88224,       0.62145,       0.83487,       0.63969,       0.72531
(57, 306),     0.89425,       0.54097,       0.92062,       0.63025,       0.86799,       0.49242,       0.72442
(249, 291),     0.84559,       0.52046,       0.87842,       0.62107,       0.83444,       0.64601,       0.72433
(306, 373),     0.8159,       0.56574,       0.84689,       0.638,       0.80687,       0.66321,       0.72277
(62, 292),     0.91178,       0.55704,       0.89223,       0.56507,       0.87112,       0.51991,       0.71952
(253, 308),     0.80673,       0.59676,       0.82683,       0.62575,       0.77205,       0.68779,       0.71932
(62, 308),     0.91381,       0.55787,       0.89141,       0.56257,       0.87109,       0.51883,       0.71926
(76, 292),     0.90902,       0.54987,       0.8939,       0.57826,       0.866,       0.51439,       0.71857
(76, 308),     0.91137,       0.55088,       0.89313,       0.57588,       0.86632,       0.51369,       0.71855
(78, 292),     0.91361,       0.5542,       0.8914,       0.55699,       0.87344,       0.51632,       0.71766
(78, 308),     0.91542,       0.55481,       0.89032,       0.55422,       0.87295,       0.51488,       0.7171
(61, 308),     0.90773,       0.54208,       0.89206,       0.5912,       0.85798,       0.50578,       0.71614
(61, 292),     0.9051,       0.54112,       0.89299,       0.59352,       0.85754,       0.50626,       0.71609
(291, 373),     0.79919,       0.56062,       0.8377,       0.63074,       0.80276,       0.66518,       0.71603
(308, 374),     0.80368,       0.57607,       0.82269,       0.63141,       0.78298,       0.66037,       0.71287
(57, 291),     0.89075,       0.51756,       0.92308,       0.60726,       0.86782,       0.46844,       0.71249
(253, 292),     0.78849,       0.59351,       0.82234,       0.61897,       0.76444,       0.68604,       0.7123
(62, 306),     0.91202,       0.53861,       0.89564,       0.54908,       0.87499,       0.5033,       0.71227
(76, 306),     0.90891,       0.53208,       0.89717,       0.56212,       0.8695,       0.4983,       0.71135
(78, 306),     0.91414,       0.53625,       0.89509,       0.54165,       0.87781,       0.5,       0.71082
(61, 306),     0.90473,       0.52484,       0.89648,       0.57773,       0.86105,       0.49127,       0.70935
(308, 467),     0.88868,       0.48052,       0.90285,       0.53888,       0.8391,       0.60353,       0.70893
(292, 467),     0.88161,       0.47924,       0.90301,       0.53947,       0.83677,       0.60174,       0.70697
(292, 374),     0.78644,       0.57256,       0.8183,       0.62444,       0.77667,       0.65801,       0.70607
(306, 467),     0.87442,       0.47664,       0.90242,       0.53428,       0.83599,       0.60217,       0.70432
(62, 291),     0.91141,       0.51957,       0.89765,       0.53307,       0.87665,       0.48732,       0.70428
(76, 291),     0.90783,       0.51362,       0.89902,       0.54601,       0.87057,       0.48281,       0.70331
(78, 291),     0.91382,       0.51775,       0.89728,       0.52634,       0.87996,       0.48437,       0.70325
(61, 291),     0.90324,       0.50762,       0.89838,       0.56187,       0.86173,       0.47658,       0.70157
(291, 467),     0.86766,       0.47251,       0.90077,       0.52876,       0.83628,       0.60156,       0.70126
(253, 306),     0.75955,       0.58904,       0.80954,       0.60076,       0.74986,       0.6894,       0.69969
(263, 308),     0.87283,       0.436,       0.88972,       0.5611,       0.83596,       0.58056,       0.69603
(306, 374),     0.75965,       0.56893,       0.80587,       0.60933,       0.76489,       0.6607,       0.69489
(263, 292),     0.86465,       0.436,       0.88957,       0.56262,       0.83326,       0.58036,       0.69441
(263, 291),     0.84782,       0.44115,       0.88569,       0.561,       0.83217,       0.59363,       0.69358
(263, 306),     0.85599,       0.43741,       0.88815,       0.56044,       0.83196,       0.58602,       0.69333
(287, 306),     0.92103,       0.54161,       0.84213,       0.49507,       0.88491,       0.47443,       0.6932
(287, 291),     0.92386,       0.51943,       0.84664,       0.48961,       0.89956,       0.44663,       0.68762
(308, 380),     0.74749,       0.58434,       0.78401,       0.61063,       0.74248,       0.65583,       0.68746
(253, 291),     0.73261,       0.58023,       0.79387,       0.58411,       0.7393,       0.69224,       0.68706
(260, 308),     0.86099,       0.46632,       0.88925,       0.48747,       0.80651,       0.61017,       0.68678
(260, 292),     0.85184,       0.46531,       0.88899,       0.48776,       0.80329,       0.60892,       0.68435
(291, 374),     0.73484,       0.5614,       0.79093,       0.59564,       0.75667,       0.66216,       0.68361
(260, 306),     0.8413,       0.45992,       0.88718,       0.47951,       0.80081,       0.60676,       0.67925
(287, 339),     0.75594,       0.43612,       0.83414,       0.64213,       0.81803,       0.58678,       0.67886
(292, 380),     0.72476,       0.58108,       0.77725,       0.59873,       0.7341,       0.65343,       0.67822
(252, 308),     0.72721,       0.59631,       0.774,       0.58246,       0.71116,       0.6736,       0.67746
(287, 292),     0.91673,       0.50824,       0.8347,       0.45798,       0.86992,       0.47397,       0.67692
