Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(112, 155),     -0.69614,       -0.69614
(124, 327),     -0.67582,       -0.67582
(156, 327),     -0.66547,       -0.66547
(35, 327),     -0.65283,       -0.65283
(247, 327),     -0.65055,       -0.65055
(130, 327),     -0.6422,       -0.6422
(24, 327),     -0.63429,       -0.63429
(30, 327),     -0.62707,       -0.62707
(110, 327),     -0.61948,       -0.61948
(156, 287),     -0.59966,       -0.59966
(156, 291),     -0.597,       -0.597
(25, 327),     -0.5967,       -0.5967
(29, 327),     -0.58932,       -0.58932
(35, 98),     -0.58905,       -0.58905
(35, 291),     -0.58379,       -0.58379
(98, 156),     -0.58178,       -0.58178
(35, 306),     -0.57697,       -0.57697
(156, 306),     -0.57619,       -0.57619
(124, 291),     -0.5692,       -0.5692
(46, 327),     -0.56683,       -0.56683
(124, 306),     -0.56384,       -0.56384
(163, 327),     -0.5558,       -0.5558
(70, 327),     -0.55445,       -0.55445
(144, 327),     -0.55289,       -0.55289
(35, 292),     -0.54907,       -0.54907
(124, 292),     -0.54234,       -0.54234
(7, 327),     -0.54227,       -0.54227
(353, 384),     -0.54107,       -0.54107
(156, 292),     -0.54081,       -0.54081
(23, 327),     -0.54028,       -0.54028
(33, 327),     -0.53454,       -0.53454
(98, 124),     -0.53452,       -0.53452
(27, 327),     -0.53006,       -0.53006
(124, 287),     -0.52855,       -0.52855
(35, 287),     -0.52775,       -0.52775
(124, 308),     -0.52557,       -0.52557
(35, 308),     -0.5241,       -0.5241
(98, 130),     -0.52205,       -0.52205
(70, 287),     -0.5218,       -0.5218
(156, 308),     -0.52139,       -0.52139
(130, 292),     -0.51726,       -0.51726
(70, 291),     -0.51273,       -0.51273
(130, 306),     -0.51176,       -0.51176
(46, 291),     -0.51033,       -0.51033
(145, 327),     -0.50838,       -0.50838
(353, 385),     -0.50757,       -0.50757
(46, 306),     -0.50593,       -0.50593
(130, 308),     -0.49767,       -0.49767
(247, 292),     -0.49218,       -0.49218
(130, 291),     -0.49106,       -0.49106
(46, 292),     -0.49045,       -0.49045
(247, 306),     -0.48894,       -0.48894
(70, 306),     -0.48807,       -0.48807
(46, 308),     -0.47991,       -0.47991
(25, 98),     -0.47956,       -0.47956
(98, 247),     -0.47892,       -0.47892
(46, 287),     -0.47586,       -0.47586
(247, 308),     -0.47481,       -0.47481
(247, 291),     -0.47426,       -0.47426
(383, 385),     -0.46699,       -0.46699
(353, 386),     -0.46683,       -0.46683
(153, 327),     -0.4666,       -0.4666
(383, 466),     -0.45935,       -0.45935
(22, 327),     -0.45911,       -0.45911
(98, 110),     -0.45584,       -0.45584
(63, 287),     -0.45509,       -0.45509
(63, 291),     -0.45309,       -0.45309
(53, 291),     -0.45276,       -0.45276
(70, 292),     -0.45271,       -0.45271
(383, 384),     -0.45105,       -0.45105
(53, 306),     -0.44497,       -0.44497
(383, 386),     -0.44214,       -0.44214
(28, 327),     -0.44128,       -0.44128
(383, 388),     -0.43944,       -0.43944
(70, 308),     -0.43629,       -0.43629
(276, 286),     -0.43294,       -0.43294
(53, 292),     -0.43277,       -0.43277
(63, 306),     -0.43063,       -0.43063
(30, 292),     -0.42956,       -0.42956
(30, 306),     -0.42674,       -0.42674
(384, 467),     -0.42625,       -0.42625
(383, 387),     -0.42567,       -0.42567
(65, 66),     -0.42346,       -0.42346
(53, 308),     -0.42267,       -0.42267
(53, 287),     -0.42104,       -0.42104
(263, 383),     -0.4184,       -0.4184
(24, 156),     -0.4175,       -0.4175
(63, 243),     -0.41728,       -0.41728
(353, 387),     -0.41694,       -0.41694
(30, 291),     -0.41675,       -0.41675
(30, 98),     -0.41613,       -0.41613
(33, 98),     -0.41522,       -0.41522
(70, 112),     -0.4147,       -0.4147
(63, 327),     -0.41396,       -0.41396
(53, 63),     -0.41364,       -0.41364
(30, 308),     -0.41337,       -0.41337
(7, 98),     -0.41076,       -0.41076
(53, 327),     -0.40994,       -0.40994
(70, 98),     -0.40972,       -0.40972
(353, 398),     -0.40929,       -0.40929
(28, 30),     -0.40377,       -0.40377
(154, 327),     -0.40337,       -0.40337
(63, 292),     -0.40221,       -0.40221
(385, 467),     -0.40166,       -0.40166
(353, 467),     -0.40009,       -0.40009
(23, 144),     -0.39709,       -0.39709
(23, 156),     -0.39686,       -0.39686
(26, 70),     -0.39654,       -0.39654
(300, 398),     -0.3957,       -0.3957
(56, 193),     -0.39237,       -0.39237
(25, 292),     -0.39235,       -0.39235
(282, 334),     -0.39076,       -0.39076
(23, 247),     -0.39072,       -0.39072
(63, 308),     -0.38965,       -0.38965
(22, 156),     -0.38939,       -0.38939
(246, 327),     -0.38614,       -0.38614
(98, 163),     -0.37925,       -0.37925
(353, 388),     -0.37903,       -0.37903
(25, 308),     -0.37842,       -0.37842
(63, 133),     -0.37803,       -0.37803
(26, 327),     -0.37437,       -0.37437
(295, 296),     -0.37411,       -0.37411
(359, 383),     -0.37261,       -0.37261
(29, 306),     -0.37245,       -0.37245
(283, 293),     -0.37232,       -0.37232
(22, 247),     -0.37224,       -0.37224
(52, 291),     -0.37204,       -0.37204
(29, 292),     -0.37198,       -0.37198
(300, 384),     -0.37168,       -0.37168
(285, 286),     -0.36942,       -0.36942
(46, 98),     -0.36826,       -0.36826
(258, 286),     -0.36805,       -0.36805
(29, 291),     -0.36796,       -0.36796
(22, 124),     -0.3675,       -0.3675
(63, 112),     -0.36654,       -0.36654
(105, 287),     -0.36607,       -0.36607
(353, 466),     -0.36591,       -0.36591
(105, 291),     -0.36523,       -0.36523
(25, 306),     -0.36374,       -0.36374
(24, 247),     -0.36285,       -0.36285
(26, 154),     -0.36161,       -0.36161
(56, 327),     -0.36071,       -0.36071
(55, 107),     -0.36055,       -0.36055
(26, 156),     -0.35947,       -0.35947
(276, 398),     -0.35834,       -0.35834
(29, 98),     -0.35828,       -0.35828
(52, 306),     -0.35765,       -0.35765
(24, 98),     -0.35596,       -0.35596
(29, 308),     -0.35581,       -0.35581
(52, 105),     -0.35159,       -0.35159
(33, 292),     -0.35086,       -0.35086
(386, 467),     -0.34882,       -0.34882
(33, 306),     -0.34779,       -0.34779
(63, 190),     -0.34702,       -0.34702
(255, 383),     -0.34647,       -0.34647
(155, 327),     -0.34575,       -0.34575
(70, 155),     -0.34555,       -0.34555
(52, 287),     -0.34554,       -0.34554
(52, 292),     -0.34523,       -0.34523
(26, 46),     -0.34505,       -0.34505
(249, 353),     -0.34464,       -0.34464
(173, 327),     -0.34449,       -0.34449
(70, 133),     -0.34205,       -0.34205
(249, 383),     -0.34181,       -0.34181
(23, 124),     -0.34002,       -0.34002
(286, 300),     -0.33926,       -0.33926
(70, 243),     -0.33796,       -0.33796
(105, 306),     -0.33732,       -0.33732
(46, 70),     -0.33643,       -0.33643
(247, 287),     -0.33626,       -0.33626
(28, 193),     -0.33494,       -0.33494
(46, 105),     -0.33439,       -0.33439
(7, 292),     -0.33384,       -0.33384
(157, 327),     -0.33336,       -0.33336
(33, 291),     -0.33192,       -0.33192
(52, 308),     -0.33178,       -0.33178
(26, 124),     -0.33143,       -0.33143
(25, 130),     -0.33123,       -0.33123
(70, 256),     -0.33071,       -0.33071
(282, 293),     -0.33004,       -0.33004
(46, 112),     -0.32972,       -0.32972
(130, 287),     -0.32536,       -0.32536
(110, 130),     -0.3253,       -0.3253
(33, 308),     -0.32514,       -0.32514
(110, 156),     -0.324,       -0.324
(25, 291),     -0.32376,       -0.32376
(130, 253),     -0.3234,       -0.3234
(63, 155),     -0.32332,       -0.32332
(24, 124),     -0.3233,       -0.3233
(144, 247),     -0.32311,       -0.32311
(398, 467),     -0.32283,       -0.32283
(70, 154),     -0.32257,       -0.32257
(63, 70),     -0.32197,       -0.32197
(276, 414),     -0.32173,       -0.32173
(353, 390),     -0.32125,       -0.32125
(158, 161),     -0.31962,       -0.31962
(160, 161),     -0.31915,       -0.31915
(35, 78),     -0.31726,       -0.31726
(70, 252),     -0.31691,       -0.31691
(7, 308),     -0.31626,       -0.31626
(27, 291),     -0.31554,       -0.31554
(35, 62),     -0.315,       -0.315
(7, 306),     -0.31492,       -0.31492
(144, 156),     -0.31414,       -0.31414
(156, 252),     -0.31336,       -0.31336
(193, 417),     -0.31276,       -0.31276
(35, 76),     -0.31117,       -0.31117
(263, 353),     -0.31099,       -0.31099
(258, 276),     -0.31055,       -0.31055
(105, 292),     -0.31004,       -0.31004
(27, 306),     -0.30997,       -0.30997
(35, 61),     -0.3098,       -0.3098
(133, 327),     -0.30877,       -0.30877
(156, 253),     -0.30806,       -0.30806
(63, 417),     -0.308,       -0.308
(130, 252),     -0.30702,       -0.30702
(53, 243),     -0.30668,       -0.30668
(22, 30),     -0.30535,       -0.30535
(76, 130),     -0.30463,       -0.30463
(98, 144),     -0.30458,       -0.30458
(61, 130),     -0.30413,       -0.30413
(62, 130),     -0.30407,       -0.30407
(353, 359),     -0.30356,       -0.30356
(78, 130),     -0.30201,       -0.30201
(23, 130),     -0.30102,       -0.30102
(27, 292),     -0.30016,       -0.30016
(159, 161),     -0.29963,       -0.29963
(158, 300),     -0.29963,       -0.29963
(276, 362),     -0.2994,       -0.2994
(70, 341),     -0.29929,       -0.29929
(124, 156),     -0.29923,       -0.29923
(145, 156),     -0.29901,       -0.29901
(145, 247),     -0.29599,       -0.29599
(105, 308),     -0.29589,       -0.29589
(98, 246),     -0.29502,       -0.29502
(24, 130),     -0.29213,       -0.29213
(130, 254),     -0.29209,       -0.29209
(56, 247),     -0.29194,       -0.29194
(300, 362),     -0.29065,       -0.29065
(110, 292),     -0.29042,       -0.29042
(159, 160),     -0.28908,       -0.28908
(153, 156),     -0.28883,       -0.28883
(30, 287),     -0.28791,       -0.28791
(163, 292),     -0.28785,       -0.28785
(259, 300),     -0.28735,       -0.28735
(300, 414),     -0.28691,       -0.28691
(27, 98),     -0.28658,       -0.28658
(156, 256),     -0.28601,       -0.28601
(339, 383),     -0.28552,       -0.28552
(257, 295),     -0.28545,       -0.28545
(7, 291),     -0.28501,       -0.28501
(383, 390),     -0.28495,       -0.28495
(112, 327),     -0.28474,       -0.28474
(161, 327),     -0.28333,       -0.28333
(110, 308),     -0.28317,       -0.28317
(260, 300),     -0.28262,       -0.28262
(257, 286),     -0.28208,       -0.28208
(27, 308),     -0.28182,       -0.28182
(23, 163),     -0.28148,       -0.28148
(249, 359),     -0.28015,       -0.28015
(56, 417),     -0.2788,       -0.2788
(156, 163),     -0.27847,       -0.27847
(158, 246),     -0.27759,       -0.27759
(190, 327),     -0.27756,       -0.27756
(28, 291),     -0.27704,       -0.27704
(156, 254),     -0.2766,       -0.2766
(287, 417),     -0.27505,       -0.27505
(53, 133),     -0.27408,       -0.27408
(46, 154),     -0.27375,       -0.27375
