Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(339, 362),     -0.08207,       -0.08207
(249, 257),     -0.08205,       -0.08205
(339, 414),     -0.08205,       -0.08205
(339, 341),     -0.08205,       -0.08205
(53, 467),     -0.08189,       -0.08189
(57, 247),     -0.08177,       -0.08177
(30, 258),     -0.08176,       -0.08176
(35, 291),     -0.08169,       -0.08169
(254, 341),     -0.08169,       -0.08169
(296, 387),     -0.08136,       -0.08136
(63, 286),     -0.08129,       -0.08129
(163, 414),     -0.08113,       -0.08113
(53, 246),     -0.08083,       -0.08083
(27, 246),     -0.0808,       -0.0808
(78, 308),     -0.0806,       -0.0806
(78, 291),     -0.08056,       -0.08056
(78, 373),     -0.08031,       -0.08031
(27, 61),     -0.08023,       -0.08023
(193, 263),     -0.08018,       -0.08018
(7, 66),     -0.08016,       -0.08016
(52, 78),     -0.0799,       -0.0799
(63, 163),     -0.07983,       -0.07983
(130, 159),     -0.07954,       -0.07954
(55, 276),     -0.07954,       -0.07954
(334, 388),     -0.07954,       -0.07954
(63, 246),     -0.07938,       -0.07938
(296, 385),     -0.07937,       -0.07937
(28, 107),     -0.07936,       -0.07936
(46, 339),     -0.07927,       -0.07927
(384, 388),     -0.07913,       -0.07913
(23, 133),     -0.0791,       -0.0791
(276, 398),     -0.07887,       -0.07887
(57, 306),     -0.07857,       -0.07857
(339, 463),     -0.07857,       -0.07857
(7, 249),     -0.07856,       -0.07856
(110, 263),     -0.07842,       -0.07842
(28, 249),     -0.07841,       -0.07841
(28, 386),     -0.07839,       -0.07839
(157, 258),     -0.07819,       -0.07819
(124, 249),     -0.07811,       -0.07811
(78, 306),     -0.07804,       -0.07804
(52, 259),     -0.0776,       -0.0776
(105, 246),     -0.07755,       -0.07755
(110, 382),     -0.07752,       -0.07752
(107, 255),     -0.07728,       -0.07728
(62, 254),     -0.07681,       -0.07681
(56, 161),     -0.07649,       -0.07649
(30, 257),     -0.07629,       -0.07629
(258, 283),     -0.07622,       -0.07622
(78, 292),     -0.07616,       -0.07616
(55, 295),     -0.07611,       -0.07611
(46, 56),     -0.07603,       -0.07603
(70, 254),     -0.07603,       -0.07603
(359, 384),     -0.07567,       -0.07567
(7, 56),     -0.07551,       -0.07551
(190, 466),     -0.07535,       -0.07535
(66, 384),     -0.07521,       -0.07521
(66, 385),     -0.07506,       -0.07506
(27, 388),     -0.0749,       -0.0749
(46, 296),     -0.0748,       -0.0748
(56, 107),     -0.07473,       -0.07473
(70, 161),     -0.0747,       -0.0747
(124, 161),     -0.07452,       -0.07452
(52, 258),     -0.07432,       -0.07432
(53, 384),     -0.07413,       -0.07413
(52, 255),     -0.07401,       -0.07401
(124, 359),     -0.07359,       -0.07359
(66, 161),     -0.07349,       -0.07349
(158, 336),     -0.07344,       -0.07344
(62, 291),     -0.07339,       -0.07339
(62, 308),     -0.07336,       -0.07336
(285, 300),     -0.07335,       -0.07335
(256, 362),     -0.07327,       -0.07327
(339, 383),     -0.07324,       -0.07324
(52, 61),     -0.07316,       -0.07316
(105, 386),     -0.07308,       -0.07308
(78, 98),     -0.07304,       -0.07304
(287, 291),     -0.07301,       -0.07301
(161, 260),     -0.07295,       -0.07295
(56, 276),     -0.07258,       -0.07258
(27, 387),     -0.0724,       -0.0724
(163, 243),     -0.07228,       -0.07228
(28, 260),     -0.07228,       -0.07228
(62, 373),     -0.07187,       -0.07187
(163, 259),     -0.07171,       -0.07171
(110, 293),     -0.0715,       -0.0715
(70, 327),     -0.07138,       -0.07138
(65, 257),     -0.07095,       -0.07095
(383, 385),     -0.07092,       -0.07092
(259, 282),     -0.07091,       -0.07091
(193, 417),     -0.07089,       -0.07089
(57, 308),     -0.0708,       -0.0708
(63, 390),     -0.07074,       -0.07074
(62, 306),     -0.07065,       -0.07065
(52, 161),     -0.07029,       -0.07029
(30, 98),     -0.07027,       -0.07027
(256, 463),     -0.07025,       -0.07025
(384, 414),     -0.07017,       -0.07017
(65, 160),     -0.07014,       -0.07014
(35, 98),     -0.06973,       -0.06973
(249, 258),     -0.06972,       -0.06972
(291, 383),     -0.06969,       -0.06969
(110, 362),     -0.06969,       -0.06969
(62, 98),     -0.06943,       -0.06943
(55, 285),     -0.06942,       -0.06942
(27, 259),     -0.06938,       -0.06938
(55, 384),     -0.06937,       -0.06937
(124, 158),     -0.06935,       -0.06935
(124, 282),     -0.06934,       -0.06934
(66, 157),     -0.06931,       -0.06931
(286, 295),     -0.06922,       -0.06922
(163, 249),     -0.0692,       -0.0692
(56, 255),     -0.0691,       -0.0691
(52, 384),     -0.06895,       -0.06895
(246, 263),     -0.0688,       -0.0688
(130, 292),     -0.06869,       -0.06869
(62, 292),     -0.06861,       -0.06861
(263, 398),     -0.06847,       -0.06847
(293, 385),     -0.06835,       -0.06835
(105, 467),     -0.06817,       -0.06817
(163, 334),     -0.06814,       -0.06814
(107, 296),     -0.06808,       -0.06808
(246, 467),     -0.06806,       -0.06806
(53, 359),     -0.0677,       -0.0677
(258, 384),     -0.06756,       -0.06756
(124, 300),     -0.06719,       -0.06719
(156, 467),     -0.06657,       -0.06657
(46, 336),     -0.06643,       -0.06643
(359, 385),     -0.06641,       -0.06641
(76, 291),     -0.06622,       -0.06622
(286, 387),     -0.06622,       -0.06622
(27, 466),     -0.06621,       -0.06621
(28, 258),     -0.06586,       -0.06586
(57, 292),     -0.06573,       -0.06573
(133, 144),     -0.06568,       -0.06568
(105, 265),     -0.06564,       -0.06564
(193, 466),     -0.06562,       -0.06562
(76, 98),     -0.06559,       -0.06559
(98, 190),     -0.06541,       -0.06541
(254, 353),     -0.06531,       -0.06531
(105, 339),     -0.06503,       -0.06503
(7, 359),     -0.06501,       -0.06501
(24, 381),     -0.06496,       -0.06496
(76, 308),     -0.06471,       -0.06471
(46, 417),     -0.06458,       -0.06458
(27, 65),     -0.06449,       -0.06449
(296, 390),     -0.06448,       -0.06448
(105, 385),     -0.0643,       -0.0643
(61, 110),     -0.06417,       -0.06417
(156, 282),     -0.06375,       -0.06375
(253, 255),     -0.06368,       -0.06368
(55, 255),     -0.06362,       -0.06362
(144, 414),     -0.06361,       -0.06361
(70, 190),     -0.06344,       -0.06344
(327, 414),     -0.06332,       -0.06332
(105, 286),     -0.06311,       -0.06311
(46, 55),     -0.06297,       -0.06297
(29, 193),     -0.06295,       -0.06295
(65, 258),     -0.06292,       -0.06292
(144, 263),     -0.06291,       -0.06291
(76, 306),     -0.06262,       -0.06262
(33, 249),     -0.0626,       -0.0626
(22, 112),     -0.0626,       -0.0626
(66, 257),     -0.0626,       -0.0626
(130, 257),     -0.06254,       -0.06254
(53, 306),     -0.06253,       -0.06253
(283, 385),     -0.06253,       -0.06253
(255, 414),     -0.0625,       -0.0625
(283, 398),     -0.06225,       -0.06225
(56, 385),     -0.06217,       -0.06217
(35, 306),     -0.06195,       -0.06195
(46, 246),     -0.06131,       -0.06131
(282, 387),     -0.06119,       -0.06119
(156, 339),     -0.06118,       -0.06118
(53, 292),     -0.06111,       -0.06111
(29, 414),     -0.06093,       -0.06093
(105, 384),     -0.06091,       -0.06091
(46, 286),     -0.06042,       -0.06042
(57, 339),     -0.06037,       -0.06037
(30, 265),     -0.06035,       -0.06035
(65, 353),     -0.06017,       -0.06017
(76, 292),     -0.05967,       -0.05967
(107, 300),     -0.05961,       -0.05961
(276, 390),     -0.05957,       -0.05957
(7, 65),     -0.05936,       -0.05936
(61, 291),     -0.0593,       -0.0593
(287, 385),     -0.05914,       -0.05914
(163, 466),     -0.05909,       -0.05909
(373, 381),     -0.05905,       -0.05905
(28, 161),     -0.05901,       -0.05901
(157, 417),     -0.05892,       -0.05892
(66, 258),     -0.05889,       -0.05889
(53, 291),     -0.05884,       -0.05884
(124, 156),     -0.05884,       -0.05884
(70, 414),     -0.05879,       -0.05879
(283, 300),     -0.05865,       -0.05865
(52, 260),     -0.05843,       -0.05843
(265, 466),     -0.05842,       -0.05842
(29, 265),     -0.05838,       -0.05838
(247, 295),     -0.05836,       -0.05836
(158, 286),     -0.05835,       -0.05835
(7, 265),     -0.05808,       -0.05808
(25, 105),     -0.05806,       -0.05806
(160, 260),     -0.05805,       -0.05805
(334, 385),     -0.05787,       -0.05787
(124, 293),     -0.05782,       -0.05782
(124, 287),     -0.05744,       -0.05744
(55, 160),     -0.05743,       -0.05743
(295, 398),     -0.05743,       -0.05743
(107, 336),     -0.05728,       -0.05728
(29, 286),     -0.05706,       -0.05706
(30, 55),     -0.05701,       -0.05701
(124, 467),     -0.05694,       -0.05694
(61, 98),     -0.05669,       -0.05669
(25, 467),     -0.05668,       -0.05668
(33, 265),     -0.05664,       -0.05664
(25, 249),     -0.05654,       -0.05654
(53, 308),     -0.05634,       -0.05634
(33, 359),     -0.05593,       -0.05593
(190, 249),     -0.05585,       -0.05585
(61, 308),     -0.05563,       -0.05563
(249, 382),     -0.05557,       -0.05557
(27, 286),     -0.05552,       -0.05552
(105, 359),     -0.05551,       -0.05551
(66, 353),     -0.05546,       -0.05546
(110, 249),     -0.05543,       -0.05543
(53, 327),     -0.05534,       -0.05534
(29, 387),     -0.05525,       -0.05525
(98, 252),     -0.0551,       -0.0551
(62, 105),     -0.055,       -0.055
(398, 417),     -0.05499,       -0.05499
(56, 160),     -0.05495,       -0.05495
(130, 263),     -0.05483,       -0.05483
(327, 417),     -0.05467,       -0.05467
(61, 306),     -0.05462,       -0.05462
(27, 263),     -0.05461,       -0.05461
(130, 259),     -0.05456,       -0.05456
(76, 105),     -0.05453,       -0.05453
(247, 257),     -0.05452,       -0.05452
(353, 385),     -0.05442,       -0.05442
(98, 334),     -0.05433,       -0.05433
(63, 287),     -0.05419,       -0.05419
(33, 158),     -0.05415,       -0.05415
(25, 265),     -0.05411,       -0.05411
(296, 386),     -0.05406,       -0.05406
(159, 246),     -0.05379,       -0.05379
(110, 145),     -0.05354,       -0.05354
(265, 306),     -0.05333,       -0.05333
(190, 388),     -0.05328,       -0.05328
(293, 398),     -0.05321,       -0.05321
(56, 283),     -0.05317,       -0.05317
(276, 385),     -0.05314,       -0.05314
(7, 414),     -0.053,       -0.053
(25, 260),     -0.05299,       -0.05299
(53, 56),     -0.05298,       -0.05298
(130, 258),     -0.05298,       -0.05298
(7, 388),     -0.05294,       -0.05294
(24, 341),     -0.05294,       -0.05294
(65, 259),     -0.05277,       -0.05277
(327, 374),     -0.05271,       -0.05271
(7, 255),     -0.05248,       -0.05248
(25, 52),     -0.05242,       -0.05242
(260, 466),     -0.05233,       -0.05233
(247, 265),     -0.05226,       -0.05226
(28, 467),     -0.05216,       -0.05216
(62, 163),     -0.05209,       -0.05209
(163, 467),     -0.05204,       -0.05204
(110, 463),     -0.05197,       -0.05197
(56, 259),     -0.05196,       -0.05196
(52, 467),     -0.05195,       -0.05195
(33, 388),     -0.05188,       -0.05188
(33, 130),     -0.05175,       -0.05175
(65, 359),     -0.05151,       -0.05151
(107, 282),     -0.0515,       -0.0515
(53, 286),     -0.05148,       -0.05148
(28, 327),     -0.05104,       -0.05104
(107, 159),     -0.05101,       -0.05101
(124, 163),     -0.05093,       -0.05093
(53, 339),     -0.05089,       -0.05089
(254, 300),     -0.05087,       -0.05087
(124, 160),     -0.05081,       -0.05081
(30, 414),     -0.05074,       -0.05074
(385, 467),     -0.05066,       -0.05066
(105, 390),     -0.05058,       -0.05058
(359, 386),     -0.05054,       -0.05054
(287, 386),     -0.05051,       -0.05051
(61, 292),     -0.05045,       -0.05045
(29, 388),     -0.05044,       -0.05044
(247, 258),     -0.05023,       -0.05023
(65, 158),     -0.05006,       -0.05006
(30, 287),     -0.04998,       -0.04998
(78, 105),     -0.04993,       -0.04993
(27, 46),     -0.0499,       -0.0499
(112, 163),     -0.04979,       -0.04979
(70, 158),     -0.04962,       -0.04962
(24, 398),     -0.04952,       -0.04952
(56, 359),     -0.04941,       -0.04941
(160, 161),     -0.04933,       -0.04933
(65, 383),     -0.04899,       -0.04899
(33, 247),     -0.04898,       -0.04898
(130, 308),     -0.04885,       -0.04885
(56, 467),     -0.04848,       -0.04848
(124, 159),     -0.04844,       -0.04844
(105, 157),     -0.04822,       -0.04822
(107, 417),     -0.04804,       -0.04804
(63, 161),     -0.04791,       -0.04791
(52, 359),     -0.0478,       -0.0478
(25, 155),     -0.04769,       -0.04769
(28, 295),     -0.04769,       -0.04769
(78, 163),     -0.04763,       -0.04763
(255, 398),     -0.04756,       -0.04756
(66, 259),     -0.04753,       -0.04753
(163, 359),     -0.04748,       -0.04748
(282, 386),     -0.04733,       -0.04733
(124, 259),     -0.04732,       -0.04732
(30, 387),     -0.04727,       -0.04727
(156, 300),     -0.04722,       -0.04722
(107, 158),     -0.04709,       -0.04709
(29, 259),     -0.04691,       -0.04691
(144, 382),     -0.0464,       -0.0464
(61, 105),     -0.04635,       -0.04635
(193, 249),     -0.04631,       -0.04631
(107, 283),     -0.04618,       -0.04618
(46, 163),     -0.04587,       -0.04587
(110, 398),     -0.04586,       -0.04586
(53, 161),     -0.04585,       -0.04585
(173, 276),     -0.04582,       -0.04582
(63, 398),     -0.04556,       -0.04556
(23, 381),     -0.0455,       -0.0455
(66, 339),     -0.04545,       -0.04545
(28, 255),     -0.04521,       -0.04521
(25, 466),     -0.0452,       -0.0452
(163, 255),     -0.04513,       -0.04513
(334, 417),     -0.04499,       -0.04499
(105, 161),     -0.04484,       -0.04484
(27, 386),     -0.04464,       -0.04464
(70, 160),     -0.04457,       -0.04457
(156, 293),     -0.04452,       -0.04452
(25, 154),     -0.0445,       -0.0445
(65, 159),     -0.04447,       -0.04447
(25, 190),     -0.04438,       -0.04438
(76, 259),     -0.04434,       -0.04434
(46, 390),     -0.04429,       -0.04429
(398, 414),     -0.0441,       -0.0441
(76, 254),     -0.04373,       -0.04373
(133, 263),     -0.04367,       -0.04367
(25, 359),     -0.04356,       -0.04356
(255, 341),     -0.04356,       -0.04356
(27, 414),     -0.04355,       -0.04355
(28, 385),     -0.04352,       -0.04352
(107, 295),     -0.04347,       -0.04347
(66, 390),     -0.04274,       -0.04274
(243, 263),     -0.04259,       -0.04259
(130, 265),     -0.04248,       -0.04248
(98, 247),     -0.04238,       -0.04238
(283, 388),     -0.04238,       -0.04238
(306, 383),     -0.04236,       -0.04236
(76, 163),     -0.04231,       -0.04231
(56, 105),     -0.04221,       -0.04221
(334, 398),     -0.04206,       -0.04206
(414, 417),     -0.042,       -0.042
(70, 124),     -0.04198,       -0.04198
(285, 467),     -0.04169,       -0.04169
(255, 463),     -0.0416,       -0.0416
(25, 414),     -0.04129,       -0.04129
(276, 467),     -0.04103,       -0.04103
(24, 63),     -0.04099,       -0.04099
(29, 466),     -0.04084,       -0.04084
(66, 160),     -0.04075,       -0.04075
(98, 282),     -0.04074,       -0.04074
(145, 155),     -0.0407,       -0.0407
(66, 359),     -0.0407,       -0.0407
(144, 353),     -0.04068,       -0.04068
(124, 285),     -0.04051,       -0.04051
(296, 339),     -0.04048,       -0.04048
(22, 382),     -0.04038,       -0.04038
(163, 260),     -0.04015,       -0.04015
(144, 249),     -0.04013,       -0.04013
(124, 339),     -0.04006,       -0.04006
(66, 383),     -0.03983,       -0.03983
(110, 286),     -0.03972,       -0.03972
(65, 467),     -0.03941,       -0.03941
(300, 466),     -0.03933,       -0.03933
(65, 260),     -0.03916,       -0.03916
(293, 388),     -0.03916,       -0.03916
(23, 341),     -0.03914,       -0.03914
(193, 388),     -0.0391,       -0.0391
(30, 33),     -0.03891,       -0.03891
(30, 386),     -0.03884,       -0.03884
(66, 286),     -0.0388,       -0.0388
(293, 339),     -0.03851,       -0.03851
(190, 387),     -0.0385,       -0.0385
(258, 387),     -0.03845,       -0.03845
(52, 160),     -0.03834,       -0.03834
(35, 292),     -0.03825,       -0.03825
(385, 386),     -0.03822,       -0.03822
(33, 255),     -0.03817,       -0.03817
(53, 417),     -0.03814,       -0.03814
(30, 259),     -0.03807,       -0.03807
(145, 382),     -0.03782,       -0.03782
(173, 263),     -0.03779,       -0.03779
(57, 390),     -0.03776,       -0.03776
(30, 388),     -0.03767,       -0.03767
(293, 336),     -0.03743,       -0.03743
(173, 300),     -0.03713,       -0.03713
(247, 263),     -0.03705,       -0.03705
(78, 283),     -0.03703,       -0.03703
(390, 414),     -0.03697,       -0.03697
(27, 265),     -0.03688,       -0.03688
(56, 260),     -0.03682,       -0.03682
(66, 260),     -0.03662,       -0.03662
(28, 193),     -0.03654,       -0.03654
(76, 373),     -0.03653,       -0.03653
(156, 259),     -0.03631,       -0.03631
(25, 291),     -0.03617,       -0.03617
(29, 56),     -0.03609,       -0.03609
(46, 57),     -0.03605,       -0.03605
(110, 265),     -0.03604,       -0.03604
(29, 386),     -0.03603,       -0.03603
(56, 327),     -0.03602,       -0.03602
(23, 414),     -0.03599,       -0.03599
(110, 381),     -0.03596,       -0.03596
(110, 255),     -0.03586,       -0.03586
(46, 398),     -0.03579,       -0.03579
(55, 157),     -0.03551,       -0.03551
(260, 283),     -0.03549,       -0.03549
(246, 466),     -0.03509,       -0.03509
(163, 265),     -0.03506,       -0.03506
(390, 417),     -0.03465,       -0.03465
(25, 255),     -0.0345,       -0.0345
(35, 265),     -0.03443,       -0.03443
(382, 390),     -0.03403,       -0.03403
(70, 159),     -0.03369,       -0.03369
(30, 296),     -0.03357,       -0.03357
(130, 466),     -0.03348,       -0.03348
(156, 260),     -0.03348,       -0.03348
(124, 257),     -0.03346,       -0.03346
(157, 246),     -0.0334,       -0.0334
(124, 260),     -0.03335,       -0.03335
(144, 398),     -0.03328,       -0.03328
(247, 259),     -0.03318,       -0.03318
(46, 161),     -0.03317,       -0.03317
(30, 466),     -0.03317,       -0.03317
(110, 359),     -0.03302,       -0.03302
(260, 285),     -0.03264,       -0.03264
(30, 286),     -0.03259,       -0.03259
(247, 466),     -0.03256,       -0.03256
(144, 362),     -0.03249,       -0.03249
(65, 390),     -0.03233,       -0.03233
(53, 390),     -0.03188,       -0.03188
(249, 374),     -0.03181,       -0.03181
(359, 417),     -0.03172,       -0.03172
(78, 293),     -0.03158,       -0.03158
(24, 124),     -0.03156,       -0.03156
(98, 296),     -0.03153,       -0.03153
(55, 417),     -0.03149,       -0.03149
(63, 254),     -0.03129,       -0.03129
(255, 362),     -0.03126,       -0.03126
(53, 55),     -0.03116,       -0.03116
(56, 353),     -0.03115,       -0.03115
(130, 247),     -0.03075,       -0.03075
(193, 334),     -0.03061,       -0.03061
(66, 467),     -0.03058,       -0.03058
(265, 287),     -0.0305,       -0.0305
(46, 327),     -0.02998,       -0.02998
(56, 300),     -0.0298,       -0.0298
(334, 387),     -0.02979,       -0.02979
(52, 55),     -0.02954,       -0.02954
(107, 285),     -0.02927,       -0.02927
(29, 263),     -0.02912,       -0.02912
(163, 382),     -0.02886,       -0.02886
(293, 390),     -0.02867,       -0.02867
(28, 359),     -0.02839,       -0.02839
(27, 327),     -0.0282,       -0.0282
(30, 463),     -0.02802,       -0.02802
(163, 398),     -0.02781,       -0.02781
(157, 260),     -0.0277,       -0.0277
(56, 257),     -0.02764,       -0.02764
(56, 66),     -0.02755,       -0.02755
(98, 295),     -0.02727,       -0.02727
(259, 388),     -0.02708,       -0.02708
(7, 390),     -0.02704,       -0.02704
(27, 107),     -0.02692,       -0.02692
(52, 286),     -0.0269,       -0.0269
(53, 156),     -0.02676,       -0.02676
(249, 463),     -0.02674,       -0.02674
(258, 293),     -0.02674,       -0.02674
(30, 263),     -0.02651,       -0.02651
(156, 384),     -0.02645,       -0.02645
(35, 263),     -0.02613,       -0.02613
(61, 163),     -0.02599,       -0.02599
(300, 386),     -0.02574,       -0.02574
(53, 110),     -0.02572,       -0.02572
(286, 384),     -0.02556,       -0.02556
(144, 276),     -0.02554,       -0.02554
(65, 339),     -0.02554,       -0.02554
(158, 285),     -0.02546,       -0.02546
(25, 296),     -0.02545,       -0.02545
(52, 265),     -0.02545,       -0.02545
(65, 286),     -0.02534,       -0.02534
(55, 193),     -0.02521,       -0.02521
(46, 414),     -0.02519,       -0.02519
(63, 414),     -0.02505,       -0.02505
(27, 161),     -0.02488,       -0.02488
(253, 380),     -0.02484,       -0.02484
(55, 159),     -0.02479,       -0.02479
(287, 383),     -0.02477,       -0.02477
(265, 292),     -0.0246,       -0.0246
(193, 286),     -0.02452,       -0.02452
(144, 463),     -0.0244,       -0.0244
(190, 327),     -0.0244,       -0.0244
(57, 300),     -0.02419,       -0.02419
(157, 353),     -0.02398,       -0.02398
(23, 70),     -0.0236,       -0.0236
(98, 286),     -0.0236,       -0.0236
(282, 296),     -0.02334,       -0.02334
(22, 362),     -0.02312,       -0.02312
(130, 295),     -0.02301,       -0.02301
(190, 386),     -0.02292,       -0.02292
(282, 300),     -0.02286,       -0.02286
(52, 158),     -0.02278,       -0.02278
(52, 130),     -0.0227,       -0.0227
(156, 390),     -0.02265,       -0.02265
(334, 386),     -0.0225,       -0.0225
(257, 417),     -0.02232,       -0.02232
(246, 359),     -0.02205,       -0.02205
(62, 283),     -0.02198,       -0.02198
(247, 388),     -0.02192,       -0.02192
(247, 387),     -0.02185,       -0.02185
(52, 339),     -0.02183,       -0.02183
(70, 362),     -0.02171,       -0.02171
(30, 66),     -0.02077,       -0.02077
(293, 386),     -0.0206,       -0.0206
(30, 362),     -0.02056,       -0.02056
(63, 160),     -0.02031,       -0.02031
(28, 160),     -0.02029,       -0.02029
(260, 385),     -0.01997,       -0.01997
(28, 265),     -0.01992,       -0.01992
(144, 381),     -0.01958,       -0.01958
(353, 417),     -0.01947,       -0.01947
(156, 285),     -0.01946,       -0.01946
(52, 390),     -0.0194,       -0.0194
(258, 300),     -0.01922,       -0.01922
(193, 257),     -0.01914,       -0.01914
(57, 466),     -0.01905,       -0.01905
(62, 293),     -0.01904,       -0.01904
(249, 256),     -0.01904,       -0.01904
(144, 383),     -0.019,       -0.019
(155, 263),     -0.01898,       -0.01898
(53, 160),     -0.01885,       -0.01885
(259, 285),     -0.01884,       -0.01884
(130, 260),     -0.01883,       -0.01883
(65, 417),     -0.01878,       -0.01878
(247, 417),     -0.01877,       -0.01877
(35, 308),     -0.01869,       -0.01869
(144, 255),     -0.01868,       -0.01868
(173, 283),     -0.01843,       -0.01843
(22, 463),     -0.01834,       -0.01834
(62, 65),     -0.01833,       -0.01833
(24, 46),     -0.01829,       -0.01829
(130, 467),     -0.01816,       -0.01816
(243, 249),     -0.01816,       -0.01816
(193, 387),     -0.01815,       -0.01815
(157, 190),     -0.01787,       -0.01787
(65, 76),     -0.01783,       -0.01783
(52, 159),     -0.01783,       -0.01783
(56, 390),     -0.0178,       -0.0178
(65, 78),     -0.01768,       -0.01768
(105, 160),     -0.01752,       -0.01752
(24, 263),     -0.01744,       -0.01744
(161, 467),     -0.0174,       -0.0174
(158, 246),     -0.01722,       -0.01722
(105, 130),     -0.01713,       -0.01713
(254, 414),     -0.01699,       -0.01699
(107, 193),     -0.01693,       -0.01693
(145, 381),     -0.01689,       -0.01689
(33, 387),     -0.01685,       -0.01685
(145, 362),     -0.01675,       -0.01675
(107, 390),     -0.01656,       -0.01656
(24, 190),     -0.01651,       -0.01651
(124, 384),     -0.0165,       -0.0165
(193, 386),     -0.01644,       -0.01644
(27, 260),     -0.01639,       -0.01639
(66, 159),     -0.01637,       -0.01637
(107, 359),     -0.01628,       -0.01628
(52, 417),     -0.01614,       -0.01614
(283, 386),     -0.01606,       -0.01606
(130, 249),     -0.01601,       -0.01601
(110, 258),     -0.01578,       -0.01578
(29, 463),     -0.01575,       -0.01575
(130, 296),     -0.01561,       -0.01561
(24, 353),     -0.01549,       -0.01549
(55, 390),     -0.01536,       -0.01536
(70, 373),     -0.01523,       -0.01523
(145, 463),     -0.01502,       -0.01502
(292, 383),     -0.01499,       -0.01499
(28, 46),     -0.01496,       -0.01496
(25, 382),     -0.01487,       -0.01487
(163, 362),     -0.01469,       -0.01469
(130, 158),     -0.01462,       -0.01462
(24, 383),     -0.01448,       -0.01448
(145, 341),     -0.01439,       -0.01439
(35, 383),     -0.01432,       -0.01432
(276, 466),     -0.01431,       -0.01431
(296, 417),     -0.01426,       -0.01426
(27, 249),     -0.01414,       -0.01414
(66, 158),     -0.01406,       -0.01406
(327, 463),     -0.01389,       -0.01389
(145, 263),     -0.01385,       -0.01385
(70, 253),     -0.01376,       -0.01376
(156, 295),     -0.0137,       -0.0137
(110, 341),     -0.01366,       -0.01366
(124, 258),     -0.01366,       -0.01366
(56, 159),     -0.01355,       -0.01355
(156, 257),     -0.0134,       -0.0134
(157, 383),     -0.01338,       -0.01338
(257, 300),     -0.01324,       -0.01324
(29, 246),     -0.01318,       -0.01318
(247, 386),     -0.01314,       -0.01314
(246, 265),     -0.01299,       -0.01299
(7, 155),     -0.01295,       -0.01295
(107, 276),     -0.01277,       -0.01277
(417, 467),     -0.01249,       -0.01249
(29, 65),     -0.01243,       -0.01243
(133, 249),     -0.01242,       -0.01242
(257, 387),     -0.01236,       -0.01236
(7, 133),     -0.01227,       -0.01227
(124, 295),     -0.01216,       -0.01216
(23, 398),     -0.01209,       -0.01209
(341, 382),     -0.01193,       -0.01193
(25, 306),     -0.01181,       -0.01181
(110, 467),     -0.01166,       -0.01166
(145, 398),     -0.01155,       -0.01155
(30, 382),     -0.01155,       -0.01155
(24, 249),     -0.01146,       -0.01146
(52, 247),     -0.01138,       -0.01138
(53, 158),     -0.01112,       -0.01112
(63, 190),     -0.01103,       -0.01103
(144, 341),     -0.011,       -0.011
(27, 385),     -0.01097,       -0.01097
(190, 255),     -0.01059,       -0.01059
(295, 390),     -0.01057,       -0.01057
(30, 385),     -0.01031,       -0.01031
(63, 158),     -0.01027,       -0.01027
(70, 463),     -0.01006,       -0.01006
(35, 353),     -0.01004,       -0.01004
(255, 383),     -0.00992,       -0.00992
(257, 285),     -0.00991,       -0.00991
(246, 249),     -0.00968,       -0.00968
(249, 362),     -0.00959,       -0.00959
(254, 255),     -0.00945,       -0.00945
(46, 254),     -0.00933,       -0.00933
(25, 295),     -0.0093,       -0.0093
(163, 381),     -0.00921,       -0.00921
(46, 193),     -0.0091,       -0.0091
(107, 339),     -0.00894,       -0.00894
(61, 65),     -0.00887,       -0.00887
(46, 160),     -0.00886,       -0.00886
(163, 390),     -0.00882,       -0.00882
(56, 339),     -0.00879,       -0.00879
(256, 390),     -0.00877,       -0.00877
(7, 339),     -0.00855,       -0.00855
(283, 390),     -0.00831,       -0.00831
(193, 353),     -0.00825,       -0.00825
(55, 158),     -0.00824,       -0.00824
(22, 381),     -0.00824,       -0.00824
(30, 193),     -0.00808,       -0.00808
(124, 334),     -0.008,       -0.008
(46, 158),     -0.00794,       -0.00794
(22, 341),     -0.00729,       -0.00729
(98, 381),     -0.00707,       -0.00707
(293, 387),     -0.007,       -0.007
(55, 359),     -0.00694,       -0.00694
(56, 293),     -0.00678,       -0.00678
(130, 359),     -0.00665,       -0.00665
(286, 300),     -0.00657,       -0.00657
(296, 334),     -0.00638,       -0.00638
(7, 382),     -0.00617,       -0.00617
(283, 387),     -0.00614,       -0.00614
(287, 387),     -0.00598,       -0.00598
(105, 398),     -0.00592,       -0.00592
(7, 291),     -0.00577,       -0.00577
(7, 417),     -0.00567,       -0.00567
(27, 28),     -0.00565,       -0.00565
(29, 362),     -0.00563,       -0.00563
(383, 386),     -0.00543,       -0.00543
(98, 130),     -0.00531,       -0.00531
(173, 293),     -0.00522,       -0.00522
(334, 390),     -0.00517,       -0.00517
(291, 385),     -0.00506,       -0.00506
(163, 463),     -0.00492,       -0.00492
(63, 159),     -0.00482,       -0.00482
(29, 385),     -0.00415,       -0.00415
(161, 263),     -0.00404,       -0.00404
(249, 265),     -0.00398,       -0.00398
(53, 159),     -0.00382,       -0.00382
