Comparing the following files: 
hadleigh_front_s2_v2/,  hadleigh_low_s2_v2/,  hadleigh_right_threequarter_s2_v2/,  hadleigh_left_threequarter_s2_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s2_v2_vs_hadleigh_low_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_front_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_right_threequarter_s2_v2,  hadleigh_low_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  hadleigh_right_threequarter_s2_v2_vs_hadleigh_left_threequarter_s2_v2,  average
(265, 308),     0.94351,       0.9675,       0.92984,       0.93855,       0.93561,       0.92346,       0.93974
(265, 292),     0.94275,       0.96693,       0.93088,       0.93779,       0.93518,       0.92357,       0.93952
(265, 306),     0.94333,       0.96577,       0.93158,       0.93781,       0.93597,       0.92189,       0.93939
(265, 291),     0.94402,       0.9634,       0.93182,       0.93636,       0.93687,       0.91809,       0.93843
(308, 383),     0.92809,       0.96476,       0.92262,       0.91426,       0.9175,       0.9027,       0.92499
(306, 383),     0.92784,       0.96276,       0.92467,       0.91371,       0.91841,       0.90169,       0.92485
(292, 383),     0.927,       0.96406,       0.92385,       0.91329,       0.91717,       0.90334,       0.92478
(291, 383),     0.92913,       0.96038,       0.92488,       0.91327,       0.92,       0.89768,       0.92422
(57, 291),     0.95279,       0.91851,       0.92301,       0.92526,       0.92979,       0.87057,       0.91999
(57, 306),     0.94829,       0.91763,       0.9207,       0.92728,       0.9258,       0.86791,       0.91794
(308, 353),     0.91812,       0.95802,       0.91742,       0.91945,       0.90221,       0.89177,       0.91783
(292, 353),     0.91641,       0.95695,       0.9185,       0.91791,       0.90175,       0.89222,       0.91729
(306, 353),     0.9163,       0.955,       0.9186,       0.91642,       0.90223,       0.88931,       0.91631
(291, 353),     0.91666,       0.95135,       0.91798,       0.91335,       0.90299,       0.88318,       0.91425
(308, 359),     0.92601,       0.93663,       0.91175,       0.93037,       0.89442,       0.87509,       0.91238
(61, 291),     0.93299,       0.94104,       0.87831,       0.93652,       0.9169,       0.86711,       0.91215
(76, 291),     0.93093,       0.94111,       0.87695,       0.93857,       0.91726,       0.86699,       0.91197
(292, 359),     0.92358,       0.93547,       0.91211,       0.92805,       0.89318,       0.8755,       0.91131
(61, 306),     0.92623,       0.94171,       0.87898,       0.93556,       0.91556,       0.86916,       0.9112
(57, 292),     0.94083,       0.90955,       0.91622,       0.92245,       0.91782,       0.85848,       0.91089
(76, 306),     0.9234,       0.94168,       0.87741,       0.93711,       0.91564,       0.86883,       0.91068
(62, 291),     0.9255,       0.93988,       0.87225,       0.93942,       0.91448,       0.86405,       0.90926
(57, 308),     0.93778,       0.90649,       0.91492,       0.92044,       0.91592,       0.85841,       0.90899
(306, 359),     0.92103,       0.93209,       0.91094,       0.92325,       0.89058,       0.87094,       0.90814
(78, 291),     0.92323,       0.93994,       0.86855,       0.9407,       0.91229,       0.86262,       0.90789
(62, 306),     0.91694,       0.94048,       0.87239,       0.93729,       0.91238,       0.86592,       0.90757
(255, 308),     0.92714,       0.92515,       0.90479,       0.93,       0.89557,       0.86138,       0.90734
(61, 292),     0.91643,       0.9391,       0.87592,       0.93043,       0.91034,       0.86538,       0.90627
(78, 306),     0.91432,       0.94054,       0.86849,       0.93817,       0.91028,       0.86463,       0.90607
