Comparing the following files: 
kelly_front_s2_v2/,  kelly_low_s2_v2/,  kelly_right_threequarter_s2_v2/,  kelly_left_threequarter_s2_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s2_v2_vs_kelly_low_s2_v2,  kelly_front_s2_v2_vs_kelly_right_threequarter_s2_v2,  kelly_front_s2_v2_vs_kelly_left_threequarter_s2_v2,  kelly_low_s2_v2_vs_kelly_right_threequarter_s2_v2,  kelly_low_s2_v2_vs_kelly_left_threequarter_s2_v2,  kelly_right_threequarter_s2_v2_vs_kelly_left_threequarter_s2_v2,  average
(81, 181),     0.9418,       0.9504,       0.80982,       0.91919,       0.74204,       0.8902,       0.87557
(311, 375),     0.93898,       0.94669,       0.81756,       0.90105,       0.74725,       0.90067,       0.87537
(13, 321),     0.94222,       0.94749,       0.80783,       0.89564,       0.74995,       0.90072,       0.87398
(0, 405),     0.90403,       0.92996,       0.80846,       0.90663,       0.78558,       0.89462,       0.87155
(270, 321),     0.90648,       0.93327,       0.79993,       0.91639,       0.76215,       0.90112,       0.86989
(82, 321),     0.92932,       0.94468,       0.80755,       0.88982,       0.75774,       0.87191,       0.86684
(24, 159),     0.844,       0.96318,       0.8178,       0.87762,       0.81977,       0.87378,       0.86602
(375, 409),     0.90001,       0.93066,       0.7945,       0.91385,       0.75207,       0.89495,       0.86434
(25, 159),     0.74493,       0.95116,       0.78561,       0.815,       0.77234,       0.83804,       0.81785
(61, 160),     0.88318,       0.85207,       0.77291,       0.82942,       0.71033,       0.81675,       0.81078
(296, 385),     0.69874,       0.72566,       0.66327,       0.92068,       0.66219,       0.74507,       0.73594
(336, 384),     0.76836,       0.71765,       0.48031,       0.92194,       0.65605,       0.6977,       0.707
(287, 327),     0.6993,       0.84677,       0.58669,       0.8256,       0.56551,       0.7111,       0.70583
(334, 386),     0.71567,       0.68571,       0.70949,       0.92544,       0.58324,       0.59666,       0.7027
(258, 327),     0.80046,       0.88243,       0.43385,       0.78089,       0.30666,       0.57967,       0.63066
(293, 387),     0.7336,       0.69663,       0.65169,       0.91191,       0.38084,       0.37935,       0.62567
(255, 257),     0.63544,       0.82252,       0.57858,       0.64124,       0.37054,       0.59795,       0.60771
(98, 292),     0.47759,       0.71201,       0.56179,       0.50786,       0.45372,       0.56824,       0.54687
