Comparing the following files: 
kelly_low_s4_v2/,  hadleigh_low_s4_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_low_s4_v2_vs_hadleigh_low_s4_v2,  average
(0, 405),     -0.17268,       -0.17268
(293, 387),     -0.17224,       -0.17224
(334, 386),     -0.16274,       -0.16274
(296, 385),     -0.1363,       -0.1363
(336, 384),     -0.13298,       -0.13298
(270, 321),     -0.09286,       -0.09286
(81, 181),     -0.08919,       -0.08919
(258, 327),     -0.08079,       -0.08079
(82, 321),     -0.07442,       -0.07442
(98, 292),     -0.05431,       -0.05431
(375, 409),     -0.05187,       -0.05187
(287, 327),     -0.04948,       -0.04948
(311, 375),     -0.03343,       -0.03343
(24, 159),     -0.02458,       -0.02458
(255, 257),     -0.01038,       -0.01038
(13, 321),     -0.00989,       -0.00989
(25, 159),     0.04814,       0.04814
(61, 160),     0.09304,       0.09304
