Comparing the following files: 
kelly_front_s6_v2/,  kelly_low_s6_v2/,  kelly_right_threequarter_s6_v2/,  kelly_left_threequarter_s6_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s6_v2_vs_kelly_low_s6_v2,  kelly_front_s6_v2_vs_kelly_right_threequarter_s6_v2,  kelly_front_s6_v2_vs_kelly_left_threequarter_s6_v2,  kelly_low_s6_v2_vs_kelly_right_threequarter_s6_v2,  kelly_low_s6_v2_vs_kelly_left_threequarter_s6_v2,  kelly_right_threequarter_s6_v2_vs_kelly_left_threequarter_s6_v2,  average
(270, 321),     0.84129,       0.88953,       0.84311,       0.92678,       0.83049,       0.91161,       0.8738
(375, 409),     0.82894,       0.8813,       0.83454,       0.92279,       0.81533,       0.90594,       0.86481
(81, 181),     0.84389,       0.88327,       0.85176,       0.91234,       0.78654,       0.8662,       0.85733
(0, 405),     0.82077,       0.89657,       0.7861,       0.9181,       0.8043,       0.89961,       0.85424
(311, 375),     0.79124,       0.87727,       0.82655,       0.89186,       0.74769,       0.87205,       0.83444
(24, 159),     0.8736,       0.97006,       0.73034,       0.86366,       0.62191,       0.77672,       0.80605
(296, 385),     0.91387,       0.94283,       0.63069,       0.94468,       0.6312,       0.70955,       0.79547
(82, 321),     0.79533,       0.88539,       0.68707,       0.88093,       0.70134,       0.81053,       0.79343
(25, 159),     0.84337,       0.95537,       0.72118,       0.83216,       0.629,       0.76536,       0.79107
(13, 321),     0.74866,       0.87282,       0.73574,       0.85559,       0.67872,       0.81591,       0.78457
(334, 386),     0.91392,       0.95094,       0.59011,       0.93175,       0.58051,       0.67535,       0.77376
(336, 384),     0.80123,       0.83359,       0.50536,       0.94064,       0.53356,       0.5593,       0.69561
(293, 387),     0.91537,       0.92518,       0.32999,       0.92554,       0.41079,       0.46254,       0.66157
(287, 327),     0.63626,       0.78347,       0.27547,       0.86177,       0.69433,       0.51829,       0.62826
(61, 160),     0.6189,       0.8114,       0.33622,       0.80622,       0.5362,       0.60511,       0.61901
(98, 292),     0.7665,       0.66144,       0.55408,       0.68592,       0.69914,       0.26509,       0.60536
(258, 327),     0.0653,       0.54519,       0.50925,       0.76153,       0.48291,       0.72089,       0.51418
(255, 257),     0.0692,       0.72667,       0.76847,       0.53336,       0.20931,       0.70419,       0.50187
