Comparing the following files: 
hadleigh_front_s28_v2/,  hadleigh_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  hadleigh_front_s28_v2_vs_hadleigh_front_s27_v2,  average
(293, 387),     -0.7252,       -0.7252
(334, 386),     -0.66846,       -0.66846
(296, 385),     -0.5262,       -0.5262
(61, 160),     -0.27667,       -0.27667
(336, 384),     -0.17057,       -0.17057
(24, 159),     -0.15991,       -0.15991
(25, 159),     0.0087,       0.0087
(98, 292),     0.10825,       0.10825
(287, 327),     0.15379,       0.15379
(258, 327),     0.41575,       0.41575
(255, 257),     0.53184,       0.53184
(82, 321),     0.62788,       0.62788
(0, 405),     0.64042,       0.64042
(375, 409),     0.64059,       0.64059
(270, 321),     0.64555,       0.64555
(13, 321),     0.65996,       0.65996
(311, 375),     0.68975,       0.68975
(81, 181),     0.71841,       0.71841
