Comparing the following files: 
kelly_front_s5_v2/,  kelly_low_s5_v2/,  kelly_right_threequarter_s5_v2/,  kelly_left_threequarter_s5_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s5_v2_vs_kelly_low_s5_v2,  kelly_front_s5_v2_vs_kelly_right_threequarter_s5_v2,  kelly_front_s5_v2_vs_kelly_left_threequarter_s5_v2,  kelly_low_s5_v2_vs_kelly_right_threequarter_s5_v2,  kelly_low_s5_v2_vs_kelly_left_threequarter_s5_v2,  kelly_right_threequarter_s5_v2_vs_kelly_left_threequarter_s5_v2,  average
(82, 321),     0.90583,       0.96537,       0.82691,       0.9007,       0.70674,       0.89098,       0.86609
(0, 405),     0.91049,       0.95636,       0.79892,       0.92577,       0.71683,       0.86921,       0.86293
(270, 321),     0.9257,       0.95687,       0.78601,       0.9315,       0.70561,       0.86893,       0.86244
(375, 409),     0.92733,       0.95984,       0.78777,       0.92608,       0.7003,       0.86952,       0.86181
(311, 375),     0.90962,       0.96845,       0.80741,       0.90533,       0.69187,       0.88239,       0.86084
(81, 181),     0.90188,       0.94936,       0.79855,       0.93467,       0.69449,       0.86605,       0.8575
(13, 321),     0.90038,       0.96555,       0.80136,       0.89551,       0.69254,       0.88742,       0.85713
(24, 159),     0.93519,       0.97853,       0.68327,       0.92275,       0.55366,       0.72297,       0.79939
(25, 159),     0.8973,       0.95733,       0.68828,       0.88483,       0.56678,       0.73535,       0.78831
(287, 327),     0.77384,       0.9081,       0.66818,       0.85314,       0.56499,       0.6841,       0.74206
(296, 385),     0.94485,       0.88405,       0.47388,       0.91416,       0.48691,       0.62774,       0.72193
(61, 160),     0.6869,       0.91681,       0.66457,       0.76063,       0.45826,       0.66314,       0.69172
(334, 386),     0.93385,       0.87565,       0.47709,       0.89749,       0.41967,       0.52572,       0.68824
(255, 257),     0.43974,       0.67445,       0.69213,       0.80088,       0.64744,       0.71839,       0.66217
(336, 384),     0.91093,       0.78808,       0.28805,       0.86429,       0.41339,       0.5215,       0.63104
(293, 387),     0.93244,       0.86729,       0.32194,       0.85181,       0.17115,       0.25429,       0.56649
(258, 327),     0.41138,       0.72892,       0.55902,       0.76129,       0.40433,       0.44036,       0.55088
(98, 292),     0.59691,       0.88659,       0.46856,       0.61215,       0.21533,       0.33044,       0.51833
