Comparing the following files: 
kelly_front_s1_v2/,  kelly_low_s1_v2/,  kelly_right_threequarter_s1_v2/,  kelly_left_threequarter_s1_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s1_v2_vs_kelly_low_s1_v2,  kelly_front_s1_v2_vs_kelly_right_threequarter_s1_v2,  kelly_front_s1_v2_vs_kelly_left_threequarter_s1_v2,  kelly_low_s1_v2_vs_kelly_right_threequarter_s1_v2,  kelly_low_s1_v2_vs_kelly_left_threequarter_s1_v2,  kelly_right_threequarter_s1_v2_vs_kelly_left_threequarter_s1_v2,  average
(334, 386),     0.88278,       0.84713,       0.72793,       0.96434,       0.82558,       0.82769,       0.84591
(296, 385),     0.88317,       0.85505,       0.69087,       0.95766,       0.83133,       0.84338,       0.84358
(293, 387),     0.89583,       0.86141,       0.77981,       0.94883,       0.80464,       0.73833,       0.83814
(336, 384),     0.93951,       0.84484,       0.70381,       0.91586,       0.82117,       0.79259,       0.8363
(25, 159),     0.88067,       0.94986,       0.73075,       0.82807,       0.76109,       0.79651,       0.82449
(24, 159),     0.84994,       0.93618,       0.71244,       0.82676,       0.75847,       0.84562,       0.82157
(13, 321),     0.838,       0.80991,       0.59016,       0.93433,       0.74506,       0.86011,       0.79626
(82, 321),     0.83591,       0.81501,       0.54983,       0.9452,       0.76909,       0.83421,       0.79154
(311, 375),     0.85544,       0.78397,       0.54361,       0.9283,       0.71537,       0.82956,       0.77604
(81, 181),     0.88812,       0.8189,       0.47238,       0.93122,       0.61302,       0.75104,       0.74578
(270, 321),     0.86984,       0.75093,       0.44816,       0.9153,       0.66684,       0.79938,       0.74174
(375, 409),     0.86609,       0.73576,       0.45273,       0.895,       0.6772,       0.82304,       0.74164
(0, 405),     0.74015,       0.73815,       0.41904,       0.93033,       0.68872,       0.80779,       0.7207
(61, 160),     0.79147,       0.85489,       0.44948,       0.6682,       0.31838,       0.54746,       0.60498
(255, 257),     0.46368,       0.87932,       0.58836,       0.56991,       0.25446,       0.67272,       0.57141
(258, 327),     0.41697,       0.64198,       0.53182,       0.57346,       0.50632,       0.58922,       0.54329
(287, 327),     0.3211,       0.41457,       0.5726,       0.71486,       0.65887,       0.5209,       0.53382
(98, 292),     0.26161,       0.59188,       0.4339,       0.34512,       0.69775,       0.30938,       0.43994
