Comparing the following files: 
kelly_front_s4_v2/,  kelly_low_s4_v2/,  kelly_right_threequarter_s4_v2/,  kelly_left_threequarter_s4_v2/,  

Correlation cuttoff is -1
landmark(s),  kelly_front_s4_v2_vs_kelly_low_s4_v2,  kelly_front_s4_v2_vs_kelly_right_threequarter_s4_v2,  kelly_front_s4_v2_vs_kelly_left_threequarter_s4_v2,  kelly_low_s4_v2_vs_kelly_right_threequarter_s4_v2,  kelly_low_s4_v2_vs_kelly_left_threequarter_s4_v2,  kelly_right_threequarter_s4_v2_vs_kelly_left_threequarter_s4_v2,  average
(40, 314),     0.93712,       0.93757,       0.76521,       0.92283,       0.81533,       0.74489,       0.85383
(80, 91),     0.91317,       0.94461,       0.73751,       0.96953,       0.77482,       0.77876,       0.85307
(98, 314),     0.9141,       0.935,       0.77044,       0.97057,       0.75932,       0.76772,       0.85286
(37, 91),     0.90803,       0.90521,       0.74234,       0.96574,       0.80721,       0.7876,       0.85269
(37, 317),     0.91215,       0.96179,       0.71908,       0.96085,       0.79337,       0.76776,       0.8525
(17, 311),     0.8958,       0.93714,       0.72113,       0.96635,       0.79393,       0.79567,       0.85167
(17, 98),     0.90112,       0.93303,       0.77437,       0.97261,       0.75019,       0.77794,       0.85154
(270, 314),     0.88655,       0.91449,       0.74251,       0.9568,       0.80418,       0.80072,       0.85087
(37, 87),     0.89641,       0.95156,       0.72491,       0.96375,       0.77992,       0.78315,       0.84995
(146, 185),     0.92211,       0.92116,       0.75748,       0.96454,       0.78597,       0.74589,       0.84952
(0, 317),     0.90139,       0.95902,       0.71942,       0.95787,       0.78243,       0.77694,       0.84951
(80, 84),     0.9111,       0.94419,       0.73032,       0.95436,       0.78105,       0.77495,       0.84933
(267, 317),     0.89757,       0.95049,       0.72145,       0.9616,       0.78383,       0.78017,       0.84918
(13, 181),     0.9081,       0.93162,       0.71973,       0.97588,       0.78412,       0.77217,       0.8486
(0, 14),     0.89263,       0.95442,       0.72328,       0.95766,       0.77785,       0.78428,       0.84835
