Comparing the following files: 
hadleigh_front_s4_v2/,  hadleigh_low_s4_v2/,  hadleigh_right_threequarter_s4_v2/,  hadleigh_left_threequarter_s4_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s4_v2_vs_hadleigh_low_s4_v2,  hadleigh_front_s4_v2_vs_hadleigh_right_threequarter_s4_v2,  hadleigh_front_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  hadleigh_low_s4_v2_vs_hadleigh_right_threequarter_s4_v2,  hadleigh_low_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  hadleigh_right_threequarter_s4_v2_vs_hadleigh_left_threequarter_s4_v2,  average
(296, 385),     0.91659,       0.39603,       0.70572,       0.35992,       0.66377,       0.32179,       0.56064
(336, 384),     0.87504,       0.52742,       0.60678,       0.35752,       0.60346,       0.3637,       0.55565
(255, 257),     0.88365,       0.13827,       0.92207,       0.32382,       0.84941,       0.11289,       0.53835
(61, 160),     0.39829,       0.70081,       0.77468,       0.4413,       0.15791,       0.49537,       0.49473
(334, 386),     0.91616,       0.22331,       0.71187,       0.19476,       0.67659,       0.17185,       0.48242
(258, 327),     0.87069,       -0.06308,       0.90553,       0.03027,       0.7933,       0.01583,       0.42542
(98, 292),     0.89585,       -0.16017,       0.90603,       -0.18898,       0.90522,       -0.17245,       0.36425
(82, 321),     0.82836,       0.02218,       0.8227,       -0.28442,       0.84676,       -0.14653,       0.34817
(293, 387),     0.86713,       -0.05399,       0.73499,       -0.09523,       0.6567,       -0.06384,       0.34096
(311, 375),     0.83676,       -0.06395,       0.80131,       -0.37171,       0.85119,       -0.25885,       0.29912
(13, 321),     0.82796,       -0.07672,       0.81208,       -0.38667,       0.83706,       -0.28586,       0.28798
(0, 405),     0.76535,       -0.02314,       0.73521,       -0.44066,       0.81566,       -0.25712,       0.26588
(375, 409),     0.8264,       -0.15161,       0.81331,       -0.45004,       0.8473,       -0.31041,       0.26249
(270, 321),     0.79883,       -0.13036,       0.79061,       -0.44754,       0.81611,       -0.29828,       0.2549
(81, 181),     0.77415,       -0.08251,       0.74864,       -0.42741,       0.77527,       -0.33528,       0.24214
(287, 327),     0.78532,       -0.23274,       0.62886,       -0.45013,       0.81233,       -0.28444,       0.20987
(24, 159),     0.02218,       -0.39458,       0.05939,       -0.0615,       -0.20937,       0.13234,       -0.07526
(25, 159),     -0.07007,       -0.35966,       -0.04283,       -0.0639,       -0.02913,       0.00111,       -0.09408
