Comparing the following files: 
hadleigh_front_s6_v2/,  hadleigh_low_s6_v2/,  hadleigh_right_threequarter_s6_v2/,  hadleigh_left_threequarter_s6_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s6_v2_vs_hadleigh_low_s6_v2,  hadleigh_front_s6_v2_vs_hadleigh_right_threequarter_s6_v2,  hadleigh_front_s6_v2_vs_hadleigh_left_threequarter_s6_v2,  hadleigh_low_s6_v2_vs_hadleigh_right_threequarter_s6_v2,  hadleigh_low_s6_v2_vs_hadleigh_left_threequarter_s6_v2,  hadleigh_right_threequarter_s6_v2_vs_hadleigh_left_threequarter_s6_v2,  average
(375, 409),     0.93917,       0.93488,       0.68559,       0.95631,       0.76596,       0.72797,       0.83498
(270, 321),     0.93611,       0.94155,       0.67802,       0.95793,       0.75975,       0.73298,       0.83439
(81, 181),     0.91612,       0.94163,       0.64377,       0.93628,       0.75941,       0.73311,       0.82172
(311, 375),     0.93193,       0.94331,       0.64647,       0.94352,       0.74911,       0.66358,       0.81299
(13, 321),     0.93126,       0.95624,       0.61653,       0.95244,       0.70378,       0.65105,       0.80188
(0, 405),     0.93417,       0.94332,       0.61494,       0.95053,       0.68492,       0.66708,       0.79916
(82, 321),     0.9305,       0.95232,       0.58057,       0.93928,       0.6725,       0.60909,       0.78071
(287, 327),     0.87883,       0.90614,       0.5543,       0.89251,       0.57773,       0.50823,       0.71962
(293, 387),     0.88468,       0.84776,       0.55542,       0.84809,       0.52577,       0.4865,       0.69137
(255, 257),     0.80272,       0.82043,       0.70257,       0.64469,       0.62965,       0.46963,       0.67828
(98, 292),     0.86556,       0.77455,       0.57258,       0.77383,       0.51875,       0.39858,       0.65064
(334, 386),     0.81973,       0.84056,       0.38646,       0.86658,       0.37845,       0.3575,       0.60821
(258, 327),     0.73484,       0.55057,       0.67485,       0.04807,       0.67937,       0.21097,       0.48311
(296, 385),     0.61065,       0.71398,       0.10836,       0.80031,       0.09879,       0.06837,       0.40008
(61, 160),     0.183,       0.56478,       0.28327,       0.59589,       0.30674,       0.38949,       0.3872
(25, 159),     0.10877,       0.53386,       0.21152,       0.3061,       -0.39903,       0.31351,       0.17912
(24, 159),     0.27048,       0.47846,       -0.24502,       0.29325,       -0.14045,       0.20811,       0.14414
(336, 384),     0.23598,       0.4326,       -0.38307,       0.54859,       -0.08698,       -0.12936,       0.10296
