Comparing the following files: 
hadleigh_front_s5_v2/,  hadleigh_low_s5_v2/,  hadleigh_right_threequarter_s5_v2/,  hadleigh_left_threequarter_s5_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s5_v2_vs_hadleigh_low_s5_v2,  hadleigh_front_s5_v2_vs_hadleigh_right_threequarter_s5_v2,  hadleigh_front_s5_v2_vs_hadleigh_left_threequarter_s5_v2,  hadleigh_low_s5_v2_vs_hadleigh_right_threequarter_s5_v2,  hadleigh_low_s5_v2_vs_hadleigh_left_threequarter_s5_v2,  hadleigh_right_threequarter_s5_v2_vs_hadleigh_left_threequarter_s5_v2,  average
(311, 375),     0.89934,       0.91229,       0.84107,       0.96314,       0.85897,       0.87652,       0.89189
(375, 409),     0.86768,       0.90832,       0.8395,       0.96527,       0.81419,       0.86743,       0.87706
(13, 321),     0.90095,       0.91633,       0.82454,       0.96245,       0.81933,       0.82111,       0.87412
(82, 321),     0.90372,       0.91736,       0.8281,       0.95378,       0.8148,       0.81102,       0.87146
(270, 321),     0.84708,       0.89752,       0.82096,       0.96385,       0.77914,       0.84693,       0.85925
(0, 405),     0.85793,       0.89755,       0.79947,       0.95791,       0.77909,       0.83434,       0.85438
(81, 181),     0.85309,       0.89517,       0.8002,       0.96977,       0.75311,       0.79743,       0.8448
(255, 257),     0.9131,       0.92388,       0.8248,       0.84912,       0.81568,       0.70486,       0.83857
(98, 292),     0.84498,       0.8446,       0.84975,       0.81276,       0.7794,       0.76452,       0.816
(61, 160),     0.78613,       0.90593,       0.79894,       0.85102,       0.69861,       0.75167,       0.79872
(287, 327),     0.77008,       0.78099,       0.74592,       0.87171,       0.74203,       0.75431,       0.77751
(258, 327),     0.86559,       0.74786,       0.7815,       0.79718,       0.67111,       0.46984,       0.72218
(293, 387),     0.61319,       0.59739,       0.40481,       0.86124,       0.42775,       0.45981,       0.5607
(334, 386),     0.68684,       0.70644,       0.16853,       0.8591,       0.3953,       0.46608,       0.54705
(296, 385),     0.57246,       0.68544,       0.04865,       0.81731,       0.39,       0.36036,       0.47904
(336, 384),     0.18635,       0.40004,       0.15366,       0.66641,       0.42542,       0.12553,       0.32623
(25, 159),     0.10054,       0.00446,       0.36573,       0.43102,       0.06769,       -0.373,       0.09941
(24, 159),     0.34948,       -0.03126,       0.34644,       -0.01533,       0.37151,       -0.49247,       0.08806
