Comparing the following files: 
kelly_front_s1_v2/,  hadleigh_front_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s1_v2_vs_hadleigh_front_s1_v2,  average
(78, 405),     -0.32556,       -0.32556
(87, 321),     -0.32479,       -0.32479
(282, 293),     -0.32316,       -0.32316
(14, 402),     -0.3225,       -0.3225
(40, 312),     -0.32243,       -0.32243
(70, 154),     -0.32193,       -0.32193
(63, 324),     -0.32121,       -0.32121
(133, 327),     -0.32059,       -0.32059
(63, 155),     -0.3202,       -0.3202
(193, 417),     -0.3194,       -0.3194
(158, 161),     -0.31897,       -0.31897
(61, 91),     -0.31894,       -0.31894
(95, 287),     -0.31848,       -0.31848
(7, 306),     -0.31807,       -0.31807
(63, 417),     -0.31795,       -0.31795
(160, 161),     -0.31784,       -0.31784
(7, 308),     -0.31783,       -0.31783
(353, 390),     -0.31684,       -0.31684
(46, 375),     -0.31666,       -0.31666
(14, 317),     -0.31533,       -0.31533
(144, 156),     -0.31331,       -0.31331
(70, 409),     -0.31105,       -0.31105
(76, 321),     -0.30979,       -0.30979
(87, 415),     -0.30857,       -0.30857
(14, 324),     -0.30848,       -0.30848
(105, 292),     -0.30847,       -0.30847
(35, 78),     -0.30837,       -0.30837
(263, 353),     -0.30837,       -0.30837
(181, 383),     -0.30789,       -0.30789
(35, 62),     -0.30718,       -0.30718
(87, 88),     -0.30695,       -0.30695
(178, 415),     -0.30622,       -0.30622
(156, 269),     -0.30439,       -0.30439
(35, 76),     -0.30365,       -0.30365
(276, 362),     -0.30354,       -0.30354
(35, 61),     -0.30215,       -0.30215
(88, 353),     -0.30207,       -0.30207
(62, 405),     -0.30203,       -0.30203
(14, 318),     -0.3019,       -0.3019
(178, 383),     -0.30079,       -0.30079
(145, 156),     -0.29995,       -0.29995
(14, 321),     -0.29991,       -0.29991
(317, 415),     -0.29972,       -0.29972
(158, 300),     -0.29929,       -0.29929
(159, 161),     -0.29925,       -0.29925
(33, 270),     -0.29906,       -0.29906
(35, 321),     -0.29851,       -0.29851
(124, 156),     -0.29766,       -0.29766
(61, 146),     -0.29564,       -0.29564
(318, 402),     -0.29521,       -0.29521
