Comparing the following files: 
kelly_front_s28_v2/,  kelly_front_s27_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s28_v2_vs_kelly_front_s27_v2,  average
(61, 160),     -0.47225,       -0.47225
(255, 257),     -0.31817,       -0.31817
(258, 327),     -0.3091,       -0.3091
(336, 384),     -0.20187,       -0.20187
(98, 292),     -0.1368,       -0.1368
(375, 409),     -0.11393,       -0.11393
(270, 321),     -0.11195,       -0.11195
(0, 405),     -0.10171,       -0.10171
(311, 375),     -0.08366,       -0.08366
(82, 321),     -0.07488,       -0.07488
(81, 181),     -0.06552,       -0.06552
(13, 321),     -0.05956,       -0.05956
(296, 385),     -0.04048,       -0.04048
(334, 386),     -0.01227,       -0.01227
(293, 387),     0.00099,       0.00099
(287, 327),     0.0558,       0.0558
(24, 159),     0.19079,       0.19079
(25, 159),     0.25256,       0.25256
