Comparing the following files: 
krithika_front_s4_v1/groups,  krithika_low_s4_v1/groups,  krithika_threequarter_s4_v1/groups,  

Correlation cuttoff is 0.8
landmark(s),  krithika_front_s4_v1groups_vs_krithika_low_s4_v1groups,  krithika_front_s4_v1groups_vs_krithika_threequarter_s4_v1groups,  krithika_low_s4_v1groups_vs_krithika_threequarter_s4_v1groups,  average
(95, 311),     0.8584,       0.88116,       0.76466,       0.83474
(269, 318),     0.85694,       0.88058,       0.76648,       0.83467
(146, 191),     0.88943,       0.86974,       0.74475,       0.83464
(91, 312),     0.86713,       0.88653,       0.75005,       0.83457
(269, 324),     0.84722,       0.89157,       0.76418,       0.83432
(81, 91),     0.88609,       0.87116,       0.74558,       0.83428
(269, 321),     0.85372,       0.8857,       0.76232,       0.83391
(39, 318),     0.87122,       0.90137,       0.72886,       0.83382
(82, 314),     0.86272,       0.88059,       0.75798,       0.83376
(312, 402),     0.86514,       0.87905,       0.7568,       0.83366
(267, 321),     0.85861,       0.88655,       0.7544,       0.83319
(311, 314),     0.87753,       0.8499,       0.77201,       0.83315
(13, 314),     0.87068,       0.86925,       0.75888,       0.83294
(37, 317),     0.86102,       0.88367,       0.75254,       0.83241
(0, 324),     0.85149,       0.90611,       0.7395,       0.83237
(312, 314),     0.87583,       0.85928,       0.76193,       0.83235
(267, 402),     0.86431,       0.87253,       0.75997,       0.83227
(37, 88),     0.88797,       0.83989,       0.76809,       0.83198
(0, 321),     0.85136,       0.90053,       0.74345,       0.83178
(267, 375),     0.84929,       0.89674,       0.74897,       0.83167
(88, 312),     0.88481,       0.84608,       0.7639,       0.8316
(327, 375),     0.84577,       0.85648,       0.7922,       0.83148
(39, 178),     0.86995,       0.86114,       0.76278,       0.83129
(308, 310),     0.81363,       0.89097,       0.78916,       0.83125
(0, 88),     0.88767,       0.83897,       0.76666,       0.8311
(61, 185),     0.88895,       0.86447,       0.73977,       0.83106
(13, 87),     0.89326,       0.83815,       0.76021,       0.83054
(14, 98),     0.87845,       0.80865,       0.80394,       0.83035
(87, 269),     0.86569,       0.86169,       0.76253,       0.82997
(317, 327),     0.88491,       0.79729,       0.80751,       0.8299
(40, 91),     0.85855,       0.86959,       0.76017,       0.82944
(81, 181),     0.87672,       0.85534,       0.75336,       0.82847
(0, 95),     0.8829,       0.83349,       0.76846,       0.82828
(37, 95),     0.88518,       0.83101,       0.76846,       0.82822
(80, 314),     0.83759,       0.89181,       0.75398,       0.82779
(17, 81),     0.86013,       0.8573,       0.76577,       0.82773
(81, 405),     0.85385,       0.90876,       0.72058,       0.82773
(84, 311),     0.87114,       0.84578,       0.76542,       0.82745
(178, 267),     0.87329,       0.84846,       0.76033,       0.82736
(82, 91),     0.87265,       0.87149,       0.73747,       0.8272
(269, 402),     0.85888,       0.86404,       0.75809,       0.827
(0, 317),     0.86455,       0.86478,       0.75145,       0.82693
(14, 37),     0.86424,       0.86119,       0.75532,       0.82692
(17, 311),     0.87085,       0.8405,       0.76834,       0.82656
(40, 76),     0.86634,       0.87452,       0.73843,       0.82643
(181, 312),     0.86863,       0.86473,       0.74574,       0.82637
(324, 409),     0.8445,       0.86637,       0.76815,       0.82634
(37, 324),     0.84718,       0.90633,       0.72489,       0.82613
(13, 91),     0.86513,       0.87575,       0.73733,       0.82607
(87, 98),     0.8783,       0.79549,       0.80433,       0.82604
(267, 317),     0.86595,       0.85616,       0.75545,       0.82585
(81, 84),     0.86834,       0.8441,       0.76507,       0.82584
(17, 82),     0.86655,       0.85427,       0.75665,       0.82582
(37, 178),     0.875,       0.84336,       0.75891,       0.82576
