Comparing the following files: 
kelly_front_s3_v2/,  hadleigh_front_s3_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s3_v2_vs_hadleigh_front_s3_v2,  average
(98, 292),     -0.19347,       -0.19347
(336, 384),     -0.05251,       -0.05251
(61, 160),     -0.0353,       -0.0353
(255, 257),     -0.03416,       -0.03416
(258, 327),     -0.02237,       -0.02237
(287, 327),     0.01467,       0.01467
(296, 385),     0.02187,       0.02187
(293, 387),     0.03344,       0.03344
(82, 321),     0.03712,       0.03712
(334, 386),     0.05032,       0.05032
(375, 409),     0.0512,       0.0512
(270, 321),     0.06574,       0.06574
(0, 405),     0.08571,       0.08571
(13, 321),     0.09401,       0.09401
(311, 375),     0.09768,       0.09768
(81, 181),     0.11922,       0.11922
(24, 159),     0.12893,       0.12893
(25, 159),     0.13546,       0.13546
