Comparing the following files: 
kelly_low_s2_v2/,  hadleigh_low_s2_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_low_s2_v2_vs_hadleigh_low_s2_v2,  average
(334, 386),     -0.18412,       -0.18412
(296, 385),     -0.1681,       -0.1681
(293, 387),     -0.09604,       -0.09604
(336, 384),     -0.04006,       -0.04006
(258, 327),     -0.00393,       -0.00393
(25, 159),     0.01199,       0.01199
(24, 159),     0.01713,       0.01713
(98, 292),     0.13441,       0.13441
(287, 327),     0.1761,       0.1761
(255, 257),     0.31651,       0.31651
(0, 405),     0.36084,       0.36084
(82, 321),     0.3825,       0.3825
(375, 409),     0.38326,       0.38326
(61, 160),     0.38596,       0.38596
(270, 321),     0.39007,       0.39007
(311, 375),     0.40091,       0.40091
(81, 181),     0.42321,       0.42321
(13, 321),     0.43887,       0.43887
