Comparing the following files: 
kelly_low_s1_v2/,  hadleigh_low_s1_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_low_s1_v2_vs_hadleigh_low_s1_v2,  average
(25, 159),     -0.23075,       -0.23075
(293, 387),     0.05203,       0.05203
(334, 386),     0.08551,       0.08551
(255, 257),     0.08873,       0.08873
(24, 159),     0.1208,       0.1208
(336, 384),     0.13116,       0.13116
(258, 327),     0.13619,       0.13619
(296, 385),     0.18336,       0.18336
(61, 160),     0.24271,       0.24271
(13, 321),     0.26978,       0.26978
(81, 181),     0.27308,       0.27308
(375, 409),     0.29906,       0.29906
(311, 375),     0.30636,       0.30636
(270, 321),     0.32731,       0.32731
(82, 321),     0.33504,       0.33504
(0, 405),     0.47946,       0.47946
(287, 327),     0.5707,       0.5707
(98, 292),     0.58562,       0.58562
