Comparing the following files: 
hadleigh_front_s3_v2/,  hadleigh_low_s3_v2/,  hadleigh_right_threequarter_s3_v2/,  hadleigh_left_threequarter_s3_v2/,  

Correlation cuttoff is -1
landmark(s),  hadleigh_front_s3_v2_vs_hadleigh_low_s3_v2,  hadleigh_front_s3_v2_vs_hadleigh_right_threequarter_s3_v2,  hadleigh_front_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  hadleigh_low_s3_v2_vs_hadleigh_right_threequarter_s3_v2,  hadleigh_low_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  hadleigh_right_threequarter_s3_v2_vs_hadleigh_left_threequarter_s3_v2,  average
(293, 387),     0.92887,       0.83882,       0.80497,       0.8636,       0.81252,       0.7828,       0.8386
(334, 386),     0.93888,       0.80074,       0.75741,       0.82451,       0.79003,       0.71783,       0.8049
(296, 385),     0.96265,       0.79884,       0.6834,       0.82218,       0.71105,       0.67495,       0.77551
(375, 409),     0.8227,       0.82558,       0.57738,       0.95759,       0.51597,       0.62443,       0.72061
(336, 384),     0.95372,       0.71456,       0.65251,       0.74667,       0.67211,       0.57402,       0.71893
(98, 292),     0.88637,       0.82426,       0.51314,       0.88965,       0.579,       0.55786,       0.70838
(81, 181),     0.79307,       0.73568,       0.60823,       0.96414,       0.54929,       0.59171,       0.70702
(13, 321),     0.84355,       0.79654,       0.56665,       0.934,       0.48689,       0.57141,       0.69984
(270, 321),     0.79371,       0.79925,       0.56693,       0.94716,       0.49466,       0.5955,       0.69954
(311, 375),     0.84415,       0.80871,       0.54041,       0.93784,       0.46173,       0.55904,       0.69198
(0, 405),     0.79179,       0.76568,       0.52647,       0.93868,       0.45219,       0.5541,       0.67148
(82, 321),     0.84666,       0.79114,       0.45549,       0.93399,       0.38704,       0.47313,       0.64791
(255, 257),     0.88225,       0.34862,       0.64827,       0.43111,       0.60877,       0.26724,       0.53104
(287, 327),     0.66891,       0.57659,       0.42123,       0.84831,       0.3545,       0.27108,       0.52344
(258, 327),     0.68809,       0.54687,       0.01793,       0.73689,       -0.0305,       -0.00749,       0.3253
(25, 159),     0.66234,       0.15673,       0.24617,       0.29032,       -0.03178,       0.10545,       0.23821
(24, 159),     0.67181,       0.13268,       -0.40514,       0.2428,       -0.44883,       -0.26158,       -0.01138
(61, 160),     0.22528,       0.30248,       -0.62935,       0.7393,       -0.53222,       -0.61507,       -0.08493
