Comparing the following files: 
kelly_front_s4_v2/,  hadleigh_front_s4_v2/,  

Correlation cuttoff is 1
landmark(s),  kelly_front_s4_v2_vs_hadleigh_front_s4_v2,  average
(258, 327),     -0.29873,       -0.29873
(255, 257),     -0.21438,       -0.21438
(336, 384),     -0.20255,       -0.20255
(296, 385),     -0.0988,       -0.0988
(287, 327),     -0.06787,       -0.06787
(334, 386),     -0.0302,       -0.0302
(24, 159),     0.00726,       0.00726
(61, 160),     0.0279,       0.0279
(293, 387),     0.04822,       0.04822
(311, 375),     0.0578,       0.0578
(375, 409),     0.05898,       0.05898
(13, 321),     0.07334,       0.07334
(82, 321),     0.07715,       0.07715
(270, 321),     0.08289,       0.08289
(25, 159),     0.08628,       0.08628
(81, 181),     0.09,       0.09
(0, 405),     0.11054,       0.11054
(98, 292),     0.14579,       0.14579
